Term,Variable,Description,Category1|Category2|...
"gmx-sans-legacy","gmx-sans-legacy","A GROMACS tool to compute small angle neutron scattering spectra","software"
"gmx-saxs-legacy","gmx-saxs-legacy","A GROMACS tool to compute small angle X-ray scattering spectra","software"
"gmx-scattering","gmx-scattering","A GROMACS tool to calculate small angle scattering profiles for SANS or SAXS","software"
"gmx-select","gmx-select","A GROMACS tool to print general information about selections","software"
"gmx-sham","gmx-sham","A GROMACS tool to compute free energies or other histograms from histograms","software"
"gmx-sigeps","gmx-sigeps","A GROMACS tool to convert c6/12 or c6/cn combinations to and from sigma/epsilon ","software"
"gmx-solvate","gmx-solvate","A GROMACS tool to solvate a system","software"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function","software"
"gmx-spol","gmx-spol","A GROMACS tool to analyze solvent dipole orientation and polarization around solutes","software"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to calculate viscosities of liquids","software"
"gmx-traj","gmx-traj","A GROMACS tool to plot x, v, f, box, temperature and rotational energy from trajectories","software"
"gmx-trajectory","gmx-trajectory","A GROMACS tool to print coordinates, velocities, and/or forces for selections","software"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate trajectory files","software"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert and manipulates trajectory files","software"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to their distance to a group","software"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to time mdrun as a function of PME ranks to optimize settings","software"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove displacement and correlation functions","software"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis after umbrella sampling","software"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM (XPixelMap) matrices to postscript or XPM","software"
"gmx grompp","gmx grompp","The GROMACS preprocessor that creates a binary run input file","software"
"Maxwell-Boltzmann distribution","Maxwell-Boltzmann distribution","A probability distribution for particle speeds at a given temperature","model"
"Nose-Hoover coupling","Nose-Hoover coupling","A method for temperature control that generates a canonical ensemble","method|algorithm"
"Parrinello-Rahman coupling","Parrinello-Rahman coupling","A method for pressure control that allows for box shape changes","method|algorithm"
"gmx gyrate","gmx gyrate","A GROMACS tool to compute the radius of gyration of a molecule","software"
"Radius of gyration","radius of gyration","A measure of the size of a molecule or group of atoms","measure"
"gmx gyrate-legacy","gmx gyrate-legacy","A legacy version of the gmx gyrate tool","software"
"Moments of inertia","moments of inertia","A measure of an object's resistance to rotational motion","measure"
"gmx h2order","gmx h2order","A GROMACS tool to compute the orientation of water molecules","software"
"gmx hbond-legacy","gmx hbond-legacy","A legacy version of the gmx hbond tool for analyzing hydrogen bonds","software"
"Luzar and Chandler model","model of Luzar and Chandler","A model for analyzing the kinetics of hydrogen bond breaking and formation","model"
"gmx helix","gmx helix","A GROMACS tool to compute properties of helical structures","software"
"Helix radius","Helix radius","The RMS deviation of C-alpha atoms from the helical axis","measure"
"Helix twist","Twist","The average helical angle per residue","measure"
"Helix rise","Rise per residue","The translation along the helical axis per residue","measure"
"Ellipticity","Ellipticity","A measure of the circular dichroism signal, often used to characterize helices","measure"
"gmx helixorient","gmx helixorient","A GROMACS tool to calculate the orientation of an alpha helix","software"
"Euler rotations","Euler rotations","A method to describe the orientation of a rigid body using three angles","method"
"gmx hydorder","gmx hydorder","A GROMACS tool to compute tetrahedrality order parameters","software"
"Tetrahedrality order parameter","tetrahedrality order parameters","A measure of the local tetrahedral arrangement of atoms, e.g., around a water molecule","measure"
"gmx insert-molecules","gmx insert-molecules","A GROMACS tool to insert molecules into a system, e.g., for solvation","software"
"van der Waals radii","van der Waals radii","The radius of an imaginary hard sphere representing an atom","measure"
"gmx lie","gmx lie","A GROMACS tool to compute free energy estimates using the LIE method","software"
"gmx make_edi","gmx make_edi","A GROMACS tool to generate an input file for essential dynamics sampling","software"
"Essential Dynamics (ED)","Essential Dynamics (ED)","A method to analyze and sample the large-scale collective motions of a system","method"
"Flooding potential","flooding potential","A biasing potential used in ED sampling to enhance exploration of conformational space","model"
"gmx make_ndx","gmx make_ndx","A GROMACS tool to create special index groups for analysis","software"
"Index editor","index editor","An interactive tool within gmx make_ndx for creating and manipulating index groups","software"
"gmx mdmat","gmx mdmat","A GROMACS tool to create distance matrices between residue pairs","software"
"Distance matrix","distance matrices","A matrix containing the distances between pairs of residues or atoms","data format"
"Stochastic Dynamics","Stochastic Dynamics","A simulation method that includes random forces to mimic solvent effects","method"
"Hessian matrix","Hessian matrix","A square matrix of second-order partial derivatives of a function","model"
"Interactive molecular dynamics (IMD)","Interactive molecular dynamics (IMD)","A technique that allows real-time interaction with a running simulation","method"
"gmx mindist","gmx mindist","A GROMACS tool to compute the minimum distance between groups of atoms","software"
"gmx mk_angndx","gmx mk_angndx","A GROMACS tool to create an index file for angle/dihedral analysis","software"
"Diffusion constant","diffusion constant","A measure of the rate of diffusion of a substance","measure"
"Einstein relation (diffusion)","Einstein relation","A formula that relates the diffusion constant to the mean square displacement","method"
"MSD tensor","MSD tensor","A tensor describing the mean square displacement in x, y, and z directions","measure"
"Quantum corrections","quantum corrections","Corrections to classical simulations to account for quantum effects, e.g., on heat capacity","method"
"Standard Entropy","Standard Entropy","The entropy content of one mole of substance under standard state conditions","measure"
"Zero-point energy","Zero-point energy","The lowest possible energy that a quantum mechanical system may have","measure"
"gmx nmr","gmx nmr","A GROMACS tool to extract distance or orientation restraint data from an energy file","software"
"Molecular order tensor","molecular order tensor","A tensor describing the orientational order of molecules","measure"
"gmx nmtraj","gmx nmtraj","A GROMACS tool to generate a virtual trajectory from a normal mode eigenvector","software"
"gmx nonbonded-benchmark","gmx nonbonded-benchmark","A GROMACS tool for benchmarking the performance of non-bonded kernels","software"
"Nbnxm kernels","Nbnxm non-bonded pair kernels","Highly optimized kernels for non-bonded force calculations in GROMACS","software|algorithm"
"gmx order","gmx order","A GROMACS tool to compute order parameters, typically for lipid tails","software"
"Deuterium order parameter","deuterium order parameter","An order parameter (Scd) that can be related to NMR experiments on deuterated lipids","measure"
"gmx pairdist","gmx pairdist","A GROMACS tool to calculate pairwise distances between selections","software"
"gmx pdb2gmx","gmx pdb2gmx","A GROMACS tool to generate a topology from a PDB file","software"
"Chain separator","chainsep","An option in pdb2gmx to define how to separate chains in a PDB file","software"
"Termini","ter","The N- and C-terminal ends of a polypeptide chain","chemical entity"
"Zwitterionic","zwitterionic","A molecule with both positive and negative charges, but a net charge of zero","state"
"sPME algorithm","sPME algorithm","The smooth Particle Mesh Ewald algorithm for electrostatics","algorithm"
"gmx polystat","gmx polystat","A GROMACS tool to plot static properties of polymers","software"
"End-to-end distance","end-to-end distance","The distance between the first and last atom of a polymer chain","measure"
"Persistence length","persistence length","A measure of the stiffness of a polymer chain","measure"
"gmx potential","gmx potential","A GROMACS tool to compute the electrostatic potential across the box","software"
"gmx principal","gmx principal","A GROMACS tool to calculate the three principal axes of inertia","software"
"Principal axes of inertia","principal axes of inertia","The three mutually orthogonal axes about which the moment of inertia is maximized","measure"
"gmx rama","gmx rama","A GROMACS tool to compute and plot Ramachandran (phi/psi) angles","software"
"Radial distribution function (RDF)","radial distribution functions","A function that describes how density varies as a function of distance from a reference particle","measure"
"Cumulative number RDF","cumulative number RDF","The integral of the RDF, representing the average number of particles within a distance r","measure"
"gmx report-methods","gmx report-methods","A GROMACS tool to report basic system information from a run input file","software"
"Root Mean Square Deviation (RMSD)","root mean square deviation (RMSD)","A measure of the average distance between the atoms of superimposed structures","measure"
"rho similarity parameter","rho similarity parameter","A size-independent measure of structural similarity","measure"
"gmx rmsdist","gmx rmsdist","A GROMACS tool to compute the RMS deviation of atom distances","software"
"NMR averaged distances","NMR averaged distances","Distances averaged according to 1/r^3 or 1/r^6, relevant for NMR NOE data","measure"
"Root Mean Square Fluctuation (RMSF)","root mean square fluctuation (RMSF)","A measure of the deviation of an atom's position from its average position","measure"
"Anisotropic temperature factors","anisotropic temperature factors","Factors (Uij) describing atomic displacement in an anisotropic manner","measure"
"gmx rotacf","gmx rotacf","A GROMACS tool to calculate the rotational correlation function","software"
"Rotational correlation function","rotational correlation function","A function that describes the time correlation of a molecule's orientation","measure"
"Legendre polynomial","Legendre polynomial","A class of orthogonal polynomials used in the expansion of functions","model"
"gmx rotmat","gmx rotmat","A GROMACS tool to plot the rotation matrix for least-squares fitting","software"
"Rotation matrix","rotation matrix","A matrix that describes the rotation of an object in a 3D space","model"
"gmx saltbr","gmx saltbr","A GROMACS tool to analyze the distance between charged groups (salt bridges)","software"
"Salt bridge","salt bridges","A non-covalent interaction between two oppositely charged residues","chemical entity"
"gmx sans-legacy","gmx sans-legacy","A legacy GROMACS tool to compute Small-Angle Neutron Scattering (SANS) spectra","software"
"Debye formula","Debye formula","A formula to calculate scattering intensity from a set of atomic coordinates","model"
"g(r) function","g(r) function","The pair correlation function, equivalent to the radial distribution function","measure"
"SANS intensity","SANS intensity","The scattering intensity as a function of the scattering vector q for SANS","measure"
"gmx sasa","gmx sasa","A GROMACS tool to compute solvent accessible surface area","software"
"Solvent Accessible Surface Area (SASA)","solvent accessible surface areas","The surface area of a biomolecule that is accessible to a solvent","measure"
"Connolly surface","Connolly surface","A type of molecular surface representation, also known as the solvent-excluded surface","model"
"Solvation free energy","solvation free energies","The free energy change associated with transferring a molecule from vacuum to solvent","measure"
"gmx saxs-legacy","gmx saxs-legacy","A legacy GROMACS tool to calculate Small-Angle X-ray Scattering (SAXS) structure factors","software"
"Cromer's method","Cromer's method","A method for calculating atomic scattering factors for X-rays","method"
"gmx scattering","gmx scattering","A GROMACS tool to calculate SANS and SAXS scattering curves","software"
"Scattering intensity","scattering intensity","The intensity of scattered radiation as a function of the scattering angle","measure"
"Dynamic selections","dynamic selections","Selections of atoms that can change over the course of a trajectory","method"
"Occupancy fraction","occupancy fraction","The fraction of frames in which a position is selected","measure"
"gmx sham","gmx sham","A GROMACS tool for making multi-dimensional free-energy, enthalpy, and entropy plots","software"
"Gibbs free energy landscape","Gibbs free energy landscapes","A plot of the Gibbs free energy as a function of one or more collective variables","model"
"Boltzmann inversion","Bolzmann inverting","A method to derive a potential of mean force from a probability distribution","method"
"Single histogram analysis method","single histogram analysis method","A reweighting method to calculate properties at different state points from a single simulation","method"
"gmx sigeps","gmx sigeps","A GROMACS tool to convert between different Lennard-Jones parameter representations","software"
"Sigma and epsilon","sigma and epsilon","Parameters for the Lennard-Jones potential representing atomic size and interaction strength","model"
"C6/C12 parameters","C6/C12","Alternative parameters for the Lennard-Jones potential","model"
"Simple Point Charge (SPC) water","Simple Point Charge water (SPC)","A commonly used 3-site rigid water model","model"
"gmx sorient","gmx sorient","A GROMACS tool to analyze solvent orientation around solutes","software"
"gmx spatial","gmx spatial","A GROMACS tool to calculate the spatial distribution function (SDF)","software"
"Spatial Distribution Function (SDF)","spatial distribution function","A function that describes the 3D density distribution of a group of atoms","measure"
"Gaussian98 cube format","Gaussian98 cube format","A file format for storing volumetric data, such as electron density","data format"
"gmx spol","gmx spol","A GROMACS tool to analyze dipoles around a solute, useful for polarizable water","software"
"Polarizable water","polarizable water","Water models that can respond to an electric field by changing their dipole moment","model"
"gmx tcaf","gmx tcaf","A GROMACS tool to compute transverse current autocorrelations for viscosity estimation","software"
"Transverse current autocorrelation","tranverse current autocorrelations","The autocorrelation function of the transverse component of the current","measure"
"Shear viscosity","shear viscosity","A measure of a fluid's resistance to shear stress","measure"
"gmx traj","gmx traj","A GROMACS tool to plot coordinates, velocities, forces, and box vectors from a trajectory","software"
"Translational kinetic energy","translational and rotational kinetic energy","The kinetic energy associated with the center-of-mass motion of a group","measure"
"Rotational kinetic energy","translational and rotational kinetic energy","The kinetic energy associated with the rotational motion of a group","measure"
"gmx trjcat","gmx trjcat","A GROMACS tool to concatenate trajectory files","software"
"Demultiplexing","demux","The process of separating a single data stream into its original independent streams","process"
"Progressive fit","progressive","A trajectory fitting method where each frame is fitted to the previously fitted frame","method"
"Unit-cell representation","Unit-cell representation","The way the periodic box is represented (e.g., rectangular, triclinic)","model"
"gmx trjorder","gmx trjorder","A GROMACS tool to order molecules according to their distance to a reference group","software"
"gmx tune_pme","gmx tune_pme","A GROMACS tool to systematically benchmark and optimize PME settings","software"
"Reciprocal space","reciprocal space","The Fourier-space representation of the simulation box, used in Ewald methods","model"
"Real space","real space","The direct, coordinate-space representation of the simulation box","model"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of electrostatic forces using the sPME algorithm","software"
"Splitting parameter","splitting parameter","A parameter (ewald_beta) that divides the Ewald sum into real and reciprocal space parts","model"
"gmx-polystat","gmx-polystat","A GROMACS tool to plot static properties of polymers","software"
"gmx-principal","gmx-principal","A GROMACS tool to calculate the three principal axes of inertia for a group of atoms","software"
"gmx-rama","gmx-rama","A GROMACS tool to select the phi/psi dihedral combinations from your topology file and computes these as a function of time","software"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions from one reference set of position to one or more sets of positions","software"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to report basic system information for the run input file specified with -s either to the terminal, to a LaTeX formatted output file if run with the -m option or to an unformatted file with the -o option","software"
"gmx-rms","gmx-rms","A GROMACS tool to compare two structures by computing the root mean square deviation (RMSD), the size-independent rho similarity parameter (rho) or the scaled rho (rhosc)","software"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to compute the root mean square deviation of atom distances","software"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to compute the root mean square fluctuation (RMSF, i.e. standard deviation) of atomic positions in the trajectory after (optionally) fitting to a reference frame","software"
"gmx-rotacf","gmx-rotacf","A GROMACS tool to calculate the rotational correlation function for molecules","software"
"gmx-rotmat","gmx-rotmat","A GROMACS tool to plot the rotation matrix required for least squares fitting a conformation onto the reference conformation","software"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to plot the distance between all combination of charged groups as a function of time","software"
"gmx-sans-legacy","gmx-sans-legacy","A GROMACS tool to compute SANS spectra using Debye formula","software"
"gmx-sasa","gmx-sasa","A GROMACS tool to compute solvent accessible surface areas","software"
"gmx-saxs-legacy","gmx-saxs-legacy","A GROMACS tool to calculate SAXS structure factors for given index groups based on Cromer's method","software"
"gmx-scattering","gmx-scattering","A GROMACS tool to calculate SANS and SAXS scattering curves using Debye method","software"
"gmx-select","gmx-select","A GROMACS tool to write out basic data about dynamic selections","software"
"gmx-sham","gmx-sham","A GROMACS tool to make multi-dimensional free-energy, enthalpy and entropy plots","software"
"gmx-sigeps","gmx-sigeps","A GROMACS tool to convert C6/C12 or C6/Cn combinations to sigma and epsilon, or vice versa","software"
"gmx-solvate","gmx-solvate","A GROMACS tool to solvate a system, i.e. immerse it in a box of solvent","software"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function and outputs it in a form that can be read by VMD as Gaussian98 cube format","software"
"gmx-spol","gmx-spol","A GROMACS tool to analyze dipoles around a solute","software"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to compute tranverse current autocorrelations","software"
"gmx-traj","gmx-traj","A GROMACS tool to plot coordinates, velocities, forces and/or the box","software"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate several input trajectory files in sorted order","software"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert trajectory files in many ways","software"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to the smallest distance to atoms in a reference group or on z-coordinate","software"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to systematically time gmx mdrun with various numbers of PME-only ranks and determines which setting is fastest","software"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove displacement and correlation functions","software"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis after umbrella sampling","software"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM (XPixelMap) matrices to postscript or XPM","software"
"Stochastic Dynamics","Stochastic Dynamics","A simulation method that includes friction and random noise","method|algorithm"
"Langevin dynamics","Langevin dynamics","A mathematical description of stochastic dynamics","model"
"Dissipative Particle Dynamics (DPD)","dissipative particle dynamics (DPD)","A coarse-grained simulation method that includes hydrodynamic interactions","method|model"
"Brownian Dynamics","Brownian Dynamics","A simplified form of Langevin dynamics for over-damped systems","method|algorithm"
"Position Langevin dynamics","position Langevin dynamics","Another name for Brownian dynamics","method|algorithm"
"L-BFGS minimizer","L-BFGS minimizer","A quasi-Newton method for energy minimization","algorithm"
"Hessian matrix","Hessian","The matrix of second derivatives of the potential energy","model"
"Slow-growth method","Slow-growth methods","A method for free energy calculation by slowly changing the Hamiltonian","method"
"Thermodynamic cycle","thermodynamic cycle","A cycle of thermodynamic processes used to calculate state function changes","model"
"Coupling parameter","coupling parameter","A parameter (lambda) that smoothly transforms one Hamiltonian into another","model"
"Helmholtz free energy","Helmholtz free energy","A thermodynamic potential that measures useful work obtainable from a closed system","measure"
"Gibbs free energy","Gibbs free energy","A thermodynamic potential that measures the maximum reversible work from a system","measure"
"Bennett's Acceptance Ratio (BAR)","Bennett's Acceptance Ratio","A method for calculating free energy differences from two simulations","method|algorithm"
"MBAR (Multistate Bennett Acceptance Ratio)","MBAR","An extension of BAR for multiple states","method|algorithm"
"Replica exchange molecular dynamics (REMD)","Replica exchange molecular dynamics (REMD)","A method to enhance sampling by exchanging temperatures between replicas","method|algorithm"
"Hamiltonian replica exchange","Hamiltonian replica exchange","A variant of REMD where Hamiltonians are exchanged instead of temperatures","method|algorithm"
"Gibbs sampling replica exchange","Gibbs sampling replica exchange","A replica exchange method where all possible pairs are tested for exchange","method|algorithm"
"Expanded Ensemble simulation","Expanded Ensemble simulation","A simulation method that samples both coordinates and thermodynamic states","method|algorithm"
"Half-shell method","half-shell method","A method for assigning forces in domain decomposition","method"
"Eighth shell method","eighth shell method","A communication-efficient method for assigning forces in domain decomposition","method"
"Midpoint method","midpoint method","An alternative communication-efficient method for assigning forces","method"
"Pencil decomposition","pencil decomposition","A 2-D domain decomposition strategy for PME calculations","algorithm|method"
"Multiple-Program, Multiple-Data (MPMD)","Multiple-Program, Multiple-Data PME parallelization","A parallelization scheme where some ranks only perform PME calculations","method"
"Pair-additive force field","pair-additive","A force field where non-bonded interactions are a sum of pairwise terms","model"
"Lorentz-Berthelot rules","Lorentz-Berthelot rules","Combination rules for calculating cross-interaction Lennard-Jones parameters","model"
"Combination rules","combination rules","Rules to determine interaction parameters between different atom types","model"
"Reaction-field electrostatics","Coulomb interaction with reaction field","A method to treat long-range electrostatics by embedding the system in a dielectric continuum","model|method"
"Force-switch function","force-switch function","A function that smoothly switches the force to zero at the cutoff","model|method"
"Potential-switch function","potential-switch function","A function that smoothly switches the potential to zero at the cutoff","model|method"
"Fourth power potential","Fourth power potential","A bond stretching potential used in the GROMOS-96 force field","model"
"Morse potential","Morse potential bond stretching","An anharmonic potential for bond stretching","model"
"FENE potential","FENE bond stretching potential","A finitely extensible nonlinear elastic potential for coarse-grained polymers","model"
"Restricted bending potential","Restricted bending potential","A potential that prevents bond angles from reaching 180 degrees","model"
"Urey-Bradley potential","Urey-Bradley potential","A potential that includes a harmonic term on the distance between 1,3-atoms","model"
"Linear Angle potential","Linear Angle potential","A potential designed for linear molecules","model"
"Bond-Bond cross term","Bond-Bond cross term","A potential term coupling the stretching of two adjacent bonds","model"
"Bond-Angle cross term","Bond-Angle cross term","A potential term coupling bond stretching and angle bending","model"
"Quartic angle potential","Quartic angle potential","An angle potential using a fourth-order polynomial","model"
"Improper dihedrals","Improper dihedrals","Dihedral terms used to maintain planarity or chirality","model"
"Ryckaert-Bellemans potential","Ryckaert-Bellemans function","A dihedral potential expressed as a power series in cos(phi)","model"
"Fourier function (dihedral)","Fourier function","A dihedral potential expressed as a Fourier series","model"
"Restricted torsion potential","Restricted torsion potential","A dihedral potential that prevents full rotation","model"
"Combined bending-torsion potential","Combined bending-torsion potential","A potential that couples bending and torsional motions","model"
"Tabulated bonded interactions","Tabulated bonded interaction functions","User-defined potentials for bonded interactions read from a table","model"
"Flat-bottomed position restraints","Flat-bottomed position restraints","Restraints that act only when a particle moves outside a defined region","model"
"Angle restraints","Angle restraints","Restraints applied to the angle between vectors","model"
"Time averaging (restraints)","Time averaging","Using a time-averaged distance for restraints instead of the instantaneous distance","method"
"Ensemble averaging (restraints)","Ensemble averaging","Averaging restraints over multiple simulated subsystems","method"
"Drude particles","Drude particles","Shell particles used in polarizable force fields","model"
"Thole polarization","Thole polarization","A model for screening intramolecular electrostatic interactions in polarizable systems","model"
"Soft-core interactions","Soft-core interactions","Modified potentials used in free energy calculations to avoid singularities","model"
"Gapsys soft-core","Gapsys et al.","A specific functional form for soft-core interactions","model"
"Trotter decomposition","Trotter decomposition","A mathematical method to approximate the evolution operator in simulations","method"
"Wiener process","Wiener process","A mathematical model for Brownian motion, used in stochastic thermostats","model"
"Nosé-Hoover chain","Nosé-Hoover chain","An extension of the Nosé-Hoover thermostat to improve ergodicity","algorithm|model"
"Stochastic cell rescaling","Stochastic cell rescaling","A barostat that includes a stochastic term to ensure correct volume fluctuations","algorithm|model"
"Surface-tension coupling","Surface-tension coupling","A pressure coupling scheme for systems with interfaces","method|model"
"RATTLE","RATTLE","An algorithm for constraining velocities in velocity Verlet integration","algorithm"
"P-LINCS","P-LINCS","A parallel version of the LINCS constraint algorithm","algorithm"
"Holonomic constraints","holonomic constraints","Constraints that depend only on the coordinates of the particles","model"
"Lagrange multipliers","Lagrange multipliers","Variables introduced to solve constrained optimization problems","method"
"g_membed","g_membed","A legacy GROMACS tool for embedding a protein into a membrane","software"
"PRODRG","PRODRG","A server for generating topologies and coordinates for small molecules","software"
"VMD (Visual Molecular Dynamics)","VMD","A molecular visualization program","software"
"PyMOL","PyMOL","A molecular visualization system","software"
"Rasmol","Rasmol","A molecular graphics program for visualizing macromolecules","software"
"Protein Explorer","Protein Explorer","A web-based tool for macromolecular structure exploration","software"
"Chimera","Chimera","A program for interactive visualization and analysis of molecular structures","software"
"Molscript","Molscript","A program for creating schematic or detailed 3D representations of molecules","software"
"LOOS","LOOS","A C++ library for analyzing molecular dynamics trajectories","software"
"MDAnalysis","MDAnalysis","A Python library for the analysis of molecular dynamics simulations","software"
"MDTraj","MDTraj","A Python library for analyzing molecular dynamics trajectories","software"
"Pteros","Pteros","A C++ library for structural bioinformatics and molecular simulations","software"
"Grace","Grace","A 2D plotting tool for the X Window System","software"
"gnuplot","gnuplot","A command-line driven graphing utility","software"
"Matplotlib","Matplotlib","A plotting library for the Python programming language","software"
"Micelle Clustering","Micelle Clustering","A process to ensure a micelle is not split across periodic boundaries","process"
"CODATA","CODATA","The Committee on Data for Science and Technology, a source for fundamental physical constants","data source"
"NIST","NIST","The National Institute of Standards and Technology, a source for physical constants","data source"
"kJ/mol","kJ mol-1","Kilojoules per mole, a unit of energy","unit"
"nm","nm","Nanometer, a unit of length","unit"
"ps","ps","Picosecond, a unit of time","unit"
"e","e","The elementary charge, a unit of electric charge","unit"
"u","u","The unified atomic mass unit, a unit of mass","unit"
"bar","bar","A unit of pressure","unit"
"Debye","Debye","A unit of electric dipole moment","unit"
"V/m","Vm-1","Volts per meter, a unit of electric field strength","unit"
"kcal/mol","kcal mol-1","Kilocalories per mole, a unit of energy","unit"
"Angstrom","Å","Angstrom, a unit of length (0.1 nm)","unit"
"fs","fs","Femtosecond, a unit of time","unit"
"ns","ns","Nanosecond, a unit of time","unit"
"us","us","Microsecond, a unit of time","unit"
"ms","ms","Millisecond, a unit of time","unit"
"s","s","Second, a unit of time","unit"
"degrees","degrees","A unit of angle measurement","unit"
"radians","rad","A unit of angle measurement","unit"
"kJ/mol/nm^2","kJ/mol nm^2","A unit for a harmonic force constant","unit"
"kJ/mol/rad^2","kJ/mol/rad^2","A unit for an angular force constant","unit"
"nm/ps","nm/ps","A unit of velocity","unit"
"deg/ps","deg/ps","A unit of angular velocity","unit"
"nm^2/ps","nm^2/ps","A unit for a diffusion constant","unit"
"rad^2/ps","rad^2/ps","A unit for a rotational diffusion constant","unit"
"amu/ps","amu/ps","A unit for a friction coefficient","unit"
"nm^3","nm-3","A unit for number density","unit"
"nm^-2","nm-2","A unit for surface number density","unit"
"1/nm","1/nm","A unit for the scattering vector q","unit"
"1/cm","1/cm","Wavenumber, a unit of frequency","unit"
"Hz","Hz","Hertz, a unit of frequency","unit"
"D","D","Debye, a unit of electric dipole moment","unit"
"kT","kT","A unit of energy, Boltzmann's constant times temperature","unit"
"kJ/mol/nm^4","kcal/mol/nm4","A unit for the khyp force constant in anharmonic polarization","unit"
"nm/e^2","nm/e^2","A unit for the alphaQ parameter in Gapsys soft-core potentials","unit"
"bar^-1","bar-1","Inverse bar, a unit of compressibility","unit"
"V nm^-1","V nm-1","A unit for electric field strength","unit"
"ps^-1","ps-1","Inverse picosecond, a unit of frequency or friction","unit"
"kJ/mol/nm","kJ/mol nm","A unit for force","unit"
"kJ/mol/rad","kJ/mol rad","A unit for torque","unit"
"nm/step","nm/step","A unit for stepsize in linear expansion","unit"
"kJ/mol/nm^2","kJ/mol/nm^2","A unit for solvation free energy per area","unit"
"keV","keV","Kilo-electronvolt, a unit of energy for X-rays","unit"
"Virtual site","rs","A point with constructed coordinates from other atoms","model|chemical entity"
"Linear combination of two atoms","","A method to construct a virtual site","model|method"
"Fixed distance virtual site","2fd","Virtual site on a line through two atoms","model|method"
"Linear combination of three atoms","","A method to construct a virtual site in a plane","model|method"
"Fixed distance in plane virtual site","3fd","Virtual site in a plane of three atoms","model|method"
"Fixed angle and distance in plane virtual site","3fad","Virtual site in a plane with fixed angle/distance","model|method"
"Out of plane non-linear combination","3out","Virtual site constructed out of the plane of three atoms","model|method"
"Fixed distance from four atoms virtual site","4fdn","A stable virtual site construction from four atoms","model|method"
"Virtual site source code","vsite.c","The source code file implementing virtual site calculations","data source|software"
"Center of geometry","center of geometry","A method for setting weights in virtual site construction","method|model"
"Center of mass","center of mass","A method for setting weights using atomic masses","method|model"
"Center of weights","center of weights","A method for setting weights using user-defined values","method|model"
"Long Range Electrostatics","Long Range Electrostatics","Methods for calculating electrostatic interactions over long distances","method|model"
"Ewald summation","Ewald summation","A method for calculating long-range interactions in periodic systems","algorithm|method"
"Direct space sum","Vdir","The direct space component of the Ewald summation","measure|model"
"Reciprocal space sum","Vrec","The reciprocal space component of the Ewald summation","measure|model"
"Ewald splitting parameter","β","Determines the weight between direct and reciprocal sums","measure"
"GROMACS run parameter file","mdp","File containing parameters for a GROMACS simulation run","data format"
"Coulomb interaction type","coulombtype","Parameter to select the method for electrostatic interactions","identifier|model"
"Van der Waals cutoff radius","rvdw","Cutoff distance for van der Waals interactions","measure"
"Neighbor list cutoff","rlist","Cutoff distance for generating the neighbor list","measure"
"Coulomb cutoff","rcoulomb","Cutoff distance for Coulomb interactions in the direct space","measure"
"Fourier spacing","fourierspacing","Grid spacing for the reciprocal space part of PME/Ewald","measure"
"Ewald relative tolerance","ewald-rtol","Relative strength of the electrostatic interaction at the cutoff","measure"
"Particle-mesh Ewald","PME","A fast Fourier-based method for long-range electrostatics","algorithm|method"
