"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"HIP","HIP","A C++ Runtime API for creating portable GPU applications","software|method","yes","3037,3047,3057,3097,3148,3152,21771,47724,47729,47770,47772,47818,47827,47939,47942,56026,56027,56046,56050,56077,56081,56518,56522,67867,67923,68606,74286,86509,167936,168002,168031,171004,171298,171699,172015,174533,174575,175021,175042,175063","41"
"HIP","HIP","Residue name for fully protonated (doubly-charged) Histidine","chemical entity|identifier","yes","3037,3047,3057,3097,3148,3152,21771,47724,47729,47770,47772,47818,47827,47939,47942,56026,56027,56046,56050,56077,56081,56518,56522,67867,67923,68606,74286,86509,167936,168002,168031,171004,171298,171699,172015,174533,174575,175021,175042,175063","41"
"HIP","HIP","A special residue name for doubly protonated, titratable histidine","chemical entity","yes","3037,3047,3057,3097,3148,3152,21771,47724,47729,47770,47772,47818,47827,47939,47942,56026,56027,56046,56050,56077,56081,56518,56522,67867,67923,68606,74286,86509,167936,168002,168031,171004,171298,171699,172015,174533,174575,175021,175042,175063","41"
"HMassRepartition","HMassRepartition","ParmEd command to increase hydrogen mass for longer simulation timesteps.","software|process|method","yes","15605,15626,87218,87223,87234,108547","6"
"Hydrogen Mass Repartitioning (HMR)","HMassRepartition","A technique to increase hydrogen mass to allow longer timesteps","method|process","yes","15573,15605,15626,87218,87223,87234,108533,108547","8"
"Hypernetted-Chain (HNC)","HNC","A type of closure relation for the RISM equation","model|method","yes","31561,31566,31613,31628,31629,31639,31642,31655,31685,31687,31699,31720,31722,31847,31854,31864,31884,32084,32110,32122,32128,32309,32314,32322,32384,32464,32543,32646,32657,32660,32679,32684,32704,32724,32728,32769,34495,34948,35570,37525,41518,191691","47"
"hypernetted-chain approximation (HNC)","HNC","A closure relation where the bridge function is set to zero","model|method","yes","31561,31566,31613,31628,31629,31639,31642,31655,31685,31687,31699,31720,31722,31847,31854,31864,31884,32084,32110,32122,32128,32309,32314,32322,32384,32464,32543,32646,32657,32660,32679,32684,32704,32724,32728,32769,34495,34948,35570,37525,41518,191691","47"
"iamoeba","iamoeba","sander flag to enable the AMOEBA polarizable potential.","identifier","yes","114286,114293,115921,126426,186251,186256,187451","7"
"Belly Constraints","ibelly","A type of positional restraint applied to a group of atoms.","method|algorithm","yes","16502,106755,107947,107967,107972,108186,118531,118615,127317,178893,180789,180790","12"
"ibelly","ibelly","sander flag for 'belly' dynamics where only a subset of atoms move.","identifier","yes","16502,106755,107947,107967,107972,108186,118531,118615,127317,178893,180789,180790","12"
"TI Energy Decomposition","idecomp","Flag to enable decomposition of dV/dlambda on a per-residue basis.","method|analysis","yes","106759,107823,107832,107896,107910,107931,126306,140427,140787,140792,191542,191547,191625,192189,193001,195654,204956","17"
"idecomp","idecomp","sander flag to perform per-residue or pairwise energy decomposition.","identifier","yes","106759,107823,107832,107896,107910,107931,126306,140427,140787,140792,191542,191547,191625,192189,193001,195654,204956","17"
"idecomp","idecomp","A flag to select the energy decomposition scheme","identifier","yes","106759,107823,107832,107896,107910,107931,126306,140427,140787,140792,191542,191547,191625,192189,193001,195654,204956","17"
"iemap","iemap","sander flag to enable EMAP restrained simulations.","identifier","yes","113655,113660,113667,127400,183017","5"
"QM/MM Calculation Flag","ifqnt","Flag to enable Quantum Mechanics/Molecular Mechanics (QM/MM) calculations.","method|process","yes","49277,49339,52676,52741,56170,56241,56311,56377,57146,57222,57272,57370,57451,58441,59014,59632,63324,64737,64755,66663,112570,114144,114151,119812,119817,120479,122568,122730,123538,123899,124014,124069,125206,126380,167744,190740,190745,192225","38"
"ifqnt","ifqnt","sander flag to enable a QM/MM calculation.","identifier","yes","49277,49339,52676,52741,56170,56241,56311,56377,57146,57222,57272,57370,57451,58441,59014,59632,63324,64737,64755,66663,112570,114144,114151,119812,119817,120479,122568,122730,123538,123899,124014,124069,125206,126380,167744,190740,190745,192225","38"
"ifqnt","ifqnt","A flag to specify if a part of the system is treated with QM","identifier","yes","49277,49339,52676,52741,56170,56241,56311,56377,57146,57222,57272,57370,57451,58441,59014,59632,63324,64737,64755,66663,112570,114144,114151,119812,119817,120479,122568,122730,123538,123899,124014,124069,125206,126380,167744,190740,190745,192225","38"
"Generalized Born Model Selector","igb","Selects the Generalized Born implicit solvent model to use.","model|method","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128"
"igb","igb","The primary input variable in Amber for selecting a GB model","identifier","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128"
"igb","igb","sander flag to enable a Generalized Born implicit solvent model.","identifier","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128"
"igb","igb","A flag to select the Generalized Born model to use","identifier","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128"
"imin","imin","sander variable to control minimization or dynamics mode.","identifier","yes","21727,23981,23988,27322,28093,29902,30219,30301,31024,40309,40377,40391,40458,40476,49247,64644,66613,96043,106223,106377,106430,106485,106834,106843,106906,106937,106993,112699,113899,115524,118547,118631,126284,127371,131828,133396,135162,136218,138795,148148,149538,149884,167786,167797,178893,183002,193317,193626,215164","49"
"imin","imin","sander variable to control minimization or dynamics mode.","identifier","yes","21727,23981,23988,27322,28093,29902,30219,30301,31024,40309,40377,40391,40458,40476,49247,64644,66613,96043,106223,106377,106430,106485,106834,106843,106906,106937,106993,112699,113899,115524,118547,118631,126284,127371,131828,133396,135162,136218,138795,148148,149538,149884,167786,167797,178893,183002,193317,193626,215164","49"
"Immersed Interface method","Immersed Interface method (IIM)","A numerical method for solving PDEs with interfaces","method|algorithm","yes","23310","1"
"Immersed Interface method","Immersed Interface method (IIM)","A numerical method for solving PDEs with interfaces","method|algorithm","yes","23310","1"
"impose","impose","LEaP command to set internal coordinates (bonds, angles, torsions)","software","yes","17942,48430,51684,76295,76299,76304,76315,76317,76322,76327,76374,76378,76460,76480,76502,76520,76614,76650,76686,76731,76775,76837,76849,76890,76933,76945,76987,77035,79505,79912,79924,79928,80307,80311,80315,80319,80323,80327,80331,80335,80530,80535,80540,80545,80550,80555,80560,80565,80570,80575,80580,80585,80590,80595,80600,80605,80610,80615,80620,80625,80630,80635,80855,80860,80865,80870,80875,80880,177126","69"
"impose","impose","LEaP command to set specific torsion angle values.","software|process","yes","17942,48430,51684,76295,76299,76304,76315,76317,76322,76327,76374,76378,76460,76480,76502,76520,76614,76650,76686,76731,76775,76837,76849,76890,76933,76945,76987,77035,79505,79912,79924,79928,80307,80311,80315,80319,80323,80327,80331,80335,80530,80535,80540,80545,80550,80555,80560,80565,80570,80575,80580,80585,80590,80595,80600,80605,80610,80615,80620,80625,80630,80635,80855,80860,80865,80870,80875,80880,177126","69"
"InChI-Code","InChi-Code","IUPAC International Chemical Identifier, a standard for representing molecules.","identifier","yes","103835","1"
"InChi-Code","InChi-Code","IUPAC International Chemical Identifier, a standard for representing molecules.","identifier","yes","103835","1"
"Non-bonded Pairlist Parameter","inp","Controls non-bonded pair list update frequency.","measure|algorithm","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119"
"inp","inp","Option to select the method for computing non-polar solvation energy","identifier","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119"
"inp","inp","Option to select the method for computing non-polar solvation energy","identifier","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119"
"inp","inp","A flag to select the nonpolar optimization method in PB calculations","identifier","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119"
"Amber Coordinate/Restart File","inpcrd","Amber file format for atomic coordinates and restart information.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","148"
"Coordinate File","inpcrd","An Amber file format for atomic coordinates","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,34788,37767,55770,61536,61541,61569,61574,61579,61584,81675,81687,83793,83880,83884,86000,86133,86186,86775,87066,87067,87124,87515,87529,87583,87665,89200,89569,89598,89768,89797,92047,92063,94113,94132,94290,94337,95397,95398,97439,97957,98250,98251,98767,98798,100017,106119,106185,106975,107159,107162,107188,107249,113199,113207,113215,113223,113231,113235,118515,122365,122381,122886,122887,122899,122923,123126,123136,123162,123172,123462,123472,123498,123508,123764,124194,124195,124200,124213,124363,124369,124397,124604,124610,124634,124868,125599,125695,125764","192"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","146"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","146"
"Internal Dielectric Constant","intdiel","Dielectric constant of the solute interior.","model|measure","yes","19944,19949,21230,21242,21254,21266,21278,119506,119511,119516,119578,120015,125096,168227,172639,191067,205209","19"
"intdiel","intdiel","Input parameter for the solute's interior dielectric constant","identifier|measure","yes","19944,19949,119506,119511,119578,120015,125096,168227,172639,205209","10"
"intdiel_ion_1_p","intdiel_ion_1_p","GBION parameter for K_epsilon for solute-cation interactions","identifier|measure","yes","21085,21115,21230","3"
"intdiel_ion_1_p","intdiel_ion_1_p","GBION parameter for K_epsilon for solute-cation interactions","identifier|measure","yes","21085,21115,21230","3"
"Poisson-Boltzmann Solver","ipb","Flag to select the Poisson-Boltzmann solver model.","model|method","yes","19920,23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119022,119719,119724,120334,192305,204034,205230","45"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41"
"ipb","ipb","sander flag to enable a Poisson-Boltzmann implicit solvent model.","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41"
"IPolQ","IPolQ","Iterative Polarizable Charge method for deriving condensed-phase charges","method|model","yes","5263,5269,5283,5365,5383,5432,95882,96074,96163,96164,96494,96502,96519,96542,96682,96683,96702","17"
"IPolQ","IPolQ","Implicitly Polarized Charge model for deriving partial charges.","model|method","yes","5263,5269,5283,5365,5383,5432,95882,96074,96163,96164,96494,96502,96519,96542,96682,96683,96702","17"
"iprob","iprob","The radius of the mobile ion probe used to define the Stern layer","identifier|measure","yes","24628,24633,27473,27533","4"
"iprob","iprob","The radius of the mobile ion probe used to define the Stern layer","identifier|measure","yes","24628,24633,27473,27533","4"
"Isotropic Periodic Sum","IPS","A method for calculating long-range interactions using isotropic periodic images.","algorithm|method","yes","115807,115811,115820,115826,115828,115829,115838,115859,115861,115873,115875,115887,115898,115903,115915,115918,115925,115929,115931,115949,115958,115967,115977,115985,115994,116003,116029,116031,116037,116039,116065,116068,116080,116111,116123,116145,116147,116166,116168,116175,116872,116873,116877,116891,116997,116998,183012","49"
"ips","ips","sander flag to enable the Isotropic Periodic Sum (IPS) method.","identifier","yes","115807,115811,115820,115826,115828,115829,115838,115859,115861,115873,115875,115887,115898,115903,115915,115918,115925,115929,115931,115949,115958,115967,115977,115985,115994,116003,116029,116031,116037,116039,116065,116068,116080,116111,116123,116145,116147,116166,116168,116175,116873,116877,116891,116998,183012","46"
"irest","irest","sander flag to indicate a simulation restart.","identifier","yes","29902,106430,106485,107020,107200,107211,107220,107228,107271,108499,111919,112060,112200,112302,112514,112704,112909,113017,113120,118535,118619,130897,130962,131039,131103,131168,131233,131828,133396,135162,148148,149538,149884,150462,157364,157367,165819,215164","38"
"irest","irest","sander flag to indicate a simulation restart.","identifier","yes","29902,106430,106485,107020,107200,107211,107220,107228,107271,108499,111919,112060,112200,112302,112514,112704,112909,113017,113120,118535,118619,130897,130962,131039,131103,131168,131233,131828,133396,135162,148148,149538,149884,150462,157364,157367,165819,215164","38"
"irism","irism","Keyword in &cntrl to enable 3D-RISM calculations","identifier","yes","37411,37428,37435,40351,40420,40496,114230,114237","8"
"irism","irism","sander flag to enable the 3D-RISM molecular solvation method.","identifier","yes","37411,37428,37435,40351,40420,40496,114230,114237","8"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22"
"istrng","istrng","The ionic strength in Molarity for PB calculations","measure|unit","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22"
"Max SCF Iterations","itrmax","Maximum number of iterations for the SCF procedure","measure","yes","46941,46946,46956,46957,46958,50672,50677,121385,121390","9"
"Maximum SCF Iterations","itrmax","Maximum number of SCF iterations before failure.","measure|algorithm","yes","46941,46946,46956,46957,46958,50672,50677,121385,121390","9"
"K_epsilon(a,b)","K_epsilon(a,b)","Coefficient scaling the electrostatic energy in the GBION model","identifier|measure","no","","0"
"K_epsilon(a,b)","K_epsilon(a,b)","Coefficient scaling the electrostatic energy in the GBION model","identifier|measure","no","","0"
"K_GB(a,b)","K_GB(a,b)","Coefficient tuning interaction energy between different atom types in GBION","identifier|measure","no","","0"
"K_GB(a,b)","K_GB(a,b)","Coefficient tuning interaction energy between different atom types in GBION","identifier|measure","no","","0"
"kcal/mol","kcal/mol","Unit of energy, kilocalories per mole","unit","yes","7882,20313,22680,22831,25730,25747,25767,25986,26003,33605,33617,35280,35330,35342,35356,35369,35381,43446,44096,44122,44129,44136,44169,44177,44185,46367,46454,46461,57731,59832,65919,74836,74909,82018,82043,82068,82149,82209,82340,82598,82605,82613,82667,82669,82777,82785,83242,83416,83686,96320,97282,97759,97760,97771,97772,98068,98080,98131,98132,99728,99734,99805,122825,124144,125528,129154,131516,131537,131545,131572,131580,131597,131599,131623,131731,131979,132546,132554,132562,136892,150737,151973,162115,162141,165352,165984,167115,167807,169537,169971,169980,170020,170119,170128,170193,176811,176824,187978,190924,191030","119"
"kcal/mol","kcal/mol","Unit of energy commonly used in molecular simulations","unit","yes","7882,20313,22680,22831,25730,25747,25767,25986,26003,33605,33617,35280,35330,35342,35356,35369,35381,43446,44096,44122,44129,44136,44169,44177,44185,46367,46454,46461,57731,59832,65919,74836,74909,82018,82043,82068,82149,82209,82340,82598,82605,82613,82667,82669,82777,82785,83242,83416,83686,96320,97282,97759,97760,97771,97772,98068,98080,98131,98132,99728,99734,99805,122825,124144,125528,129154,131516,131537,131545,131572,131580,131597,131599,131623,131731,131979,132546,132554,132562,136892,150737,151973,162115,162141,165352,165984,167115,167807,169537,169971,169980,170020,170119,170128,170193,176811,176824,187978,190924,191030","119"
"KMMD","extprog='kmmd'","A machine learning molecular dynamics library bundled with Amber","software|model","yes","67414,67429,67469,67471,187567,187571,187587,187592,187613,187630,187724,187747,187777,187781,187802,187811,187821,187827,187838,187843,187892,187897,187954,187957,187960,187979,187989,187994,187995,187996,187999,188018,188025,188028,188029,188263,188267","40"
"Kernel Modified Molecular Dynamics","KMMD","A machine learning method to add corrections to a classical force field","method|algorithm|model","yes","67414,67429,67469,67471,187567,187571,187577,187582,187587,187592,187613,187630,187724,187747,187777,187781,187802,187811,187821,187827,187838,187843,187892,187897,187954,187957,187960,187979,187989,187994,187995,187996,187999,188018,188025,188028,188029,188263,188267","41"
"Kovalenko-Hirata (KH)","KH","A hybrid closure relation combining HNC and the mean spherical approximation","model|method","yes","31581,31586,31655,31677,31680,31685,31690,31699,31716,31721,31884,32084,32211,32327,32332,32340,32391,32464,32646,32660,34960,35001,35536,35545,36422,37492,37509,41506,191687,191722","33"
"Kovalenko-Hirata (KH)","KH","A type of closure relation for the RISM equation","model|method","yes","31581,31586,31655,31677,31680,31685,31690,31699,31716,31721,31884,32084,32211,32327,32332,32340,32391,32464,32646,32660,34960,35001,35536,35545,36422,37492,37509,41506,191687,191722","33"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model","yes","20229","1"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model","yes","20229","1"
"LEaP","LEaP","Primary program to create and modify systems for Amber simulations","software","yes","1804,1822,1859,1974,1993,2001,2020,4454,4458,4460,4534,4948,5461,5518,6541,7465,7496,7544,7560,7580,7589,7609,7683,7726,7938,8009,14272,14286,14346,14358,14570,14592,14593,14806,15040,15056,15060,15065,15543,15586,15601,17746,17781,18099,18112,18234,18313,18449,19407,19497,19500,19624,19911,49068,67648,67731,67756,67761,67795,67829,67863,67906,68199,68213,68292,68337,68502,68686,68706,68709,70392,70412,71167,72358,72365,72373,72393,72395,72400,72546,72573,72574,72585,72588,72601,72603,72700,72761,72779,72946,72989,73073,73100,73236,73315,73344,73352,73355,73376,73378","265"
"LEaP","LEaP","A program for building molecular topologies in Amber.","software|process","yes","1804,1822,1859,1974,1993,2001,2020,4454,4458,4460,4534,4948,5461,5518,6541,7465,7496,7544,7560,7580,7589,7609,7683,7726,7938,8009,14272,14286,14346,14358,14570,14592,14593,14806,15040,15056,15060,15065,15543,15586,15601,17746,17781,18099,18112,18234,18313,18449,19407,19497,19500,19624,19911,49068,67648,67731,67756,67761,67795,67829,67863,67906,68199,68213,68292,68337,68502,68686,68706,68709,70392,70412,71167,72358,72365,72373,72393,72395,72400,72546,72573,72574,72585,72588,72601,72603,72700,72761,72779,72946,72989,73073,73100,73236,73315,73344,73352,73355,73376,73378","265"
"LEaP","tleap","A program for preparing Amber molecular mechanics input files","software","yes","1804,1822,1859,1894,1974,1978,1993,2001,2020,4454,4458,4460,4534,4774,4873,4948,5461,5518,6541,7465,7496,7544,7560,7580,7589,7609,7683,7726,7938,8009,14272,14286,14346,14358,14570,14592,14593,14806,15040,15056,15060,15065,15543,15586,15601,17746,17781,18099,18112,18234,18313,18449,19407,19497,19500,19624,19911,49068,67648,67731,67756,67761,67795,67829,67863,67906,68199,68213,68292,68337,68466,68502,68664,68686,68706,68709,68916,68947,68997,70392,70412,71167,72358,72365,72373,72380,72393,72395,72400,72411,72471,72477,72498,72513,72546,72573,72574,72585,72588,72601","313"
"leaprc","leaprc","A LEaP resource file for loading force field parameters and libraries","data format","yes","4444,4448,4455,4456,4478,4483,4488,4493,4498,4509,4532,4552,4574,4600,4634,4639,4649,4778,4892,4924,5177,5257,5465,5522,5557,5639,5720,5728,6123,6174,6225,6330,6386,6429,6489,6588,6626,6713,6734,7364,7388,7500,7548,7564,7584,7593,7597,7657,7938,8009,8605,13666,14290,14294,14647,14806,14818,14946,15028,15079,15551,15586,16347,16451,16455,16569,17747,17752,17801,17803,17806,18108,18132,18447,72935,73342,73357,74096,74179,74254,74288,74291,74815,75250,75298,75331,77049,77307,79720,79875,80239,80480,80795,80810,81009,81160,81165,81517,92035,167948","110"
"leaprc","leaprc","A script file executed at the start of a LEaP session to load standard parameters","data format|data source","yes","4444,4448,4455,4456,4478,4483,4488,4493,4498,4509,4532,4552,4574,4600,4634,4639,4649,4778,4892,4924,5177,5257,5465,5522,5557,5639,5720,5728,6123,6174,6225,6330,6386,6429,6489,6588,6626,6713,6734,7364,7388,7500,7548,7564,7584,7593,7597,7657,7938,8009,8605,13666,14290,14294,14647,14806,14818,14946,15028,15079,15551,15586,16347,16451,16455,16569,17747,17752,17801,17803,17806,18108,18132,18447,72935,73342,73357,74096,74179,74254,74288,74291,74815,75250,75298,75331,77049,77307,79720,79875,80239,80480,80795,80810,81009,81160,81165,81517,92035,167948","110"
"GLYCAM force field","leaprc.GLYCAM_06j-1","A force field specifically parameterized for carbohydrates","model|data source","yes","7888,7938,8020,8611,13495,79720,79875,80239,80480,80795,80810,81009,81160","13"
"leaprc.GLYCAM_06j-1","leaprc.GLYCAM_06j-1","LEaP resource file loading the GLYCAM_06j-1 force field.","data source|software","yes","7938,79720,79875,80239,80480,80795,80810,81009,81160","9"
"Lennard-Jones Potential","Lennard-Jones","A potential describing van der Waals forces between atoms","model","yes","4808,4809,5239,5918,13648,16397,17952,17959,18301,19714,31784,33661,33683,34164,34190,37849,38678,41755,42137,42143,43381,43442,43459,43800,43821,48349,48401,48577,51017,52217,52421,83085,83217,83229,83311,83435,84760,85425,86895,86961,87197,87477,88547,90232,96281,96294,96318,96970,97186,97198,97540,99090,114024,114035,114349,115360,119695,119713,148132,166385","60"
"Lennard-Jones Potential","V_LJ","A model describing non-bonded van der Waals interactions.","model","yes","17952,33661,52217,83085,83229,83311,87197","7"
"Locally Enhanced Sampling Energy","les","The total energy contributed by the LES copies.","measure","yes","20361,20363,20364,20365,20370,106037,109137,109147,117533,119354,119372,119595,119597,119605,122127,122500,123774,123778,124880,124889,124891,124898,124923,124972,126080,126084,126408,126419,126517,175862,180016,180026,180347,180350,180355,180425,180639,180642,180647,181459,181463,181464,181465,181483,183624,184556,184566,184602,184622,184630,184634,184637,184660,184673,184679,184683,184692,184695,184700,184718,184735,184741,184785,184786,184789,184797,184936,185031,185033,185039,185043,185048,185050,185054,185113,185380,185401,185425,185426,185429,185431,185432,185434,185450,185454,185456,185460,185468,185480,185484,185494,185495,185496,185498,185502,185506,185511,185525,185554,185563","159"
