"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"gmx gyrate-legacy","gmx gyrate-legacy","A legacy version of the gmx gyrate tool","software","yes","4,204,205,315,320,727,747","11","Lower-priority member of semantic cluster led by row 336 (Champion: 'gmx gyrate-legacy')"
"gmx gyrate-legacy","gmx gyrate-legacy","A legacy version of the gmx gyrate tool","software","yes","4,204,205,315,320,727,747","11","Lower-priority member of semantic cluster led by row 336 (Champion: 'gmx gyrate-legacy')"
"gmx gyrate-legacy","gmx gyrate-legacy","The deprecated version of the gmx gyrate tool","software","yes","4,204,205,315,320,727,747","11","Lower-priority member of semantic cluster led by row 336 (Champion: 'gmx gyrate-legacy')"
"gmx gyrate-legacy","gmx gyrate-legacy","A deprecated version of the gmx gyrate tool","software","yes","4,204,205,315,320,727,747","11","Lower-priority member of semantic cluster led by row 336 (Champion: 'gmx gyrate-legacy')"
"gmx h2order","gmx h2order","A GROMACS tool to compute the orientation of water molecules","software","yes","4,207,315,322,820","8","Lower-priority member of semantic cluster led by row 339 (Champion: 'gmx h2order')"
"gmx h2order -d option","Fix non-funtioning gmx h2order -d option","A fix for an option that would always take the normal along the z-axis","software","yes","820","1","Lower-priority member of semantic cluster led by row 341 (Champion: 'gmx h2order -d option')"
"Hydrogen bond analysis tool","gmx hbond","A GROMACS tool for analyzing hydrogen bonds","software","no","","0","Lower-priority member of semantic cluster led by row 344 (Champion: 'gmx hbond')"
"gmx hbond","Fix uninitialized variable warnings in gmx hbond","A fix to prevent garbage output due to uninitialized memory","software","yes","4,137,138,208,209,210,211,315,317,321,574,575,725,727,738,747,759,775,823,910","34","Lower-priority member of semantic cluster led by row 344 (Champion: 'gmx hbond')"
"gmx hbond-legacy","gmx hbond-legacy","A legacy version of the gmx hbond tool for analyzing hydrogen bonds","software","yes","4,209,210,211,315,321,727,747","11","Lower-priority member of semantic cluster led by row 346 (Champion: 'gmx hbond-legacy')"
"gmx hbond-legacy","gmx hbond-legacy","The old implementation of the gmx hbond tool","software","yes","4,209,210,211,315,321,727,747","11","Lower-priority member of semantic cluster led by row 346 (Champion: 'gmx hbond-legacy')"
"gmx hbond-legacy","gmx hbond-legacy","The deprecated version of the gmx hbond tool","software","yes","4,209,210,211,315,321,727,747","11","Lower-priority member of semantic cluster led by row 346 (Champion: 'gmx hbond-legacy')"
"gmx hbond-legacy","gmx hbond-legacy","A deprecated version of the gmx hbond tool","software","yes","4,209,210,211,315,321,727,747","11","Lower-priority member of semantic cluster led by row 346 (Champion: 'gmx hbond-legacy')"
"gmx helix","gmx helix","A GROMACS tool to compute properties of helical structures","software","yes","4,213,214,315,322,859","7","Lower-priority member of semantic cluster led by row 351 (Champion: 'gmx helix')"
"gmx helixorient","gmx helixorient","A GROMACS tool to calculate the orientation of an alpha helix","software","yes","4,215,315,322","6","Lower-priority member of semantic cluster led by row 353 (Champion: 'gmx helixorient')"
"gmx hydorder","gmx hydorder","A GROMACS tool to compute tetrahedrality order parameters","software","yes","4,216,217,315,322","7","Lower-priority member of semantic cluster led by row 355 (Champion: 'gmx hydorder')"
"gmx insert-molecules","gmx insert-molecules","A GROMACS tool to insert molecules into a system, e.g., for solvation","software","yes","4,44,199,218,315,318,332,336,353,900,909","19","Lower-priority member of semantic cluster led by row 357 (Champion: 'gmx insert-molecules')"
"gmx lie","Fix incorrect reading of certain older tpr files","A fix for incorrect reading of some older tpr files, which could lead to memory allocation errors","software","yes","4,219,315,319,788,823","8","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx lie","Fix segmentation fault with gmx lie","A fix for a crash due to mismatching energy term sizes","software","yes","4,219,315,319,788,823","8","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx lie","Fix segmentation fault with gmx lie","A fix for a crash due to mismatching energy term sizes","software","yes","4,219,315,319,788,823","8","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx lie","gmx lie","A GROMACS tool to compute free energy estimates using the LIE method","software","yes","4,219,315,319,788,823","8","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx lie","gmx lie","A GROMACS tool to compute free energy estimates using the LIE method","software","yes","4,219,315,319,788,823","8","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx make_edi","gmx make_edi","A GROMACS tool to generate an input file for essential dynamics sampling","software","yes","4,220,221,315,323,408,799,891","10","Lower-priority member of semantic cluster led by row 365 (Champion: 'gmx make_edi')"
"Index file creation tool","gmx make_ndx","A GROMACS tool for creating and manipulating index files","software","no","","0","Lower-priority member of semantic cluster led by row 368 (Champion: 'gmx make_ndx')"
"gmx make_ndx","gmx make_ndx","A GROMACS tool to create special index groups for analysis","software","yes","4,224,282,315,319,499,537,561,752,762,776,841","17","Lower-priority member of semantic cluster led by row 368 (Champion: 'gmx make_ndx')"
"gmx make_ndx chain IDs","Made gmx make_ndx keep chain IDs","A fix to prevent chain IDs from being overwritten with default values","software","no","","0","Lower-priority member of semantic cluster led by row 371 (Champion: 'gmx make_ndx chain IDs')"
"Minimum distance matrix tool","gmx mdmat","A GROMACS tool that calculates a matrix of minimum distances between residues","software","no","","0","Lower-priority member of semantic cluster led by row 373 (Champion: 'gmx mdmat')"
"gmx mdmat","gmx mdmat","A GROMACS tool to create distance matrices between residue pairs","software","yes","4,224,225,311,315,320,571","9","Lower-priority member of semantic cluster led by row 373 (Champion: 'gmx mdmat')"
"GROMACS simulation runner","gmx mdrun","The main GROMACS program for running simulations","software","no","","0","Lower-priority member of semantic cluster led by row 882 (Champion: 'mdrun')"
"gmx mdrun -gcom","gmx mdrun -gcom","A removed feature that overrode other .mdp settings in a confusing way","software","yes","835,852","2","Lower-priority member of semantic cluster led by row 376 (Champion: 'gmx mdrun -gcom')"
"Minimum distance tool","gmx mindist","A GROMACS tool for calculating the minimum distance between two groups","software","no","","0","Lower-priority member of semantic cluster led by row 379 (Champion: 'gmx mindist')"
"gmx mindist","gmx mindist","A GROMACS tool to compute the minimum distance between groups of atoms","software","yes","4,231,315,320,333,571,865,894","14","Lower-priority member of semantic cluster led by row 379 (Champion: 'gmx mindist')"
"Angle/dihedral index file generation","gmx mk_angndx","A GROMACS tool to generate index files of angles or dihedrals","software","no","","0","Lower-priority member of semantic cluster led by row 382 (Champion: 'gmx mk_angndx')"
"gmx mk_angndx","gmx mk_angndx","A GROMACS tool to create an index file for angle/dihedral analysis","software","yes","4,233,315,319,321,561,574","9","Lower-priority member of semantic cluster led by row 382 (Champion: 'gmx mk_angndx')"
"gmx morph","gmx morph tool was removed","A tool for morphing between structures that was removed","software","yes","835","2","Lower-priority member of semantic cluster led by row 384 (Champion: 'gmx morph')"
"gmx nmr","gmx nmr","A GROMACS tool to extract distance or orientation restraint data from an energy file","software","yes","4,238,316,437,440,802,874","10","Lower-priority member of semantic cluster led by row 386 (Champion: 'gmx nmr')"
"gmx nmr -viol","gmx nmr -viol","A fix for a cryptic error with this option","software","yes","802","1","Lower-priority member of semantic cluster led by row 2347 (Champion: 'gmx nmr -viol option')"
"gmx nmr -viol","gmx nmr -viol","A fix for a cryptic error and to enforce exclusivity with other analysis modes","software","yes","802","1","Lower-priority member of semantic cluster led by row 2347 (Champion: 'gmx nmr -viol option')"
"gmx nmtraj","gmx nmtraj","A GROMACS tool to generate a virtual trajectory from a normal mode eigenvector","software","yes","4,239,240,316,318,323,742","8","Lower-priority member of semantic cluster led by row 390 (Champion: 'gmx nmtraj')"
"gmx nonbonded-benchmark","gmx nonbonded-benchmark","A GROMACS tool for benchmarking the performance of non-bonded kernels","software","yes","4,240,241,316,751","6","Lower-priority member of semantic cluster led by row 392 (Champion: 'gmx nonbonded-benchmark')"
"gmx nonbonded-benchmark","gmx nonbonded-benchmark","A tool for benchmarking non-bonded interaction performance","software","yes","4,240,241,316,751","6","Lower-priority member of semantic cluster led by row 392 (Champion: 'gmx nonbonded-benchmark')"
"gmx nonbonded-benchmark","gmx nonbonded-benchmark","A tool for which a mixup in Lennard-Jones combination rules was fixed","software","yes","4,240,241,316,751","6","Lower-priority member of semantic cluster led by row 392 (Champion: 'gmx nonbonded-benchmark')"
"Order parameter tool","gmx order","A GROMACS tool for calculating order parameters in systems like lipid bilayers","software","no","","0","Lower-priority member of semantic cluster led by row 397 (Champion: 'gmx order')"
"gmx order","gmx order","A GROMACS tool to compute order parameters, typically for lipid tails","software","yes","5,242,316,321,322,333,578,781,831,896","15","Lower-priority member of semantic cluster led by row 397 (Champion: 'gmx order')"
"Pairwise distance tool","gmx pairdist","A selection-enabled version of gmx mindist","software","no","","0","Lower-priority member of semantic cluster led by row 400 (Champion: 'gmx pairdist')"
"gmx pairdist","gmx pairdist","A GROMACS tool to calculate pairwise distances between selections","software","yes","5,174,231,244,316,317,333,571","12","Lower-priority member of semantic cluster led by row 400 (Champion: 'gmx pairdist')"
"gmx pdb2gmx","gmx pdb2gmx","A GROMACS tool to generate a topology from a PDB file","software","yes","5,42,43,44,116,246,247,316,318,335,341,464,497,501,659,734,746,789,875,878","34","Lower-priority member of semantic cluster led by row 995 (Champion: 'pdb2gmx')"
"gmx pdb2gmx","gmx pdb2gmx","A GROMACS tool to generate a topology from a PDB file","software","yes","5,42,43,44,116,246,247,316,318,335,341,464,497,501,659,734,746,789,875,878","34","Lower-priority member of semantic cluster led by row 995 (Champion: 'pdb2gmx')"
"gmx polystat","gmx polystat","A GROMACS tool to plot static properties of polymers","software","yes","5,250,316,320","7","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"Potential analysis tool","gmx potential","A GROMACS tool to calculate the electrostatic potential across the simulation box","software","no","","0","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx potential","gmx potential","A GROMACS tool to compute the electrostatic potential across the box","software","yes","5,251,316,322,323,535,578,786","12","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx principal","gmx principal","A GROMACS tool to calculate the three principal axes of inertia","software","yes","5,253,316,321","7","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"Ramachandran plot tool","gmx rama","A GROMACS tool for generating Ramachandran plots","software","no","","0","Lower-priority member of semantic cluster led by row 412 (Champion: 'gmx rama')"
"gmx rama","gmx rama","A GROMACS tool to compute and plot Ramachandran (phi/psi) angles","software","yes","5,150,254,316,322,576","9","Lower-priority member of semantic cluster led by row 412 (Champion: 'gmx rama')"
"gmx report-methods","gmx report-methods","A GROMACS tool to report basic system information from a run input file","software","yes","5,257,316,320","6","Lower-priority member of semantic cluster led by row 414 (Champion: 'gmx report-methods')"
"gmx rms -nomw","gmx rms -nomw","An option to disable mass-weighting, which now prevents atom mass guessing","identifier","no","","0","Lower-priority member of semantic cluster led by row 417 (Champion: 'gmx rms -nomw')"
"RMS distance matrix tool","gmx rmsdist","A GROMACS tool for calculating a fit-free RMSD based on interatomic distances","software","no","","0","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx rmsdist","gmx rmsdist","A GROMACS tool to compute the RMS deviation of atom distances","software","yes","5,259,260,316,320,572","9","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx rotacf","gmx rotacf","A GROMACS tool to calculate the rotational correlation function","software","yes","5,263,316,320,567","8","Lower-priority member of semantic cluster led by row 421 (Champion: 'gmx rotacf')"
"gmx rotmat","gmx rotmat","A GROMACS tool to plot the rotation matrix for least-squares fitting","software","yes","5,264,316,320","6","Lower-priority member of semantic cluster led by row 423 (Champion: 'gmx rotmat')"
"gmx saltbr","gmx saltbr","A GROMACS tool to analyze the distance between charged groups (salt bridges)","software","yes","5,265,266,316,321","6","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
"gmx sans-legacy","gmx sans-legacy","A legacy GROMACS tool to compute Small-Angle Neutron Scattering (SANS) spectra","software","yes","5,266,267,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 427 (Champion: 'gmx sans-legacy')"
"gmx sans-legacy","gmx sans-legacy","The old implementation of the gmx sans tool","software","yes","5,266,267,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 427 (Champion: 'gmx sans-legacy')"
"gmx sans-legacy","gmx sans-legacy","The deprecated version of the gmx sans tool","software","yes","5,266,267,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 427 (Champion: 'gmx sans-legacy')"
"gmx sans-legacy","gmx sans-legacy","A deprecated version of the gmx sans tool","software","yes","5,266,267,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 427 (Champion: 'gmx sans-legacy')"
"gmx sasa","gmx sasa","A GROMACS tool to compute solvent accessible surface area","software","yes","5,268,316,317,335,910","9","Lower-priority member of semantic cluster led by row 432 (Champion: 'gmx sasa')"
"gmx saxs-legacy","gmx saxs-legacy","A legacy GROMACS tool to calculate Small-Angle X-ray Scattering (SAXS) structure factors","software","yes","5,270,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 434 (Champion: 'gmx saxs-legacy')"
"gmx saxs-legacy","gmx saxs-legacy","The old implementation of the gmx saxs tool","software","yes","5,270,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 434 (Champion: 'gmx saxs-legacy')"
"gmx saxs-legacy","gmx saxs-legacy","The deprecated version of the gmx saxs tool","software","yes","5,270,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 434 (Champion: 'gmx saxs-legacy')"
"gmx saxs-legacy","gmx saxs-legacy","A deprecated version of the gmx saxs tool","software","yes","5,270,271,316,320,727,747","9","Lower-priority member of semantic cluster led by row 434 (Champion: 'gmx saxs-legacy')"
"gmx scattering","gmx scattering","A GROMACS tool to calculate SANS and SAXS scattering curves","software","yes","5,271,316,317,727,747","8","Lower-priority member of semantic cluster led by row 441 (Champion: 'gmx scattering')"
"gmx scattering","gmx scattering","A GROMACS tool to calculate SANS and SAXS scattering curves","software","yes","5,271,316,317,727,747","8","Lower-priority member of semantic cluster led by row 441 (Champion: 'gmx scattering')"
"gmx sham","gmx sham","A GROMACS tool for making multi-dimensional free-energy, enthalpy, and entropy plots","software","yes","5,275,316,319","8","Lower-priority member of semantic cluster led by row 442 (Champion: 'gmx sham')"
"gmx sigeps","gmx sigeps","A GROMACS tool to convert between different Lennard-Jones parameter representations","software","yes","5,277,278,316,319","6","Lower-priority member of semantic cluster led by row 444 (Champion: 'gmx sigeps')"
"gmx solvate","gmx solvate","A tool for which file permissions were fixed","software","yes","5,43,44,117,279,316,318,336,353,354,612,762,805,861,864,879,891,894,909","31","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx solvate","gmx solvate","A tool for which file permissions of temporary files were fixed","software","yes","5,43,44,117,279,316,318,336,353,354,612,762,805,861,864,879,891,894,909","31","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx solvate","gmx solvate","A tool for which file permissions of temporary files were fixed","software","yes","5,43,44,117,279,316,318,336,353,354,612,762,805,861,864,879,891,894,909","31","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx sorient","gmx sorient","A GROMACS tool to analyze solvent orientation around solutes","software","yes","5,280,316,321,720","7","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx spatial","gmx spatial","A GROMACS tool to calculate the spatial distribution function (SDF)","software","yes","5,282,316,319,359,799,880","11","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx spatial","gmx spatial","A GROMACS tool to calculate the spatial distribution function (SDF)","software","yes","5,282,316,319,359,799,880","11","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx spatial","gmx spatial","An analysis tool for spatial distributions, with several bug fixes","software","yes","5,282,316,319,359,799,880","11","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx spol","gmx spol","A GROMACS tool to analyze dipoles around a solute, useful for polarizable water","software","yes","5,283,284,316,321,322","7","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"TCAF tool","gmx tcaf","A GROMACS tool for calculating the transverse current autocorrelation function","software","no","","0","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx tcaf","gmx tcaf","A GROMACS tool to compute transverse current autocorrelations for viscosity estimation","software","yes","5,285,316,321,568,731","9","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx tool -tu","Time output unit fixes","A fix to produce the correct time unit string in xvg files for microseconds or larger","software","yes","825","1","Lower-priority member of semantic cluster led by row 461 (Champion: 'gmx tool -tu')"
"Trajectory analysis tool","gmx traj","A GROMACS tool for analyzing properties of trajectories over time","software","no","","0","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx traj","gmx traj","A GROMACS tool to plot coordinates, velocities, forces, and box vectors from a trajectory","software","yes","5,286,287,316,319,320,321,332,358,564,578,756,874,875,894","19","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx trjcat","gmx trjcat","A GROMACS tool to concatenate trajectory files","software","yes","5,290,292,316,319,822,880,881","12","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx trjcat","gmx trjcat","A GROMACS tool to concatenate trajectory files","software","yes","5,290,292,316,319,822,880,881","12","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx trjcat -demux","Fix default output with gmx trjcat -demux","A fix to ensure files are written when using the default file name output","software","yes","822,880","2","Lower-priority member of semantic cluster led by row 469 (Champion: 'gmx trjcat -demux')"
"gmx trjorder","gmx trjorder","A GROMACS tool to order molecules according to their distance to a reference group","software","yes","5,295,296,317,319","7","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"PME tuning utility","gmx tune_pme","A GROMACS tool to optimize PME calculation parameters","software","no","","0","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx tune_pme","gmx tune_pme","A utility to optimize PME settings for a given simulation setup","software","yes","5,36,106,116,297,298,317,319,348,456,738,894,899","25","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx tune_pme","gmx tune_pme","A GROMACS tool to systematically benchmark and optimize PME settings","software","yes","5,36,106,116,297,298,317,319,348,456,738,894,899","25","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"Velocity autocorrelation tool","gmx velacc","A GROMACS tool to calculate the velocity autocorrelation function","software","no","","0","Lower-priority member of semantic cluster led by row 478 (Champion: 'gmx velacc')"
"gmx view","gmx view","A removed built-in molecular viewer in GROMACS","software","yes","769,791","2","Lower-priority member of semantic cluster led by row 480 (Champion: 'gmx view')"
"gmx view","gmx view","A built-in viewer that was removed","software","yes","769,791","2","Lower-priority member of semantic cluster led by row 480 (Champion: 'gmx view')"
"gmx wham with angle geometries","Fix gmx wham with angle geometries","A fix for mixing up degree and radian units","software","yes","843","1","Lower-priority member of semantic cluster led by row 482 (Champion: 'gmx wham with angle geometries')"
"Helical wheel tool","gmx wheel","A GROMACS tool for creating helical wheel projections","software","no","","0","Lower-priority member of semantic cluster led by row 485 (Champion: 'gmx wheel')"
"XPM to PostScript converter","gmx xpm2ps","A GROMACS utility to convert XPM files to EPS","software","no","","0","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","Fix matrix reading in gmx xpm2ps","A fix for a failure to read a matrix if no second matrix was provided","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","Fix matrix reading in gmx xpm2ps","A fix for a failure to read a matrix if no second matrix was provided","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","gmx xpm2ps","A GROMACS tool to convert an XPM matrix file to a PostScript plot","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","gmx xpm2ps","A tool for which several bugs were fixed","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","gmx xpm2ps","A tool for which various bugs introduced since version 5.1 were fixed","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","gmx xpm2ps","A tool for which a bug was fixed when no library file was provided","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx xpm2ps","gmx xpm2ps","A tool for which various bugs introduced since GROMACS 5.1 were fixed","software","yes","225,257,311,317,319,320,493,495,496,497,505,571,807,810,823,841","19","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx-hydorder","gmx-hydorder","A GROMACS tool to compute tetrahedrality parameters","software","yes","132","1","Lower-priority member of semantic cluster led by row 355 (Champion: 'gmx hydorder')"
"gmx-hydorder","gmx-hydorder","A GROMACS tool to compute the tetrahedrality order parameters around a given atom","software","yes","132","1","Lower-priority member of semantic cluster led by row 355 (Champion: 'gmx hydorder')"
"gmx-insert-molecules","gmx-insert-molecules","A GROMACS tool to insert molecules into a system","software","yes","127","1","Lower-priority member of semantic cluster led by row 357 (Champion: 'gmx insert-molecules')"
"gmx-insert-molecules","gmx-insert-molecules","A GROMACS tool to insert molecules into existing vacancies","software","yes","127","1","Lower-priority member of semantic cluster led by row 357 (Champion: 'gmx insert-molecules')"
"gmx-lie","gmx-lie","A GROMACS tool to estimate free energy from linear combinations (LIE method)","software","yes","128","1","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx-lie","gmx-lie","A GROMACS tool to estimate free energy from linear combinations","software","yes","128","1","Lower-priority member of semantic cluster led by row 359 (Champion: 'gmx lie')"
"gmx-make_edi","gmx-make_edi","A GROMACS tool to generate input for essential dynamics sampling","software","yes","132","1","Lower-priority member of semantic cluster led by row 365 (Champion: 'gmx make_edi')"
"gmx-make_edi","gmx-make_edi","A GROMACS tool to generate input files for essential dynamics sampling","software","yes","132","1","Lower-priority member of semantic cluster led by row 365 (Champion: 'gmx make_edi')"
"gmx-make_ndx","gmx-make_ndx","A GROMACS tool to create index files","software","yes","129","1","Lower-priority member of semantic cluster led by row 368 (Champion: 'gmx make_ndx')"
"gmx-make_ndx","gmx-make_ndx","A GROMACS tool to make index files","software","yes","129","1","Lower-priority member of semantic cluster led by row 368 (Champion: 'gmx make_ndx')"
"gmx-mdmat","gmx-mdmat","A GROMACS tool to calculate a residue contact map","software","yes","129","1","Lower-priority member of semantic cluster led by row 373 (Champion: 'gmx mdmat')"
"gmx-mdmat","gmx-mdmat","A GROMACS tool to calculate residue contact maps","software","yes","129","1","Lower-priority member of semantic cluster led by row 373 (Champion: 'gmx mdmat')"
"gmx-mindist","gmx-mindist","A GROMACS tool to calculate the minimum distance between two groups","software","yes","129","1","Lower-priority member of semantic cluster led by row 379 (Champion: 'gmx mindist')"
"gmx-mindist","gmx-mindist","A GROMACS tool to calculate the minimum distance between two groups","software","yes","129","1","Lower-priority member of semantic cluster led by row 379 (Champion: 'gmx mindist')"
"gmx-mk_angndx","gmx-mk_angndx","A GROMACS tool to generate index files for angle analysis","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 382 (Champion: 'gmx mk_angndx')"
"gmx-mk_angndx","gmx-mk_angndx","A GROMACS tool to make an index file for calculation of angle distributions etc","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 382 (Champion: 'gmx mk_angndx')"
"gmx-mk_angndx","gmx-mk_angndx","A GROMACS tool to generate index files for 'gmx angle'","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 382 (Champion: 'gmx mk_angndx')"
"gmx-msd","gmx-msd","A GROMACS tool to compute mean squared displacement","software","yes","127","1","Lower-priority member of semantic cluster led by row 513 (Champion: 'gmx-msd')"
"gmx-msd","gmx-msd","A GROMACS tool to compute mean squared displacements","software","yes","127","1","Lower-priority member of semantic cluster led by row 513 (Champion: 'gmx-msd')"
"gmx-nmeig","gmx-nmeig","A GROMACS tool to diagonalize the Hessian for normal mode analysis","software","yes","133","1","Lower-priority member of semantic cluster led by row 516 (Champion: 'gmx-nmeig')"
"gmx-nmeig","gmx-nmeig","A GROMACS tool to diagonalize the Hessian for normal mode analysis","software","yes","133","1","Lower-priority member of semantic cluster led by row 516 (Champion: 'gmx-nmeig')"
"gmx-nmens","gmx-nmens","A GROMACS tool to generate an ensemble of structures from normal modes","software","yes","133","1","Lower-priority member of semantic cluster led by row 519 (Champion: 'gmx-nmens')"
"gmx-nmens","gmx-nmens","A GROMACS tool to generate an ensemble of structures from the normal modes","software","yes","133","1","Lower-priority member of semantic cluster led by row 519 (Champion: 'gmx-nmens')"
"gmx-nmr","gmx-nmr","A GROMACS tool to extract distance or orientation restraint data from an energy file","software","no","","0","Lower-priority member of semantic cluster led by row 386 (Champion: 'gmx nmr')"
"gmx-nmr","gmx-nmr","A GROMACS tool to analyze nuclear magnetic resonance properties from an energy file","software","no","","0","Lower-priority member of semantic cluster led by row 386 (Champion: 'gmx nmr')"
"gmx-nmtraj","gmx-nmtraj","A GROMACS tool to generate a trajectory from a normal mode eigenvector","software","yes","128,133","2","Lower-priority member of semantic cluster led by row 390 (Champion: 'gmx nmtraj')"
"gmx-nmtraj","gmx-nmtraj","A GROMACS tool to generate an virtual trajectory from an eigenvector, corresponding to a harmonic Cartesian oscillation around the average structure","software","yes","128,133","2","Lower-priority member of semantic cluster led by row 390 (Champion: 'gmx nmtraj')"
"gmx-nmtraj","gmx-nmtraj","A GROMACS tool to generate a virtual oscillating trajectory from an eigenvector","software","yes","128,133","2","Lower-priority member of semantic cluster led by row 390 (Champion: 'gmx nmtraj')"
"gmx-nonbonded-benchmark","gmx-nonbonded-benchmark","A GROMACS tool to run benchmarks for one or more so-called Nbnxm non-bonded pair kernels","software","no","","0","Lower-priority member of semantic cluster led by row 392 (Champion: 'gmx nonbonded-benchmark')"
"gmx-nonbonded-benchmark","gmx-nonbonded-benchmark","A GROMACS tool for benchmarking tool for the non-bonded pair kernels","software","no","","0","Lower-priority member of semantic cluster led by row 392 (Champion: 'gmx nonbonded-benchmark')"
"gmx-order","gmx-order","A GROMACS tool to compute order parameters, e.g., for lipid tails","software","yes","130,132","2","Lower-priority member of semantic cluster led by row 397 (Champion: 'gmx order')"
"gmx-order","gmx-order","A GROMACS tool to compute the order parameter per atom for carbon tails","software","yes","130,132","2","Lower-priority member of semantic cluster led by row 397 (Champion: 'gmx order')"
"gmx-order","gmx-order","A GROMACS tool to compute the order parameter per atom for carbon tails","software","yes","130,132","2","Lower-priority member of semantic cluster led by row 397 (Champion: 'gmx order')"
"gmx-pairdist","gmx-pairdist","A GROMACS tool to calculate pairwise distances between groups","software","yes","127","1","Lower-priority member of semantic cluster led by row 400 (Champion: 'gmx pairdist')"
"gmx-pairdist","gmx-pairdist","A GROMACS tool to calculate pairwise distances between one reference selection and one or more other selections","software","yes","127","1","Lower-priority member of semantic cluster led by row 400 (Champion: 'gmx pairdist')"
"gmx-pairdist","gmx-pairdist","A GROMACS tool to calculate pairwise distances between groups of positions","software","yes","127","1","Lower-priority member of semantic cluster led by row 400 (Champion: 'gmx pairdist')"
