"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Run Analysis","runanalysis","Immediately executes a specified analysis command or all queued analyses.","process","yes","692,6322,9985,12174,13398,13409,13415,13416,43908,45887,45925,48599,49102,49132,50017,50092,51423,52101,52722,55930","20"
"Atom Selection","select","Prints the atom numbers resulting from a mask expression.","method|identifier","yes","605,1739,1749,1991,2020,2419,4179,4187,4195,4220,4236,9020,9453,10005,10623,10880,10909,13421,13425,13430,14046,14054,16191,16838,18154,18596,18739,25981,43269,47238,48230","31"
"System Command","System Commands","Commands that call external programs like 'ls' or 'gnuplot'.","software|method","yes","722,13579,13583","3"
"Amber Topology File",".parm7","Amber's standard file for molecular topology and parameters.","data format","yes","8487,13742","2"
"PDB (Protein Data Bank) File",".pdb","A standard text file format for 3D molecular structures.","data format","yes","13780,17344","2"
"Mol2 File",".mol2","A molecular file format from Tripos for structure and properties.","data format","yes","9048,13818,17382,19860,24377,34520","6"
"CIF (Crystallographic Information File)",".cif","A standard file format for crystallographic data.","data format","yes","13856,17610","2"
"CHARMM PSF File",".psf","A protein structure file containing topology information for CHARMM.","data format","yes","13894","1"
"GROMACS Topology File",".top","A topology file for the GROMACS simulation package.","data format","yes","13932","1"
"SDF (Structure-Data File)",".sdf","A chemical file format for storing one or more molecules.","data format","yes","13970,17724","2"
"Tinker ARC File",".arc","A trajectory or coordinate file format from the TINKER package.","data format","yes","14008,17648","2"
"Angle Information","angleinfo | angles | printangles","Prints detailed information about angles in the topology.","method","yes","14544,14607","2"
"Atom Information","atominfo | atoms | printatoms","Prints detailed information for selected atoms in the topology.","method","yes","10925,14650","2"
"Generalized Born Radius","GBradius","An effective atomic radius used in Generalized Born implicit solvent models.","measure|model","yes","14706,14744,14746","3"
"Lennard-Jones Parameters","rVDW, eVDW","Parameters defining the van der Waals interactions between atoms.","model|measure","yes","15478","1"
"Bond Information","bondinfo | bonds | printbonds","Prints detailed information about bonds in the topology.","method","yes","14765,14828,16020,16059,16087,16092,41632","7"
"Bond Parameter Information","bondparminfo","Prints the table of unique bond parameters from the topology.","method","yes","14161,14871,14875","3"
"Change Topology","change","A command to modify various aspects of a topology.","method","yes","621,5269,5275,5292,5300,5867,8669,8774,9834,9874,10925,10992,11001,11009,11017,11236,12874,14181,14190,14510,14931,14935,15033,15053,15073,15109,15155,15177,15280,15289,15297,15367,15368,15372,15693,16029,19597,23943,24708,24732,36163,36171,36179,36187,40400,47000,48201,51303,51319,51321,51324","51"
"Chain ID","chainid","An identifier used in PDB files to distinguish different polymer chains.","identifier","yes","1657,14947,15057,15073,15925,16792,19353,19392,19393,19436,19440,28780,34563,34571","14"
"Original Residue Number","oresnums","The residue number as it appeared in the original input (e.g., PDB) file.","identifier","yes","2664,2709,14951,15077,15156,16791","6"
"Insertion Code","icodes","A character used in PDB files to handle insertions in a sequence.","identifier","yes","14955","1"
"Compare Topologies","comparetop","Compares two topologies and reports differences in parameters and properties.","method","yes","14221,15432,15436","3"
"Dihedral Information","dihedralinfo | dihedrals | printdihedrals","Prints detailed information about dihedral angles in the topology.","method","yes","15506,15574","2"
"Hydrogen Mass Repartitioning","hmassrepartition","Increases hydrogen mass to allow for longer simulation time steps.","method|process","yes","14261,14270,15632,15636,15702,15703","6"
"Improper Dihedral Information","improperinfo | impropers | printimpropers","Prints detailed information about improper dihedral angles.","method","yes","15712","1"
"Molecule Information","molinfo","Prints information about the molecules defined in the topology.","method","yes","14321,15844,15848,15895,16064,16072,16092,28734","8"
"Modify Box Parameters","parmbox","Modifies the periodic box dimensions and angles in a topology.","method","yes","14361,16251,16255,16260,16387","5"
"Truncated Octahedron","truncoct","A space-filling polyhedron used as a periodic boundary condition shape.","model|state","yes","2130,16265,16311,24114,24663,24736,24744,28609,31523,31552,31570,31630,31634,32508,37478,39119,39123","17"
"Topology Information","parminfo","Prints a summary of the information contained in a topology file.","method","yes","745,14381,16395,16399,16404,20153","6"
"Strip from Topology","parmstrip","Permanently removes selected atoms from a topology in memory.","method|process","yes","14401,16383,16418,16422,16427,16475","6"
"Write Topology","parmwrite","Writes a topology from memory to a file in a specified format.","method","yes","12467,14421,16391,16479,16483,16487,16492,16546,16960,41480","10"
"Urey-Bradley Information","printub | ubinfo","Prints information about Urey-Bradley 1-3 interaction terms.","method","yes","16618","1"
"Urey-Bradley Term","Urey-Bradley","A force field term describing interactions between 1,3-bonded atoms.","model","yes","14450,16673","2"
"Residue Information","resinfo","Prints detailed information about residues in the topology.","method","yes","14461,16679,16683,16758,16807","5"
"Scale Dihedral Force Constant","scaledihedralk","Scales the force constants of selected dihedral angles.","method","yes","14481,16824,16828","3"
"Define Solvent","solvent","Specifies which molecules in the topology should be treated as solvent.","method|state","yes","4185,4195,8556,14501,14510,15900,15941,15943,16375,16843,16854,16858,16863,20690,20988,22136,24090,24098,24188,25238,25263,25275,25279,25284,25309,25330,25382,25386,25390,25402,25404,25412,27079,27113,29054,29184,29185,29193,29194,29195,29201,29402,29410,29426,29446,29466,29495,29500,29504,29527,29528,29862,29866,29867,29875,29933,29942,29960,30009,30014,30035,30040,30057,30072,30335,30886,31491,31718,31719,31720,31721,31801,31810,31819,31820,31829,31840,31862,31951,31963,31975,31993,32168,32199,32202,32203,32259,32269,32277,32278,32294,32339,32343,32345,32363,32416,33216,36855,36856,38477","131"
"Update Parameters","updateparameters","Updates parameters in a topology using values from another source.","method|process","yes","14521,16871,16920,16948,16952","5"
"Amber Trajectory Format",".crd","Amber's standard ASCII coordinate trajectory file format.","data format","yes","17070","1"
"Amber NetCDF Trajectory Format",".nc","Amber's binary trajectory format using the NetCDF library.","data format","yes","2636,2640,3972,17108","6"
"Amber Restart File",".rst7, .rst","An Amber file containing coordinates and velocities for restarting simulations.","data format|data source","yes","17146","1"
"Amber NetCDF Restart File",".ncrst","A NetCDF-based restart file for Amber simulations.","data format|data source","yes","17184","1"
"CHARMM DCD Trajectory File",".dcd","A widely used binary trajectory file format originating from CHARMM.","data format","yes","186,17230","2"
"CHARMM Coordinate File",".cor","A CHARMM file format for storing a single set of coordinates.","data format","yes","17268","1"
"CHARMM Restart File",".res","A file for restarting a CHARMM simulation.","data format|data source","yes","17306","1"
"Scripps Binpos Format",".binpos","A binary coordinate file format.","data format","yes","17420","1"
"GROMACS TRR File",".trr","A GROMACS trajectory file storing coordinates, velocities, and forces.","data format","yes","17458","1"
"GROMACS GRO File",".gro","A GROMACS coordinate file format for a single structure.","data format","yes","17496","1"
"GROMACS XTC File",".xtc","A compressed trajectory format from GROMACS for coordinates only.","data format","yes","17534","1"
"GROMACS TNG File",".tng","The next-generation, flexible trajectory format for GROMACS.","data format","yes","17572","1"
"SQM Input File",".sqm","An input file format for the semi-empirical QM program SQM.","data format","yes","17686","1"
"Desmond DTR File",".dtr","A trajectory file format used by the Desmond simulation software.","data format","yes","17800","1"
"LMOD Conflib File",".conflib","A conformational library file format for the LMOD software.","data format","yes","17838","1"
"MDTraj H5 File",".h5","An HDF5-based trajectory file format used by the MDTraj library.","data format","yes","17876","1"
"MDAnalysis H5MD File",".h5md","An HDF5-based trajectory file format used by the MDAnalysis library.","data format","yes","17914","1"
"Ensemble Trajectory Processing","ensemble","Processes a set of trajectories as a synchronized ensemble.","method|process","yes","167,951,999,1126,1130,1131,1132,1133,1135,1136,1137,1138,1144,4252,4260,5304,5363,9634,9914,12244,12245,13112,13113,13126,13127,13133,13135,17987,17996,18019,18082,18096,18100,18133,18145,18231,18240,18244,18248,18257,18265,18270,18272,18287,18311,18331,18351,18825,18848,19126,19994,34785,53951","55"
"Ensemble Size","ensemblesize","Specifies the number of trajectories in an ensemble for MPI efficiency.","method|state","yes","1131,1132,1141,18007,18281,18307,18327,18339,18343","9"
"Reference Structure","reference","A single coordinate frame used for alignment or comparison.","data source|state","yes","159,203,204,214,263,411,500,501,678,706,731,775,1159,1675,1907,1910,1915,1918,2031,2035,2065,2068,2076,2084,2086,2094,2098,2102,2118,2120,2121,2142,2151,2153,2154,2155,2945,2973,5054,5067,5081,5123,5139,5914,6038,6067,6240,6363,6371,6379,6697,6706,7106,7889,8269,8282,8904,8908,8912,9158,9453,10146,10148,10170,10256,10338,10573,10929,12614,13035,13043,13144,13235,13343,13354,13363,13379,13381,13390,13394,13571,15998,16082,16209,16973,18033,18042,18358,18369,18374,18393,18401,18405,18418,18430,18439,18444,18451,18457,18461","381"
"Input Trajectory","trajin","Specifies an input trajectory file to be processed.","method|data source","yes","403,464,480,492,801,819,1033,2039,2090,2138,2644,2766,2788,2792,6331,7852,7882,7886,7972,7978,10208,12223,12467,12524,12829,16204,16209,16455,18053,18235,18393,18487,18507,18518,18523,18733,18747,18772,18776,18780,18784,18829,18837,18943,19203,19207,19233,19988,23143,23778,23829,24043,24391,25139,28210,28385,28605,28609,28763,28979,30481,31523,31552,31570,31586,31630,33010,33059,34326,37315,37444,37478,37930,39123,39857,39882,39926,41528,42249,42373,42687,43055,43927,45870,45901,46173,51397,52485,53166,53194,53982,55669,55760,55877,55954","99"
"Replica-Exchange Trajectory","remdtraj","Option to process trajectories from a replica-exchange simulation.","method|data source","yes","18238,18544,18654,18802,18829,18837,19576,19585,19617,19626,19669,19679","12"
"Output Trajectory","trajout","Specifies an output trajectory file to be written.","method","yes","403,472,488,2052,6289,6293,6931,7150,10208,12223,12467,12524,16461,18073,18082,18240,18261,18315,18335,18998,19001,19009,19014,19118,19175,19186,19187,19211,19217,19237,24047,24250,24293,24297,24356,24362,25132,25147,28625,28771,32608,33042,33077,33089,33123,33142,34334,34427,37372,37385,37389,37393,37396,37434,37448,39030,41540,45909,51529,51542,51546,51614,51725,51729,51749,51774,52083,52101","71"
"PQR Format","dumpq | parse | vdw","A PDB-like format with atomic charges and radii in B-factor/occupancy columns.","data format","yes","19345,19378,19383,19387","4"
"Anisotropic B-factor","adpdata","Describes atomic thermal motion anisotropically using a tensor.","measure|model","yes","19373,19544,23849","3"
"SYBYL Atom Type","sybyltype","Atom types defined in the SYBYL/Tripos force field.","model|identifier","yes","19851,19870,19875","3"
"XYZ File Format",".xyz","A simple text-based chemical file format for coordinates.","data format","yes","17762","1"
"Action","Action","A command that operates on trajectory frames.","method|process","yes","191,214,749,975,1104,1897,1907,2121,2122,2156,2866,2981,3019,4161,4214,6275,6276,6483,6543,6908,6913,7102,10147,12511,12700,12710,16190,16373,16447,18240,19157,19159,19325,19331,19970,20008,20022,20029,20046,20047,20080,20083,20153,22722,25480,37439,37726,37918,39588,39610,39917,43358,43665,43831,43884,45800","58"
"Root-Mean-Square Fluctuation","rmsf","Calculates the root mean square fluctuation of specified atoms.","measure|method","yes","20360,23537,23657,23662,23696,23811,39622,44284","8"
"Atom Mapping","atommap","Maps atoms between structures with different ordering or names.","method|process|algorithm","yes","20389,23853,23857,23862,23982,24039","7"
"Automatic Imaging","autoimage","Automatically centers and images coordinates based on periodic boundaries.","method|process|algorithm","yes","20418,21372,24051,24055,24168,24197,28815,31527,31556,31590,31638,32558","12"
"Average Structure","average","Calculates the mean coordinates of a set of frames.","method|process","yes","4669,6340,6341,6355,6359,6363,6375,18477,18479,18495,20340,20447,20456,20485,21462,22312,23493,23504,23591,23596,23688,23724,23769,23786,23837,24221,24224,24232,24237,24277,24302,24332,24373,24382,24386,24395,24431,24439,24447,24452,24453,24489,24490,24491,26005,26052,26145,26241,26260,26409,26410,27685,27698,27702,27706,27710,27715,27720,27725,29374,30155,30177,30389,30837,31535,31539,31602,31917,32211,32246,32250,32294,32350,32354,33089,33111,33132,33139,34689,34702,37211,37676,37701,37768,37772,38557,38756,39395,39475,39982,39989,40005,40087,40199,40767,41356,42490,42606,42607,42678","191"
"Average Unit Cell","avgbox","Calculates the average unit cell vectors over a trajectory.","measure|method","yes","20476,20485,24411,24422,24431,24439,24447,24452,24453,26260,26409,26417,42490,42606,42614,42678,42695","17"
"Coordinate Bounds","bounds","Calculates the minimum and maximum coordinates for selected atoms.","measure|method","yes","11207,11220,11224,11228,20505,24505,24508,24516,24529,24537,24561,27270,27283,27287,27291,31477,31483,31582,31598,31602,31618,31622,43498,54276,54442,54452","27"
"Periodic Box Manipulation","box","Sets or modifies the periodic box information for frames.","method|state","yes","10,6872,14370,16307,16319,16327,16335,16343,16351,16359,16364,16365,16370,16373,16375,18896,18901,18907,19069,19269,19270,19301,19306,19322,19448,19790,19794,19800,19806,19934,20485,20535,20544,20573,23095,23406,23413,24104,24454,24654,24658,24708,24732,24744,24748,24752,24762,24776,24781,24815,24816,24818,24821,24827,24863,24910,24916,25028,25070,25350,26259,26409,26410,26890,26965,27011,27045,28683,29662,31010,31027,31148,31235,31281,31315,31464,31466,31626,32486,32566,32574,32582,32583,32599,32959,38961,39069,41164,41441,41520,41966,41976,42213,42214,42241,42587,42606,42607,42654,42678","115"
"Centering","center","Translates coordinates to center a selection at a specific point.","method|process","yes","1388,1392,1393,1395,1406,1419,1428,1439,1448,1459,1468,1479,1488,1499,1508,1519,1528,1868,1982,2232,2233,2235,2246,2259,2268,2279,2288,2299,2308,3046,3050,3051,3052,3053,3054,3056,3067,3078,3089,3100,3113,3122,3131,3140,3149,3160,3169,3178,3187,3196,3207,3216,3225,3234,3243,3254,3263,3272,3281,3290,3301,3310,3319,3328,3337,3348,3357,3366,3375,3384,3395,3404,3413,3422,3431,3442,3451,3460,3469,3478,3489,3498,3507,3516,3525,3536,3545,3554,3563,3572,3583,3592,3601,3610,3619,3630,3639,3648,3657,3666","1356"
"Structure Checking","check | checkoverlap | checkstructure","Checks for steric clashes or unusual bond lengths in frames.","method|process","yes","24924","1"
"Chirality","checkchirality","Determines the chirality (L or D) of amino acid alpha-carbons.","measure|chemical entity","yes","8845,20652,20661,23953,25151,25155,25193,25199,25204","9"
"Closest Solvent Molecules","closest | closestwaters","Retains a specified number of solvent molecules nearest to a solute.","method|process","yes","25224,25330,25402","3"
"Dihedral Clustering","clusterdihedral","Clusters trajectory frames based on dihedral angle values.","method|algorithm","yes","1046,20711,25492,25496,25501,25921","6"
"Native Contacts","contacts","Calculates intermolecular or intramolecular contacts present in a reference structure.","measure|method","yes","1052,20741,21844,25636,25640,25669,25679,25703,25705,25744,36806,36810,36818,36842,36851,36892,36904,36914,36926,36956,36957,37003,37030,37047,37064,37077,37078,37089,37093,37105,37109,37113,37117,37121,37125,37138,37145,37149,37157,37158,37168,37183,37220,37221,37225,37241,37243,37245,37259,37262,37281,37286,37302,37306,37307","89"
"Reservoir-REMD","createreservoir","Creates a structure reservoir for use in reservoir REMD simulations.","method|process","yes","1058,20805,25806,25810","4"
"Density Profile","density","Calculates number, mass, or charge density along an axis.","measure|method","yes","3587,3614,6131,20834,20843,25926,25930,25957,25998,26004,26005,26024,26052,26060,26073,26078,26079,26091,26101,26111,26121,26137,26150,27067,27091,28958,29335,29336,29340,29341,29345,29349,29353,29357,29361,29366,29378,29382,29386,29410,29501,29633,29637,29640,29641,29730,29740,29752,29755,29830,29831,29844,29845,29862,29875,29893,29917,29929,29947,29955,29978,29986,30063,30072,30103,30115,30127,30152,30254,30271,30279,30287,30295,30298,30307,30309,30319,30334,30349,30350,30352,30354,30363,30364,30366,30368,30468,30538,30583,30813,30886,30977,31152,31337,31361,31365,31366,31367,31383,31401","172"
"Translational Diffusion","diffusion","Calculates the translational diffusion coefficient from mean-square displacement.","measure|method","yes","1101,1241,20863,20872,22482,22658,26154,26157,26169,26175,26229,26241,26242,26250,26255,26265,26295,26317,26380,26388,26393,26464,26473,26484,26534,26568,26598,26603,26604,26606,26624,26628,26632,41379,42062,42082,42119,42141,42158,42184,42190,42220,42223,42229,42240,42655,42679,42711,42715,43136,43170,44052,45133,45684,45692,45697,45725,45754,45776,45793,45797,45803,45816,45830,45833,45839,45869,45913,53638,53647,53657,53666,53758,53764,53781,53782,53890,53894,53919,53921,53952,53966,53969","87"
"Mean-Square Displacement (MSD)","MSD","A measure of the average distance a particle travels.","measure","yes","7054,7338,7449,26201,26210,26237,26250,26275,26279,26283,26287,26337,26345,26353,26361,26374,26481,26482,26483,26546,26561,26562,26568,26574,41325,41373,42099,42103,42107,42111,42253,45709,45717,45725,45734,45738,45742,45746,45793,45810","41"
"Dihedral Angle","dihedral","Calculates the torsion angle defined by four atoms.","measure","yes","2995,2999,5390,5394,6664,6726,8010,8038,8073,8078,8112,8116,8128,8207,8214,8222,8995,9003,9019,9028,9040,9045,9047,10680,11177,11241,11242,12067,12076,13263,13343,14250,14490,15490,15549,15574,15579,15585,15587,15591,15595,15599,15608,16832,16838,16839,20720,20892,20901,21134,21404,21580,21757,23952,24003,24005,25522,25523,25529,25539,25594,25595,25603,26636,26640,26645,26672,26688,26697,26708,26710,26734,26760,26764,26781,26833,27597,27706,27760,27861,28148,32714,32726,32745,32755,32768,32782,32806,32807,34070,34219,34278,34847,34848,34852,34951,35378,35400,35421,35425","135"
"Dihedral RMSD","dihrms | dihedralrms","Calculates the RMSD of dihedral angles relative to a reference.","measure|method","no","","0"
"Distance RMSD","drms | drmsd","Calculates the RMSD of internal pairwise distances.","measure|method","yes","27334,27481,53010","4"
"Energy Decomposition","enedecomp","Performs a per-atom decomposition of the potential energy.","method|process","yes","21096,21105,27559,27563,27731","5"
"Potential Energy","energy","Calculates potential energy terms (bond, angle, nonbonded, etc.).","measure|method","yes","1249,1443,3435,3446,3858,6563,7202,7304,21105,21125,21134,21491,25810,25836,25918,27584,27597,27601,27685,27698,27702,27706,27710,27715,27720,27725,27731,27732,27734,27740,27741,27752,27756,27819,27831,27836,27837,27838,27853,27857,27861,27865,27877,27881,27885,27889,27894,27904,27961,28043,28140,28144,28148,28152,28156,28160,28164,28168,28172,28177,28179,28191,28202,28214,28276,28938,28983,29246,29345,29349,29394,29398,29656,29676,29730,29731,29955,29965,29973,29986,29989,30009,30035,30057,30072,30093,30319,30334,30439,30449,30574,30813,30867,30873,30925,30957,31006,31011,31027,31037","133"
"SANDER API","esander","Calculates energies by interfacing with the Amber SANDER library.","method|software","yes","21155,21164,28218,28222,28268,28274,28275,28389","8"
"Frame Filtering","filter","Selects frames for subsequent analysis based on data criteria.","method|process","yes","9573,10407,10412,10514,10546,10559,10567,10573,21185,21194,28393,28396,28404,28459,28572,28617,28628","22"
"Atom Order Fixing","fixatomorder","Reorders atoms to ensure molecules are defined by sequential atoms.","method|process","yes","21214,28658,28662,28767","4"
"Image Bond Fixing","fiximagedbonds","Corrects covalent bonds that are broken by periodic imaging.","method|process","yes","21243,28797,28801","3"
"Grid Inhomogeneous Solvation Theory","gist","An analysis method to map solvent structure and thermodynamics.","method|algorithm","yes","1112,1253,1362,21272,28822,28826,28831,29070,29106,29115,29125,29134,29143,29156,29200,29211,29394,29398,29487,29490,29495,29500,29509,29513,29518,29522,29526,29531,29533,29535,29536,29560,29569,29580,29651,29655,29657,29693,29699,29720,29991,30085,30235,30236,30237,30238,30243,30245,30261,30269,30277,30285,30293,30305,30317,30332,30347,30361,30375,30387,30400,30404,30422,30459,30463,30466,30472,30493,30497,30509,30517,30523,30527,30532,30534,30541,30809,30829,30849,30914,30920,30926,30931,30933,31010,31015,31026,31031,31093","102"
"Voxel","voxel","A single grid point or box in a 3D grid analysis.","identifier","yes","28910,29045,29335,29340,29366,29503,29624,29732,29752,29754,29757,29761,29764,29770,29782,29790,29798,29806,29818,29819,29820,29830,29844,29917,29947,29960,29978,29990,29991,30063,30094,30151,30152,30156,30169,30189,30190,30245,30339,30349,30353,30363,30367,30378,30390,30401,30426,30448,30850,30894,30906,30957,30959,31006,31007,31056,31068","59"
"Grid Binning","grid","Bins atomic positions onto a three-dimensional grid.","method|process","yes","2951,3267,5470,5629,5639,5647,5655,5663,6105,6123,6131,6132,15969,16029,16035,20515,20988,21281,21301,21310,22847,24561,24562,24583,24591,24633,24636,24640,26903,26908,26932,26940,26941,26965,26991,27007,27011,27019,27027,27033,27041,27067,27075,27103,27674,28116,28822,28856,29003,29011,29032,29045,29082,29086,29174,29324,29394,29398,29487,29502,29503,29529,29619,29622,29625,29662,29664,29666,29699,29706,29755,29764,29770,29991,30233,30399,30414,30466,31010,31026,31093,31109,31120,31173,31178,31202,31210,31211,31235,31261,31277,31281,31289,31297,31303,31311,31337,31345,31349,31353","152"
"J-Coupling","jcoupling","Calculates scalar coupling constants from dihedral angles.","measure|method","yes","21395,21404,32612,32616,32621,32647,32692,32727,32786,32808,32818","11"
"Locally-Enhanced Sampling (LES)","lessplit","An enhanced sampling method; this action processes LES trajectories.","method|process","yes","21453,33085,33089","3"
"Linear Interaction Energy (LIE)","lie","A method to estimate ligand binding free energies.","measure|method","yes","21482,24201,33146,33150,33155","5"
"Lipid Order Parameter","lipidorder","Calculates the deuterium order parameter (SCD) for lipid acyl chains.","measure|method","yes","1064,21512,33233,33406","4"
"Deuterium Order Parameter","SCD","A measure of the orientational order of C-H bonds in lipids.","measure","yes","21550,33237,33257,33258,33270,33276,33324,33328,33395,33399,33506","13"
"Structure Modification","makestructure","Modifies a structure by setting specified dihedral angles to new values.","method|process","yes","21571,33517,33521,34238,34248,34274,34283,34292,34330","9"
"Minimum/Maximum Distance","mindist/maxdist","Calculates the minimum or maximum distance between two groups of atoms.","measure|method","yes","21659,35035","2"
"Minimum Image Distance","minimage","Calculates the shortest distance between atoms considering periodic boundaries.","measure|method","yes","1277,21689,35160,35164,42742,42894,43059","7"
"Connolly Surface","molsurf","Calculates the solvent-accessible or solvent-excluded surface area.","measure|method","yes","21718,21727,35237,35241,35246,35323,35332","7"
"Nucleic Acid Structure Analysis","nastruct","Performs a detailed analysis of nucleic acid structural parameters.","method|process","yes","2052,21806,35821,35825,35830,36428,36505,36538,36606,36610,36697,36705","14"
"Pair Distribution Function","pairdist","Describes the probability of finding a particle at a distance from another.","measure|method","yes","21924,21933,37490,37494,37498,46529,47131,47147,47151,47165,47169,47177,47181,47915,47927,47972,47976,48189","18"
"Pairwise Energy","pairwise","Calculates pairwise non-bonded interaction energies between selections.","measure|method","yes","1070,3869,3896,3916,3943,5703,21953,30924,37519,37523,37726,37731,46463,46525,46685,47127,47135,47145,47158,47163,47175,47208,47209,47966,48252,48256,48328,48337,48341,48383,48403,48414","33"
"Principal Axes","principal","Calculates the principal axes of inertia for a selection of atoms.","measure|method","yes","6008,6018,19265,21982,21991,37805,37809,37818,37822,37859,37887,37934,42750,42964,42968,43020,49327,51765,51774,51918,52086,52087,54876,55829","25"
"Coordinate Projection","projection","Projects trajectory coordinates onto eigenvectors (e.g., from PCA).","method|process","yes","22011,37938,37941,37949,38007,38020,38035,38044,38052,38060,38072,38148,51765,51774,52574,52589,52598,52608,52614,55847,55856,55941,55945,55996","24"
"Radius of Gyration","radgyr | rog","A measure of the spatial extent of a selection of atoms.","measure","yes","22078,38375,38402,38414,38418,38422,38431,38435,38439,38444,38445","11"
"Ion Randomization","randomizeions","Randomly swaps the positions of specified ions and solvent molecules.","method|process","yes","22127,38777,38781,38900","4"
"Cell Replication","replicatecell","Creates a supercell by replicating the unit cell in specified directions.","method|process","yes","1285,22185,38997,39001,39127","5"
"Running Average","runavg | runningaverage","Calculates a running average of coordinates over a time window.","method|process","yes","22312,39950,39982,45169,46931,46948,48246,54027,54035,54047,54055,54060","12"
"Coordinate Scaling","scale","Scales the coordinates of selected atoms by specified factors.","method|process","yes","14490,15267,15275,16828,16832,19520,19524,22361,22370,32946,37693,40009,40013,40017,40897,40935,40944,40952,40960,40968,41427,43281,53459,53753,54816,54822,54837,55382,55394,55403","31"
"Velocity Assignment","setvelocity","Assigns atomic velocities from a Maxwell-Boltzmann distribution at a given temperature.","method|process","yes","22390,40885,40889","3"
"Maxwell-Boltzmann Distribution","Maxwellian distribution","A probability distribution for the speeds of particles in a gas.","model","yes","22411,41064","2"
"SPAM (Spatial Properties of Activity by Mapping)","spam","A method to estimate relative free energies of hydration-shell waters.","method|algorithm","yes","1297,3614,22443,22452,41072,41076,41109,41158,41159,41176,41184,41193,41210,41214,41218,41222,41227,41241,43358","19"
"STFC Diffusion","stfcdiffusion","An alternative method for calculating translational diffusion.","measure|method","yes","1076,22473,41295,41299","4"
"LCPO Surface Area","surf","Calculates solvent accessible surface area using the LCPO algorithm.","measure|method","yes","1301,22532,22541,35353,41544,41555,41560,41653,41661,41665","12"
"LCPO (Linear Combination of Pairwise Overlaps)","LCPO","An algorithm for calculating solvent accessible surface area.","algorithm","yes","22541,41622","2"
"Symmetry-Corrected RMSD","symmrmsd","Calculates RMSD considering the symmetry of the molecule.","measure|method","yes","20139,22562,22571,41669,41680,41835,41865,47036,47899,53019","10"
"Toroidal Diffusion","tordiff","Calculates diffusion using a scheme that preserves toroidal views.","measure|method","yes","1082,1305,22649,42044,42048,42253","6"
"Coordinate Translation","trans | translate","Translates specified atoms by a given vector.","method|process","yes","42257","1"
"Unstripping","unstrip","Reverses the effect of all previous 'strip' action commands.","method|process","yes","22707,42341,42345,42350,42364,42393,42413","7"
"Coordinate Unwrapping","unwrap","Reverses periodic imaging to make molecular trajectories continuous.","method|process","yes","1088,1309,22742,22757,24458,26395,26434,26461,26470,42200,42433,42444,42461,42466,42470,42474,42530,42538,42563,42633,42666,42678,42703,42707,45883,45892,45905,45909,45921","30"
"Velocity Autocorrelation Function","velocityautocorr","Calculates the autocorrelation function of atomic velocities.","measure|method","yes","1313,22806,22815,43088,43092,43199","6"
"Volumetric Map","volmap","Creates a 3D density map, similar to the 'grid' command.","method|process","yes","1317,3614,22835,22844,22883,41250,41268,43205,43216,43282,43488","12"
"Crystal Symmetry Imaging","xtalsymm","Applies crystal space group symmetry operations to the system.","method|process","yes","1094,22965,43680,43684","4"
"Ewald Summation","ewald","A method for calculating long-range electrostatic interactions in periodic systems.","method|algorithm","yes","27601,27620,27628,27777,27960,27980,27988,28042,28062,28070,28122,28127,28184,28185,28186,29241,29245,29270,29278,29677,29963","22"
"Particle Mesh Ewald (PME)","pme","An efficient implementation of the Ewald sum using Fast Fourier Transforms.","method|algorithm","yes","12879,21135,27567,27601,27744,27746,27790,28042,28127,28873,29245,29394,29398,29677,29996,30055,30057,30061,30070,30072,30085","24"
"Lennard-Jones PME","ljpme","An adaptation of the PME method for long-range Lennard-Jones interactions.","method|algorithm","yes","27802,28122,28127,28129","4"
"Water Order Parameter","doorder","Calculates the tetrahedral order parameter for water molecules.","measure|method","yes","28836,28900,28902,29670,30228,30241,30393,30493","8"
"Reference Water Density","refdens","The bulk density of water used as a reference in GIST calculations.","measure|unit","yes","28840,28952,29649","3"
"Oxygen Number Density","g_O","The number density of water oxygen atoms, normalized by bulk density.","measure","yes","28960,29828,29834,30365","4"
"Hydrogen Number Density","g_H","The number density of water hydrogen atoms, normalized by bulk density.","measure","yes","28964,29842,29852,30351","4"
"Translational Entropy","dTStrans","The contribution of translational motion to the total entropy.","measure","yes","28966,29353,29891,29893,29897,29904,29906,29907,29911,29915,30235,30305,30537,30978,30988","17"
"Orientational Entropy","dTSorient","The contribution of rotational motion to the total entropy.","measure","yes","29357,29927,29929,29939,29941,29945,30236,30293,30295,30529,30967,30970,30987","14"
"Solute-Water Interaction Energy","Esw","The interaction energy between the solute and surrounding water molecules.","measure","yes","29345,29953,29955,29971,29973,29976,30021,30083,30236,30317,30319","12"
"Water-Water Interaction Energy","Eww","The interaction energy between water molecules.","measure","yes","29349,29984,29986,30047,30079,30091,30093,30236,30332,30334,30574,30872,30875,30880,30884,31011,31068,31076,31101","20"
"Solute-Solvent Interaction Energy Density (per species)","Esw_mol_NAME-dens","Mean solute-solvent energy density for a specific solvent species.","measure|identifier","yes","30003","1"
"Solvent-Solvent Interaction Energy Density (per species)","Eww_mol_NAME-dens","Mean solvent-solvent energy density for a specific solvent species.","measure|identifier","yes","30029","1"
"Normalized PME Solvent Energy","PME-norm","Mean PME solvent energy per water molecule in a voxel.","measure|identifier","yes","30055","1"
