[Term],[Variable],[Description],[Category1|Category2|...]
"Polar Decomposition","polarDecomp","Decomposes solvation free energy into polar and non-polar parts","method|process"
"Entropic Decomposition","entropicDecomp","Decomposes solvation free energy into energy and entropy parts","method|process"
"Progress Display","progress","Controls the display of calculation progress during solution","state"
"Molecular Dynamics","imin=0","Simulation method that computes the time evolution of particles","method|process"
"Minimization","imin=1","Process to find the lowest energy conformation of a molecule","method|process"
"Trajectory Post-Processing","imin=5","Analysis of a saved trajectory of molecular coordinates","process"
"r-RESPA","rismnrespa","Reversible reference system propagator algorithm for multiple time-stepping","algorithm|method"
"FCE MTS","fcenbasis","Force-Corrected Extrapolation Multiple Time-Stepping method","algorithm|method"
"rism3d.snglpnt","rism3d.snglpnt","A command-line tool for single-point 3D-RISM calculations","software"
"PDB file","--pdb","Protein Data Bank file containing atomic coordinates","data format"
"Parameter-Topology File","--prmtop","Amber file containing force field parameters and molecular topology","data format"
"Restart File","--rst","File containing coordinates and velocities for restarting a simulation","data format"
"Trajectory File","--traj","File containing a series of atomic coordinate snapshots over time","data format"
"XVV file","--xvv","Bulk solvent susceptibility file from 1D-RISM calculations","data format"
"Solvent Pair Distribution File","--guv","Output file for 3D solvent pair distribution functions (g_uv)","data format"
"Solvent Direct Correlation File","--cuv","Output file for 3D solvent direct correlation functions (c_uv)","data format"
"Solvent Total Correlation File","--huv","Output file for 3D solvent total correlation functions (h_uv)","data format"
"Solvent Potential File","--uuv","Output file for 3D solvent potential energy files","data format"
"Long Range Asymptotics","--asymp","Real-space long-range corrections for correlation functions","method|model"
"Solvent Charge Density Distribution","--quv","Output file for 3D solvent charge density distributions","data format"
"Solvent Charge Distribution","--chgdist","Output file for 3D point charge distributions from solvent","data format"
"Excess Chemical Potential","--exchem","The free energy change of adding a particle to a system","measure"
"Solvation Energy","--solvene","The energy change associated with dissolving a solute in a solvent","measure"
"Solvation Entropy","--entropy","The entropy change associated with dissolving a solute in a solvent","measure"
"Gaussian Fluctuation","--exchemGF","A method to calculate excess chemical potential","method|model"
"PC+ Correction","--exchemPC+","A correction method for solvation free energy calculations","method|model"
"UC Correction","--exchemUC","A universal correction method for solvation free energy","method|model"
"Solute-Solvent Potential Energy","--potUV","Distribution files for solute-solvent potential energy","data format"
"Closure Relation","--closure","An equation to close the Ornstein-Zernike relation in RISM","model|method"
"Kovalenko-Hirata (KH)","KH","A type of closure relation for the RISM equation","model|method"
"Hypernetted-Chain (HNC)","HNC","A type of closure relation for the RISM equation","model|method"
"Partial Series Expansion (PSE)","PSEn","A type of closure relation for the RISM equation","model|method"
"Periodic Potential","--periodic","Specifies the use of periodic boundary conditions","method|model"
"Particle Mesh Ewald (PME)","pme","An efficient method for calculating long-range electrostatic interactions","algorithm|method"
"Ewald Summation","ewald","A method for calculating long-range electrostatic interactions","algorithm|method"
"Asymptotic Correction","--noasympcorr","Turns off long-range asymptotic corrections for thermodynamic output","state"
"Buffer Distance","--buffer","Minimum distance between the solute and the solvent box edge","measure|unit"
"Solvation Cutoff","--solvcut","Cutoff distance for Lennard-Jones interactions in periodic calculations","measure|unit"
"Grid Spacing","--grdspc","The spacing between points in a 3D grid","measure|unit"
"Grid Points","--ng","The number of points in each dimension of a 3D grid","measure"
"Solvation Box Length","--solvbox","The side lengths of the solvation box","measure|unit"
"Convergence Tolerance","--tolerance","The target residual value for iterative solution convergence","measure"
"Lennard-Jones Tolerance","--ljTolerance","Determines the Lennard-Jones cutoff based on desired accuracy","measure"
"Asymptotic K-Space Tolerance","--asympKSpaceTolerance","Accuracy parameter for reciprocal space long-range asymptotics","measure"
"Treecode for DCF","--treeDCF","Uses a treecode approximation for the direct correlation function","algorithm|method"
"Treecode for TCF","--treeTCF","Uses a treecode approximation for the total correlation function","algorithm|method"
"Treecode for Coulomb","--treeCoulomb","Uses a treecode approximation for the Coulomb potential energy","algorithm|method"
"MDIIS","--mdiis_del","Modified Direct Inversion in the Iterative Subspace solver method","algorithm"
"Gaussian Fluctuation Functional","--gf","Computes the excess chemical potential using the Gaussian fluctuation functional","method|model"
"PC+/3D-RISM Functional","--pc+","Computes the excess chemical potential using the PC+/3D-RISM functional","method|model"
"Universal Correction Functional","--uccoeff","Computes the excess chemical potential using the UC functional","method|model"
"Solute Centering","--centering","Selects the method for centering the solute in the solvent box","method"
"MDL File Format","MDL","Solvent MoDeL file format using prmtop specification","data format"
"Site-site functionals format",".vv","File format for separation-dependent site-site pair functionals","data format"
"Total excess coordination number",".n00","File providing total excess coordination number around each solvent site","data format"
"Total excess charge",".q00","File providing total excess charge about each solvent site","data format"
"MRC 2014 format","MRC","A binary format for volumetric data, used by MRC and CCP4","data format"
"sqm","sqm","AmberTools' semi-empirical quantum chemistry program","software"
"AM1-BCC","AM1-bcc","A method to derive atomic charges using the AM1 Hamiltonian","method|model"
"MOPAC","MOPAC","A general-purpose semi-empirical quantum mechanics software package","software"
"Semi-empirical Hamiltonian","qm_theory","An approximation to the exact quantum mechanical Hamiltonian","model"
"PM3","PM3","Parameterization Method 3, a semi-empirical Hamiltonian","model"
"AM1","AM1","Austin Model 1, a semi-empirical Hamiltonian","model"
"RM1","RM1","Recife Model 1, a semi-empirical Hamiltonian","model"
"MNDO","MNDO","Modified Neglect of Diatomic Overlap, a semi-empirical Hamiltonian","model"
"PDDG/PM3","PDDG/PM3","Pairwise Distance Directed Gaussian modification of PM3","model"
"MNDO/d","MNDO/d","MNDO Hamiltonian extended with d-orbitals","model"
"PM6","PM6","Parameterization Method 6, a semi-empirical Hamiltonian","model"
"DFTB","DFTB","Density-Functional based Tight-Binding method","method|model"
"SCC-DFTB","SCC-DFTB","Self-Consistent-Charge Density-Functional based Tight-Binding (DFTB2)","method|model"
"DFTB3","DFTB3","Third-order Self-Consistent-Charge Density-Functional based Tight-Binding","method|model"
"DFTB parameter files",".skf","Slater-Koster files containing parameters for DFTB calculations","data format|data source"
"Empirical Dispersion Correction","dftb_disper","An empirical term added to correct for dispersion interactions","model|method"
"Empirical Hydrogen Bond Correction","AM1-DH+","An empirical term added to correct for hydrogen bonding","model|method"
"&qmmm namelist","&qmmm","Namelist in Amber input files for controlling QM/MM calculations","data format"
"QM Theory","qm_theory","Specifies the level of theory (Hamiltonian) for the QM region","model"
"DFTB Slater-Koster Path","dftb_slko_path","Specifies the directory path to DFTB parameter files","identifier"
"DFTB Dispersion Correction","dftb_disper","Flag to enable/disable dispersion correction for DFTB2","state"
"DFTB 3rd Order Correction","dftb_3rd_order","Specifies third-order diagonal corrections to DFTB2","model|method"
"DFTB Charge Type","dftb_chg","Selects the type of atomic charges to report from a DFTB calculation","state"
"DFTB Electronic Temperature","dftb_telec","A parameter to aid SCF convergence in DFTB calculations","measure|unit"
"DFTB Max Iterations","dftb_maxiter","Maximum number of self-consistent charge (SCC) iterations for DFTB","measure"
"QM Charge","qmcharge","The total integer charge of the quantum mechanical region","measure"
"Spin Multiplicity","spin","Specifies the spin state of the QM system (e.g., singlet, doublet)","state"
"SCF Convergence Criteria","scfconv","The energy threshold for self-consistent field (SCF) convergence","measure"
"Max SCF Iterations","itrmax","Maximum number of iterations for the SCF procedure","measure"
"Max Minimization Cycles","maxcyc","Maximum number of cycles for geometry optimization","measure"
"Gradient Tolerance","grms_tol","The root-mean-square gradient threshold to terminate minimization","measure"
"DIIS Attempts","ndiis_attempts","Number of DIIS extrapolation attempts to aid SCF convergence","measure"
"Level Shifting","vshift","Shifts virtual orbital energies to improve SCF convergence","method"
"External Point Charges","#EXCHARGES","An electric field generated by a set of point charges","model"
"QUICK","QUICK","A GPU-enabled ab initio and DFT quantum chemistry program","software"
"Hartree-Fock","HF","An ab initio electronic structure method","method|model"
"Density Functional Theory","DFT","A quantum mechanical method to investigate electronic structure","method|model"
"Local Density Approximation","LDA","A class of exchange-correlation functionals in DFT","model"
"Generalized Gradient Approximation","GGA","A class of exchange-correlation functionals in DFT","model"
"Hybrid-GGA Functional","Hybrid-GGA","A class of DFT functionals mixing Hartree-Fock exchange","model"
"Grimme Dispersion Correction","Grimme type dispersion corrections","A family of empirical corrections for dispersion in DFT","model|method"
"Restricted Closed-Shell","Restricted closed-shell","A wavefunction type for systems where all electrons are paired","state"
"Unrestricted Open-Shell","Unrestricted open-shell","A wavefunction type for systems with unpaired electrons","state"
"Mulliken Charge Analysis","Mulliken charge analysis","A method for calculating partial atomic charges from a QM calculation","method"
"Molden Format","Molden format","A file format for visualizing molecular geometry and orbital data","data format"
"Gaussian Basis Set","BASIS=","A set of functions used to represent molecular orbitals in QM calculations","model"
"SG1 Grid","SG1 grid","A standard grid system used for numerical integration in DFT calculations","model"
"QM/MM Calculation","ifqnt=1","A hybrid simulation method combining Quantum and Molecular Mechanics","method|model"
"sander","sander","The primary molecular dynamics simulation engine in Amber","software"
"TeraChem","TeraChem","A GPU-accelerated quantum chemistry software package for QM/MM","software"
"Electrostatic Embedding","qmmm_int=1","A QM/MM coupling scheme where MM charges polarize the QM region","method|model"
"Mechanical Embedding","qmmm_int=0","A QM/MM coupling scheme using classical interactions between regions","method|model"
"Link Atom","","An artificial atom (typically H) to saturate valency at a QM/MM boundary","model"
"PM3/MM","qmmm_int=3","A reformulated QM/MM interface potential for the PM3 Hamiltonian","model|method"
"Generalized Born for QM/MM","qmgb","An implicit solvent model adapted for QM/MM simulations","model|method"
"Ewald for QM/MM","qm_ewald=1","An Ewald summation method adapted for QM/MM periodic simulations","method|model"
"PME for QM/MM","qm_pme=1","A Particle Mesh Ewald method for QM/MM periodic simulations","algorithm|method"
"QM Region Mask","qmmask","A selection string defining the atoms in the QM region","identifier"
"QM Atom Indices","iqmatoms","A list of atom numbers defining the atoms in the QM region","identifier"
"QM/MM Cutoff","qmcut","The cutoff distance for non-bonded interactions involving the QM region","measure|unit"
"QM/MM Switching Function","qmmm_switch","A function to smoothly transition the potential at the cutoff","method"
"QM/MM Interaction Scheme","qmmm_int","Controls how direct-space QM/MM electrostatic interactions are calculated","model"
"Mechanical Embedding","qmmm_int=5","QM/MM interaction treated classically, no QM polarization by MM environment","method|model"
"QM SHAKE","qmshake","Controls whether the SHAKE algorithm is applied to QM atoms","state|method"
"Print Dipole Moment","printdipole","Controls the printing of the system's dipole moment","state|process"
"Write PDB","writepdb","Writes a PDB file of the selected QM region for verification","state|process"
"Solvent in QM region","vsolv","Controls the inclusion of solvent molecules into the QM region","state|method"
"Adaptive Solvent QM/MM","vsolv=2","A QM/MM method where solvent molecules can dynamically enter the QM region","method|model"
"Link Atom Distance","lnk_dis","Specifies the distance from a QM atom to its corresponding link atom","measure|unit"
"Link Atom Method","lnk_method","Defines how classical valence terms across the QM/MM boundary are handled","method|model"
"Link Atom Atomic Number","lnk_atomic_no","Specifies the atomic number for the link atoms","identifier|chemical entity"
"Charge Adjustment","adjust_q","Controls how charge is conserved in QM/MM simulations with link atoms","method|state"
"Charge-dependent vdW corrections","qxd=.true.","A charge-dependent model for QM/MM van der Waals interactions","model|method"
"qxd parameters","qxd_s","Parameters for the charge-dependent exchange-dispersion vdW model","measure|model"
"External QM/MM Interface","qm_theory = 'EXTERN'","Interface to use external QM software packages with sander","software|method"
"ADF","ADF","Amsterdam Density Functional, a quantum chemistry software package","software"
"GAMESS-US","GAMESS-US","A general-purpose ab initio quantum chemistry software package","software"
"NWChem","NWChem","An open-source high-performance computational chemistry software package","software"
"Gaussian","Gaussian","A widely used commercial computational chemistry software package","software"
"Orca","Orca","A flexible and efficient quantum chemistry program package","software"
"Q-Chem","Q-Chem","A comprehensive ab initio quantum chemistry software package","software"
"TeraChem","TeraChem","A GPU-accelerated quantum chemistry software for large molecular systems","software"
"MRCC","MRCC","A quantum chemistry program for high-accuracy coupled-cluster methods","software"
"Fireball","Fireball","A local-orbital DFT QM/MM software","software"
"PUPIL","PUPIL","A simulation framework for coupling multiple simulation codes","software"
"File-based interface (FBI)","File-based interface (FBI)","A method for coupling programs via file exchange and system calls","method|software"
"Client/server model","client/server model","A data communication model for coupling programs, used by TeraChem","method|software"
"TCPB-cpp","TCPB-cpp","TeraChem Protocol Buffers C++ client for the client/server model","software"
"&adf namelist","&adf","Namelist in the Amber input file for controlling the ADF program","data format"
"ZLM fit","zlmfit","A density fitting method used in the ADF program","method|algorithm"
"Becke integration grid","beckegrid","A numerical integration grid for DFT calculations, used by ADF","model|algorithm"
"&gms namelist","&gms","Namelist in the Amber input file for controlling the GAMESS-US program","data format"
"Lebedev grids","nleb","Angular grids used for numerical quadrature in DFT calculations","model|algorithm"
"CHELPG charges","chelpg","A method to derive atomic charges from the electrostatic potential","method|measure"
"&gau namelist","&gau","Namelist in the Amber input file for controlling the Gaussian program","data format"
"&orc namelist","&orc","Namelist in the Amber input file for controlling the Orca program","data format"
"&qc namelist","&qc","Namelist in the Amber input file for controlling the Q-Chem program","data format"
"Auxiliary basis set","auxbasis","A secondary basis set used in density fitting or RI methods","model|data source"
"&mrcc namelist","&mrcc","Namelist in the Amber input file for controlling the MRCC program","data format"
"Multilayer calculation","embed","A QM/QM/MM or higher-level embedding scheme available in MRCC","method|model"
"&fb namelist","&fb","Namelist in the Amber input file for controlling the Fireball program","data format"
"Fdata directory","Fdata","Directory containing basis set and interaction parameters for Fireball","data source|data format"
"DFTD3 dispersion correction","idftd3","Grimme's D3 empirical dispersion correction for DFT methods","model|method"
"QUICK QM/MM Interface (API)","qm_theory = 'quick'","An API-based interface to use the QUICK QM program with sander","software|method"
"Application programming interface (API)","API","A method for directly linking software libraries for communication","software|method"
"&quick namelist","&quick","Namelist in the Amber input file for controlling the QUICK program","data format"
"TeraChem QM/MM Interface (TCPB)","qm_theory = 'terachem'","A client-server interface to use the TeraChem QM program with sander","software|method"
"&tc namelist","&tc","Namelist in the Amber input file for controlling the TeraChem program","data format"
"xTB","xTB","A software package implementing semiempirical GFN-xTB methods","software"
"GFN1-xTB","GFN1-xTB","A semiempirical tight-binding quantum mechanics method","model|method"
"GFN2-xTB","GFN2-xTB","An accurate and broadly parametrized semiempirical tight-binding QM method","model|method"
"&xtb namelist","&xtb","Namelist in the Amber input file for controlling the xTB program","data format"
"Chemical hardness","mmhardness","A parameter tuning QM/MM electrostatics in the xTB interface","measure|model"
"DFTB+","DFTB+","A software package for performing DFTB calculations","software"
"&dftbplus namelist","&dftbplus","Namelist in the Amber input file for controlling the DFTB+ program","data format"
"Hydrogen-bond correction","hcorrection","An empirical correction for hydrogen bonds in DFTB+","model|method"
"SCF Mixer","mixer","Selects the SCF iteration mixing algorithm (e.g., BROYDEN, DIIS)","algorithm"
"D3 dispersion model","d3s8","Grimme's D3 dispersion model with various parameters","model|method"
"DPRc","DPRc","Deep Potential Range Corrected neural network correction for QM/MM potentials","model|method"
"DeePMD-kit","DeePMD-kit","A software package for training and running deep potential models","software"
"QM/MM+ΔMLP","QM/MM+ΔMLP","A QM/MM model corrected by a machine learning potential","model|method"
"&dprc namelist","&dprc","Namelist in the Amber input file for controlling the DPRc correction","data format"
"DPRc activation","idprc","An integer flag to activate the DPRc machine learning correction","state"
"DPRc mask","mask","Amber selection string for atoms to be corrected by the DPRc potential","identifier"
"DPRc cutoff","rcut","A cutoff to dynamically select nearby atoms for the DPRc correction","measure|unit"
"DPRc intermolecular file","interfile","Neural network parameter file for QM/QM and QM/MM interactions","data source|data format"
"DPRc intramolecular file","intrafile","Neural network parameter file for QM/QM interactions only","data source|data format"
"DPRc averaging","avg","A flag to use the average of multiple DPRc correction models","state"
"Neural network atom type","mBr","Identifiers for atoms used by the neural network model","identifier|chemical entity"
"Adaptive Solvent QM/MM","vsolv=2","A QM/MM method where solvent molecules can dynamically enter the QM region","method|model"
"Difference-based Adaptive Solvation (DAS)","DAS","An accurate method for adaptive QM/MM simulations","method|model"
"Active Region (A)","RA","The central region treated with high-level QM in adaptive QM/MM","model"
"Transition Region (T)","RT","The intermediate region where molecules have partial QM/MM character","model"
"Environment Region (E)","","The region treated purely with MM in adaptive QM/MM","model"
"Partial MM Character","λ","A switching function value for molecules in the transition region","measure|model"
"Force Interpolation","","A scheme to calculate forces as a weighted sum, avoiding energy derivatives","method|algorithm"
"Conserved Quantity","Ẽ","A modified energy that is conserved during force interpolation dynamics","measure"
"&vsolv namelist","&vsolv","Namelist for controlling solvent inclusion in the QM region","data format"
"&adqmmm namelist","&adqmmm","Namelist for controlling adaptive QM/MM simulation details","data format"
"Number of Partitions","n_partition","Defines the number of QM/MM partitions in adaptive QM/MM","measure"
"Book-keeping Term","calc_wbk","A correction term for energy conservation in force interpolation schemes","measure|model"
"Adaptive Buffered Force-Mixing QM/MM","abfQM/MM","A method using two force calculations to handle adaptive QM/MM boundaries","method|model"
"Extended System","","The larger QM/MM calculation for forces on dynamical QM atoms","model"
"Reduced System","","The smaller calculation (MM or smaller QM) for MM forces","model"
"Core QM Region","coremask","Atoms that are always treated quantum mechanically","model"
"Dynamical QM Region","qmmask","Atoms that follow QM forces during dynamics","model"
"Buffer Region","buffermask","A region surrounding the dynamical QM region to converge forces","model"
"Hysteretic Algorithm","","An algorithm using inner and outer radii to prevent rapid region fluctuations","algorithm|method"
"Adaptive Thermostat","ntt=6","A thermostat that handles intrinsic heating/cooling in non-conservative dynamics","method|algorithm"
"abfQM/MM Activation","abfqmmm","Flag to activate the adaptive buffered force-mixing method","state"
"Core Region Mask","coremask","Amber mask specifying the core QM atoms","identifier"
"QM Region Mask","qmmask","Amber mask specifying the dynamical QM atoms","identifier"
"Buffer Region Mask","buffermask","Amber mask specifying the buffer atoms","identifier"
"Core Region Charge","corecharge","Total charge of the user-specified core atom list","measure"
"QM Region Charge","qmcharge","Total charge of the user-specified qm atom list","measure"
"Buffer Region Charge","buffercharge","Total charge of the user-specified buffer atom list","measure"
"Core Region Radii","r_core_in, r_core_out","Inner and outer radii for determining the core extension region","measure|unit"
"QM Region Radii","r_qm_in, r_qm_out","Inner and outer radii for determining the qm extension region","measure|unit"
"Buffer Region Radii","r_buffer_in, r_buffer_out","Inner and outer radii for determining the buffer extension region","measure|unit"
"Cuttable Bond List File","cut_bond_list_file","File specifying which chemical bonds are allowed to be cut","data format|data source"
"SEBOMD","qm_theory = 'SEBOMD'","SemiEmpirical Born-Oppenheimer Molecular Dynamics simulation method","method|model"
"Divide and Conquer","method=1","A linear scaling strategy for large quantum mechanical systems","algorithm|method"
"Mulliken Ewald Summation","longrange=2","Ewald summation using Mulliken charges for long-range electrostatics","method|algorithm"
"PIF Correction","modif=PIF2","A correction to the PM3 Hamiltonian for intermolecular interactions","model|method"
"MAIS Correction","modif=MAIS1","A correction to the PM3 Hamiltonian for water and other elements","model|method"
"&sebomd namelist","&sebomd","Namelist containing parameters for a SEBOMD simulation","data format"
"Long Range Interaction Type","longrange","Selects the type of long-range interaction for periodic systems","state"
"Peptide Bond Correction","peptcorr","Flag to apply a force field correction to peptide bonds","state|method"
"ReaxFF/AMBER","","A hybrid reactive/non-reactive force field molecular dynamics framework","method|model"
"ReaxFF","ReaxFF","A reactive force field that can model bond formation and breaking","model|method"
"PuReMD","PuReMD","An open-source reactive molecular dynamics package implementing ReaxFF","software"
"Bond Order","BO","A measure of the number of chemical bonds between two atoms in ReaxFF","measure|model"
"Charge Equilibration (QEq)","charge_method=0","A method to dynamically determine partial atomic charges in ReaxFF","method|model"
"Electronegativity Equalization (EE)","charge_method=1","A method to dynamically determine partial atomic charges in ReaxFF","method|model"
"ReaxFF Force Field File","ffield","File containing parameters for a ReaxFF simulation","data format|data source"
"&reaxff namelist","&reaxff","Namelist for controlling ReaxFF/AMBER simulations","data format"
"External Library Interface","iextpot=1","A feature to use external libraries for energy and force calculations","software|method"
"MBX","extprog='mbx'","A software package for MB-pol and MB-nrg many-body potentials","software|model"
"KMMD","extprog='kmmd'","A machine learning molecular dynamics library bundled with Amber","software|model"
"&extpot namelist","&extpot","Namelist for controlling the external library interface","data format"
"pdb4amber","pdb4amber","A program to analyze and clean PDB files for use in Amber","software"
"reduce","reduce","A program for adding and optimizing hydrogens in a PDB file","software"
"TER record","TER","A record in a PDB file separating non-covalently connected chains","data format"
"HIE","HIE","Residue name for epsilon-protonated Histidine","chemical entity|identifier"
"HID","HID","Residue name for delta-protonated Histidine","chemical entity|identifier"
"HIP","HIP","Residue name for fully protonated (doubly-charged) Histidine","chemical entity|identifier"
"CYX","CYX","Residue name for a Cysteine involved in a disulfide bridge","chemical entity|identifier"
"ASH","ASH","Residue name for the neutral form of Aspartic Acid","chemical entity|identifier"
"GLH","GLH","Residue name for the neutral form of Glutamic Acid","chemical entity|identifier"
"LYN","LYN","Residue name for the neutral form of Lysine","chemical entity|identifier"
"ACE","ACE","Residue name for an N-terminal acetyl capping group","chemical entity|identifier"
"NHE","NHE","Residue name for a C-terminal amide capping group","chemical entity|identifier"
"NME","NME","Residue name for a C-terminal N-methylamide capping group","chemical entity|identifier"
"pdb2pqr","pdb2pqr","A tool to prepare PDB files by adding hydrogens and assigning charges at a given pH","software"
"propka3","propka3","A program to predict pKa values of ionizable groups in proteins","software"
"gwh","gwh","A program to optimize the positions of hydrogens in water molecules","software"
"packmol-memgen","packmol-memgen","A workflow to generate protein/membrane/solvent systems for Amber","software|process"
"Memembed","Memembed","A program for orienting proteins in membranes","software"
"pdbremix","pdbremix","A tool to estimate system volume for packing","software"
"Packmol","Packmol","A program for packing molecules in defined regions of space","software"
"charmmlipid2amber.py","charmmlipid2amber.py","A script to convert CHARMM lipid parameters to Amber format","software"
"Lipid_ext","Lipid_ext","An extension of the Lipid17/21 force fields with new lipid types","model|data source"
"DPRc","DPRc","Deep Potential Range Corrected neural network correction for QM/MM potentials","model|method"
"DeePMD-kit","DeePMD-kit","A software package for training and running deep potential models","software"
"QM/MM+ΔMLP","QM/MM+ΔMLP","A QM/MM model corrected by a machine learning potential","model|method"
"&dprc namelist","&dprc","Namelist in the Amber input file for controlling the DPRc correction","data format"
"DPRc activation","idprc","An integer flag to activate the DPRc machine learning correction","state"
"DPRc mask","mask","Amber selection string for atoms to be corrected by the DPRc potential","identifier"
"DPRc cutoff","rcut","A cutoff to dynamically select nearby atoms for the DPRc correction","measure|unit"
"DPRc intermolecular file","interfile","Neural network parameter file for QM/QM and QM/MM interactions","data source|data format"
"DPRc intramolecular file","intrafile","Neural network parameter file for QM/QM interactions only","data source|data format"
"DPRc averaging","avg","A flag to use the average of multiple DPRc correction models","state"
"Neural network atom type","mBr","Identifiers for atoms used by the neural network model","identifier|chemical entity"
"Cardiolipin","CLI","A type of phospholipid containing two phosphatidylglycerol backbones","chemical entity"
"Lysophospholipid","PE1","A lipid derivative where one fatty acid chain is removed","chemical entity"
"Ergosterol","ERG","A sterol found in fungi and protozoa","chemical entity"
"Stigmasterol","STI","A plant-derived sterol","chemical entity"
"Sitosterol","SIT","A plant-derived sterol","chemical entity"
"Campesterol","CAM","A plant-derived sterol","chemical entity"
"Phosphatidylinositol","PI","A class of lipids that are part of the cell membrane","chemical entity"
"memgen.parm","--memgen_parm","A parameter file for packmol-memgen with lipid properties","data format|data source"
"Area per lipid (APL)","APL","The average area a lipid molecule occupies in a bilayer","measure|unit"
"Gaussian-shaped constraints","--xygauss","Constraints to generate curved or buckled membranes","method|model"
"SIRAH force field","--sirah","A coarse-grained force field for biomolecular simulations","model"
"AMBAT","AMBAT","Amber Membrane Builder and Analysis Tool for bilayer systems","software"
"LEaP","tleap","A program for preparing Amber molecular mechanics input files","software"
"tleap","tleap","The command-line version of LEaP","software"
"xleap","xleap","The X-windows graphical user interface version of LEaP","software"
"PREP input file","","An older Amber file format for residue topology information","data format"
"PARM format parameter set","","An older Amber file format for force field parameters","data format"
"Object File Format (OFF)","","A file format used by LEaP to save and load objects like UNITs and PARMSETs","data format"
"leaprc","leaprc","A script file executed at the start of a LEaP session to load standard parameters","data format|data source"
"loadPdb","loadPdb","LEaP command to load a structure from a Protein Data Bank file","software"
"Commands","","Instructions given to LEaP to manipulate objects","software"
"Variables","","Handles for accessing objects within LEaP","software"
"Objects","","Fundamental entities in LEaP, such as ATOMs, RESIDUEs, and UNITs","software"
"ATOM","ATOM","A complex object in LEaP representing a chemical atom","software|chemical entity"
"RESIDUE","RESIDUE","A complex object in LEaP representing a collection of atoms, like an amino acid","software|chemical entity"
"UNIT","UNIT","The most complex object in LEaP, containing RESIDUEs and ATOMs","software"
"PARMSET","PARMSET","An object in LEaP containing force field parameters","software|data source"
"Atom Name","name","A case-sensitive string property identifying an ATOM","identifier"
"Atom Type","type","A string property defining the AMBER force field atom type","identifier"
"Atom Charge","charge","A number representing the electrostatic point charge of an ATOM","measure"
"Atom Position","position","A list of three numbers representing the Cartesian coordinates of an ATOM","measure"
"Residue Connection Atom","connect0","An atom in a residue used to form linkages to other residues","identifier"
"Residue Type","restype","A string property defining the type of a RESIDUE (e.g., protein, solvent)","identifier"
"Unit Head Atom","head","The atom in a UNIT used for connection when joining units","identifier"
"Unit Tail Atom","tail","The atom in a UNIT used for connection when joining units","identifier"
"Bounding Box","box","A property of a UNIT defining the periodic box dimensions","measure|model"
"Solvent Cap","cap","A property of a UNIT defining a spherical region of solvent","model"
"Universe Editor","Universe Editor","The main window in xleap for command-line interaction","software"
"Unit Editor","Unit Editor","A graphical molecule editor within xleap","software"
"Atom Properties Editor","Atom Properties Editor","A tool in xleap for editing atom properties in a table format","software"
"Parmset Editor","Parmset Editor","A tool in xleap for editing force field parameter sets","software"
"saveAmberParm","saveAmberParm","LEaP command to save topology and coordinate files for Amber","software"
"loadMol2","loadMol2","LEaP command to load a Sybyl MOL2 format file","software"
"addAtomTypes","addAtomTypes","LEaP command to define element and hybridization for atom types","software"
"addC4Pairwise","addC4Pairwise","Adds a pairwise 12-6-4 non-bonded interaction between two specific atoms","software|method"
"addC4Type","addC4Type","Adds a 12-6-4 non-bonded interaction based on atom types","software|method"
"addIons","addIons","LEaP command to add counterions around a solute using a Coulombic grid","software|method"
"addIons2","addIons2","A variant of addIons where solvent and solute are treated the same","software|method"
"addIonsRand","addIonsRand","LEaP command to add counterions by replacing random solvent molecules","software|method"
"addPath","addPath","LEaP command to add a directory to the file search path","software"
"addPdbAtomMap","addPdbAtomMap","LEaP command to map atom names from a PDB file to internal residue definitions","software"
"addPdbResMap","addPdbResMap","LEaP command to map residue names from a PDB file to LEaP variables","software"
"alias","alias","LEaP command to create a shortcut for a command or string","software"
"bond","bond","LEaP command to create a chemical bond between two atoms","software"
"bondByDistance","bondByDistance","LEaP command to create bonds between all atoms within a certain distance","software"
"check","check","LEaP command to check a unit for inconsistencies","software"
"combine","combine","LEaP command to combine multiple units into a single unit without bonding them","software"
"copy","copy","LEaP command to create an exact duplicate of an object","software"
"createAtom","createAtom","LEaP command to create a new ATOM object","software"
"createResidue","createResidue","LEaP command to create a new RESIDUE object","software"
"createUnit","createUnit","LEaP command to create a new UNIT object","software"
"deleteBond","deleteBond","LEaP command to delete a bond between two atoms","software"
"desc","desc","LEaP command to print a description of an object","software"
"groupSelectedAtoms","groupSelectedAtoms","LEaP command to create a named group of selected atoms","software"
"help","help","LEaP command to display help information","software"
"impose","impose","LEaP command to set internal coordinates (bonds, angles, torsions)","software"
"list","list","LEaP command to list all currently defined variables","software"
"loadAmberParams","loadAmberParams","LEaP command to load an AMBER parameter set file","software"
"loadAmberPrep","loadAmberPrep","LEaP command to load an AMBER PREP file","software"
"loadOff","loadOff","LEaP command to load an OFF library file","software"
"loadPdbUsingSeq","loadPdbUsingSeq","LEaP command to load a PDB file using a user-defined sequence","software"
"logFile","logFile","LEaP command to specify a file for logging all input and output","software"
"measureGeom","measureGeom","LEaP command to measure distance, angle, or torsion","software"
"quit","quit","LEaP command to exit the program","software"
"remove","remove","LEaP command to remove an object from a container","software"
"saveMol2","saveMol2","LEaP command to save a unit in Tripos mol2 format","software"
"saveOff","saveOff","LEaP command to save objects to an OFF library file","software"
