"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"frcmod file",".frcmod","File for modifying or adding parameters to an Amber force field.","data format","yes","14647,14933,15586,15595,72928,89163,89721,89725,91486,91501,91524,91566,91629,91970,92025,98776,99061,99229,99315,99316,99320,99324,99336,189970","25","Lower-priority member of semantic cluster led by row 260 (Champion: 'frcmod file')"
"frcmod file","frcmod","A force field modification file used in Amber.","data format","yes","4655,4799,4801,4900,4904,4932,4936,4940,4945,4948,4969,4971,5562,5567,5644,5747,7597,7681,7727,14647,14657,14662,14667,14672,14677,14682,14687,14692,14697,14702,14707,14716,14721,14726,14731,14933,14964,15009,15058,15084,15560,15586,15591,15595,15659,15664,15669,15678,15684,15689,15694,15704,15710,15715,15720,15726,15731,15736,15742,15747,15756,15762,15767,15776,15782,15787,15796,15802,15807,15812,15817,15823,15828,15833,15838,15844,15849,15854,15859,15865,15870,15875,15945,15946,16113,20955,71095,71169,72887,72928,81736,81776,81800,81809,81820,89163,89721,89723,89725,90573","138","Lower-priority member of semantic cluster led by row 260 (Champion: 'frcmod file')"
"frcopt","frcopt","Option to compute and output electrostatic forces","identifier","yes","23493,25691,25696,27273,27283,27361,28132,29880,29886,31056","10","Lower-priority member of semantic cluster led by row 262 (Champion: 'frcopt')"
"Free Energy Perturbation","FEP","A method for calculating free energy differences via perturbation.","method|process","yes","78301,78312,89249,126201,148125,148207,151575,151587,151601,151621,151956,189941","12","Lower-priority member of semantic cluster led by row 265 (Champion: 'Free Energy Perturbation')"
"fscale","fscale","Ratio of coarse to fine grid spacings in an electrostatic focusing calculation","identifier|measure","yes","25475,25480,29868,29884","4","Lower-priority member of semantic cluster led by row 266 (Champion: 'fscale')"
"gaff2","gaff2","The second generation of the General AMBER Force Field.","model|data source","yes","4398,4498,4809,4811,90453,90457,90458,90853,91583,98625,99069,100964,103539,103681,104704","18","Lower-priority member of semantic cluster led by row 268 (Champion: 'gaff2')"
"Gaussian Accelerated Molecular Dynamics","Gaussian accelerated molecular dynamics","An enhanced sampling method that adds a harmonic boost potential.","method|algorithm","yes","126249,131903,131911,131955,132004,132049,132065","7","Lower-priority member of semantic cluster led by row 270 (Champion: 'Gaussian Accelerated Molecular Dynamics')"
"Generalized Born Calculation Type","GB","Specifies the type of Generalized Born calculation to perform","method|identifier","yes","7734,18490,18564,18584,18600,18618,18644,18674,18683,18722,18790,18830,18899,18974,19025,19026,19027,19041,19128,19187,19191,19241,19254,19260,19261,19264,19405,19498,19533,19555,19560,19736,19743,19758,19775,19900,20222,20286,20361,20363,20407,20409,20449,20451,20463,20473,20494,20507,20516,20531,20536,20547,20558,20565,20647,20987,21010,21021,21046,21171,21183,21195,21207,21219,21672,21859,21876,21903,21906,21907,21921,21923,21925,21926,21927,21929,21979,21985,22245,22273,22282,22302,22306,22322,22324,22332,22350,22356,22360,22413,22418,22424,22478,22545,22547,22584,22606,22632,22767,22898","275","Lower-priority member of semantic cluster led by row 273 (Champion: 'Generalized Born Energy')"
"GBION","GBION","Implicit Solvent with Explicit Ions model extending the GB model","model|method","yes","20392,20395,20442,20448,20571,20621,20624,20627,20647,20767,20952,20963,20971,20973,20980,21062,21064,21437","18","Lower-priority member of semantic cluster led by row 274 (Champion: 'GBION')"
"gbion","gbion","Specifies the version of the GBION model to be used","identifier","yes","20392,20395,20442,20448,20571,20621,20624,20627,20647,20767,20952,20963,20971,20973,20980,21062,21064,21437","18","Lower-priority member of semantic cluster led by row 274 (Champion: 'GBION')"
"gbion","gbion","Specifies the version of the GBION model to be used","identifier","yes","20392,20395,20442,20448,20571,20621,20624,20627,20647,20767,20952,20963,20971,20973,20980,21062,21064,21437","18","Lower-priority member of semantic cluster led by row 274 (Champion: 'GBION')"
"GBNSR6","GBNSR6","A Generalized Born model with numerically computed effective Born radii","model|method","yes","18775,18778,22241,22245,22268,22302,22304,22306,22309,22322,22356,22391,22441,22478,22503,22511,22630,22846,190892,201514,201529,201584","22","Lower-priority member of semantic cluster led by row 278 (Champion: 'GBNSR6')"
"Generalized Born Non-polar Surface Radii 6","GBNSR6","A specific Generalized Born implicit solvent model","model|algorithm","yes","18775,18778,22241,22245,22268,22302,22304,22306,22309,22322,22356,22391,22441,22478,22503,22511,22630,22846,190892,201514,201529,201584","22","Lower-priority member of semantic cluster led by row 278 (Champion: 'GBNSR6')"
"gbnsr6","gbnsr6","The executable program for the GBNSR6 model","software","yes","18775,18778,22241,22245,22268,22302,22304,22306,22309,22322,22356,22391,22441,22478,22503,22511,22630,22846,190892,201514,201529,201584","22","Lower-priority member of semantic cluster led by row 278 (Champion: 'GBNSR6')"
"gbnsr6","gbnsr6","The executable program for the GBNSR6 model","software","yes","18775,18778,22241,22245,22268,22302,22304,22306,22309,22322,22356,22391,22441,22478,22503,22511,22630,22846,190892,201514,201529,201584","22","Lower-priority member of semantic cluster led by row 278 (Champion: 'GBNSR6')"
"Generalized Born Surface Area","gbsa","Flag for Generalized Born Surface Area calculation method.","method|model","yes","20210,20215,20227,20239,20245,20248,20251,20264,20277,20279,20282,20287,20310,20327,20331,20633,21731,21835,21839,34594,119661,119666,120247,128076,128078,128083,128088,128093,195718,195738,197526,198611,199279,199339,199377,199437,203942,203960,204265,204288,204691,204773,205068,205097,205199,206071,206392,206483,206500,206521,206544","51","Lower-priority member of semantic cluster led by row 284 (Champion: 'gbsa')"
"gbsa","gbsa","Option to enable Generalized Born/Surface Area (GB/SA) calculations","identifier","yes","20210,20215,20227,20239,20245,20248,20251,20264,20277,20279,20282,20287,20310,20327,20331,20633,21731,21835,21839,34594,119661,119666,120247,128076,128078,128083,128088,128093,195718,195738,197526,198611,199279,199339,199377,199437,203942,203960,204265,204288,204691,204773,205068,205097,205199,206071,206392,206483,206500,206521,206544","51","Lower-priority member of semantic cluster led by row 284 (Champion: 'gbsa')"
"gem.pmemd","gem.pmemd","A variant of pmemd for calculations with advanced force fields","software","yes","2104,4288,114322,186029,186033,186081,186097,186104,186119,186124,186132,186167,186746,187366,187398,187409,187429","17","Lower-priority member of semantic cluster led by row 287 (Champion: 'gem.pmemd')"
"GENIUSES","GENIUSES","A specific, fast machine-learned solvent excluded surface model","model|software","yes","26640,26661,26718,26728,28157,28162,28180,30605,30821,30857,30861,30873,30887,30909,30913","15","Lower-priority member of semantic cluster led by row 293 (Champion: 'GENIUSES')"
"gi_coef_1_p","gi_coef_1_p","GBION parameter for K_GB between solute atoms and cations","identifier|measure","yes","21139,21170","2","Lower-priority member of semantic cluster led by row 295 (Champion: 'gi_coef_1_p')"
"grdspc","grdspc","Keyword for the grid spacing in 3D-RISM calculations","identifier|measure","yes","37855,37864,38368,38375,41680,41763,41770,41876,41937,191663,191761,191766,191794,191858","14","Lower-priority member of semantic cluster led by row 1105 (Champion: 'Grid Spacing')"
"grdspc","grdspc","The grid spacing of the RISM solvation box","measure","yes","37855,37864,38368,38375,41680,41763,41770,41876,41937,191663,191761,191766,191794,191858","14","Lower-priority member of semantic cluster led by row 1105 (Champion: 'Grid Spacing')"
"GTFE model","GTFE model","Group Transfer Free Energy model for pressure/temperature/osmolyte effects","model|method","no","","0","Lower-priority member of semantic cluster led by row 299 (Champion: 'GTFE model')"
"H-REMD with different topologies","HAMILTONIAN","Identifier for H-REMD where replicas have different prmtop files.","identifier|method","yes","17848,17918,17929,17941,44639,44795,44926,45969,45970,46934,48265,48290,48348,48723,49302,49813,49863,49864,49940,50009,51620,51622,51678,52555,52787,55531,62430,64779,64978,64983,64988,65000,65012,65024,65036,65048,65060,65073,65106,65121,65483,81835,88664,92088,92090,106066,112595,120615,121122,123335,123336,124528,124530,125762,125763,140697,140706,141029,141033,141274,141275,148596,148613,148756,149032,149176,149270,149283,149508,149973,149985,149989,150013,150026,150044,150048,150090,150122,150138,150185,150962,151485,151488,151497,151498,151508,151631,151642,151665,151725,151763,151765,151960,151961,156949,156976,157139,157193,157196,157242","136","Lower-priority member of semantic cluster led by row 301 (Champion: 'H-REMD with different mdins')"
"Hamiltonian","E_total","The total potential energy function of the system.","model","yes","17848,17918,17929,17941,44639,44795,44926,45969,45970,46934,48265,48290,48348,48723,49302,49813,49863,49864,49940,50009,51620,51622,51678,52555,52787,55531,62430,64779,64978,64983,64988,65000,65012,65024,65036,65048,65060,65073,65106,65121,65483,81835,88664,92088,92090,106066,112595,120615,121122,123335,123336,124528,124530,125762,125763,140697,140706,141029,141033,141274,141275,148596,148613,148756,149032,149176,149270,149283,149508,149973,149985,149989,150013,150026,150044,150048,150090,150122,150138,150185,150962,151485,151488,151497,151498,151508,151631,151642,151665,151725,151763,151765,151960,151961,156949,156976,157139,157193,157196,157242","136","Lower-priority member of semantic cluster led by row 301 (Champion: 'H-REMD with different mdins')"
"Hamiltonian REMD","H-REMD","REMD where replicas are simulated with different Hamiltonians.","method|algorithm","yes","148891,148919,148957,149032,149960,149965,149973,150113,150123,150134,150185,150759,151661,151665,151667,151702,151715,151722,151763,151780,151789,151793,151981,156915,156920,157161,157242,166416","29","Lower-priority member of semantic cluster led by row 304 (Champion: 'Hamiltonian REMD')"
"harmonic improper torsion","harmonic improper torsion","A potential term to maintain planarity using a harmonic function.","model","yes","100430","1","Lower-priority member of semantic cluster led by row 306 (Champion: 'harmonic improper torsion')"
"HIP","HIP","A C++ Runtime API for creating portable GPU applications","software|method","yes","3037,3047,3057,3097,3148,3152,21771,47724,47729,47770,47772,47818,47827,47939,47942,56026,56027,56046,56050,56077,56081,56518,56522,67867,67923,68606,74286,86509,167936,168002,168031,171004,171298,171699,172015,174533,174575,175021,175042,175063","41","Lower-priority member of semantic cluster led by row 310 (Champion: 'HIP')"
"HIP","HIP","Residue name for fully protonated (doubly-charged) Histidine","chemical entity|identifier","yes","3037,3047,3057,3097,3148,3152,21771,47724,47729,47770,47772,47818,47827,47939,47942,56026,56027,56046,56050,56077,56081,56518,56522,67867,67923,68606,74286,86509,167936,168002,168031,171004,171298,171699,172015,174533,174575,175021,175042,175063","41","Lower-priority member of semantic cluster led by row 310 (Champion: 'HIP')"
"HMassRepartition","HMassRepartition","ParmEd command to increase hydrogen mass for longer simulation timesteps.","software|process|method","yes","15605,15626,87218,87223,87234,108547","6","Lower-priority member of semantic cluster led by row 312 (Champion: 'Hydrogen Mass Repartitioning (HMR)')"
"Hypernetted-Chain (HNC)","HNC","A type of closure relation for the RISM equation","model|method","yes","31561,31566,31613,31628,31629,31639,31642,31655,31685,31687,31699,31720,31722,31847,31854,31864,31884,32084,32110,32122,32128,32309,32314,32322,32384,32464,32543,32646,32657,32660,32679,32684,32704,32724,32728,32769,34495,34948,35570,37525,41518,191691","47","Lower-priority member of semantic cluster led by row 314 (Champion: 'hypernetted-chain approximation (HNC)')"
"iamoeba","iamoeba","sander flag to enable the AMOEBA polarizable potential.","identifier","yes","114286,114293,115921,126426,186251,186256,187451","7","Lower-priority member of semantic cluster led by row 59 (Champion: 'AMOEBA Force Field')"
"Belly Constraints","ibelly","A type of positional restraint applied to a group of atoms.","method|algorithm","yes","16502,106755,107947,107967,107972,108186,118531,118615,127317,178893,180789,180790","12","Lower-priority member of semantic cluster led by row 317 (Champion: 'ibelly')"
"TI Energy Decomposition","idecomp","Flag to enable decomposition of dV/dlambda on a per-residue basis.","method|analysis","yes","106759,107823,107832,107896,107910,107931,126306,140427,140787,140792,191542,191547,191625,192189,193001,195654,204956","17","Lower-priority member of semantic cluster led by row 319 (Champion: 'idecomp')"
"idecomp","idecomp","A flag to select the energy decomposition scheme","identifier","yes","106759,107823,107832,107896,107910,107931,126306,140427,140787,140792,191542,191547,191625,192189,193001,195654,204956","17","Lower-priority member of semantic cluster led by row 319 (Champion: 'idecomp')"
"iemap","iemap","sander flag to enable EMAP restrained simulations.","identifier","yes","113655,113660,113667,127400,183017","5","Lower-priority member of semantic cluster led by row 228 (Champion: 'EMAP Restraints')"
"ifqnt","ifqnt","sander flag to enable a QM/MM calculation.","identifier","yes","49277,49339,52676,52741,56170,56241,56311,56377,57146,57222,57272,57370,57451,58441,59014,59632,63324,64737,64755,66663,112570,114144,114151,119812,119817,120479,122568,122730,123538,123899,124014,124069,125206,126380,167744,190740,190745,192225","38","Lower-priority member of semantic cluster led by row 322 (Champion: 'QM/MM Calculation Flag')"
"ifqnt","ifqnt","A flag to specify if a part of the system is treated with QM","identifier","yes","49277,49339,52676,52741,56170,56241,56311,56377,57146,57222,57272,57370,57451,58441,59014,59632,63324,64737,64755,66663,112570,114144,114151,119812,119817,120479,122568,122730,123538,123899,124014,124069,125206,126380,167744,190740,190745,192225","38","Lower-priority member of semantic cluster led by row 322 (Champion: 'QM/MM Calculation Flag')"
"Generalized Born Model Selector","igb","Selects the Generalized Born implicit solvent model to use.","model|method","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128","Lower-priority member of semantic cluster led by row 327 (Champion: 'igb')"
"igb","igb","The primary input variable in Amber for selecting a GB model","identifier","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128","Lower-priority member of semantic cluster led by row 327 (Champion: 'igb')"
"igb","igb","A flag to select the Generalized Born model to use","identifier","yes","5132,5141,17979,18832,18987,19057,19194,19199,19203,19213,19231,19233,19406,19439,19444,19503,19567,19659,19700,19775,19781,19791,19813,19911,19935,20628,20650,21731,21982,23973,78029,78049,78085,78111,78130,86750,86754,86811,86815,86820,87618,87622,87774,87778,87783,89244,95910,98533,98547,107993,113294,113850,113859,113876,113884,113967,113988,113996,114029,114063,114168,114175,119614,119619,120189,122197,122572,122594,122603,122606,122614,123180,123903,123923,123933,123939,124405,124642,125119,125134,125703,126237,126327,127329,130887,130952,131029,131093,131158,131223,131836,135182,148127,148158,151038,165809,167986,167990,168009,168021","128","Lower-priority member of semantic cluster led by row 327 (Champion: 'igb')"
"imin","imin","sander variable to control minimization or dynamics mode.","identifier","yes","21727,23981,23988,27322,28093,29902,30219,30301,31024,40309,40377,40391,40458,40476,49247,64644,66613,96043,106223,106377,106430,106485,106834,106843,106906,106937,106993,112699,113899,115524,118547,118631,126284,127371,131828,133396,135162,136218,138795,148148,149538,149884,167786,167797,178893,183002,193317,193626,215164","49","Lower-priority member of semantic cluster led by row 329 (Champion: 'imin')"
"Immersed Interface method","Immersed Interface method (IIM)","A numerical method for solving PDEs with interfaces","method|algorithm","yes","23310","1","Lower-priority member of semantic cluster led by row 331 (Champion: 'Immersed Interface method')"
"impose","impose","LEaP command to set specific torsion angle values.","software|process","yes","17942,48430,51684,76295,76299,76304,76315,76317,76322,76327,76374,76378,76460,76480,76502,76520,76614,76650,76686,76731,76775,76837,76849,76890,76933,76945,76987,77035,79505,79912,79924,79928,80307,80311,80315,80319,80323,80327,80331,80335,80530,80535,80540,80545,80550,80555,80560,80565,80570,80575,80580,80585,80590,80595,80600,80605,80610,80615,80620,80625,80630,80635,80855,80860,80865,80870,80875,80880,177126","69","Lower-priority member of semantic cluster led by row 333 (Champion: 'impose')"
"InChi-Code","InChi-Code","IUPAC International Chemical Identifier, a standard for representing molecules.","identifier","yes","103835","1","Lower-priority member of semantic cluster led by row 335 (Champion: 'InChI-Code')"
"Non-bonded Pairlist Parameter","inp","Controls non-bonded pair list update frequency.","measure|algorithm","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119","Lower-priority member of semantic cluster led by row 338 (Champion: 'inp')"
"inp","inp","Option to select the method for computing non-polar solvation energy","identifier","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119","Lower-priority member of semantic cluster led by row 338 (Champion: 'inp')"
"inp","inp","A flag to select the nonpolar optimization method in PB calculations","identifier","yes","22546,22810,22841,22873,22890,22923,23503,23974,24258,24263,24292,24552,26142,26541,26543,26571,26573,27024,27047,27057,27068,27159,27261,27281,27322,27461,27702,27906,28093,28996,30219,30301,31024,35003,35456,57327,120363,122560,122564,122568,122572,122594,122614,122628,122648,122680,122730,123104,123188,123196,123220,123432,123524,123528,123538,123590,123891,123895,123899,123903,123923,123939,123953,123973,123997,124014,124050,124069,124325,124409,124417,124435,124566,124646,124650,124712,125084,125088,125092,125096,125113,125142,125707,125715,125725,125839,125847,125885,125978,125986,126028,190990,190995,192313,214887,215335,215336,215378,215483,215489","119","Lower-priority member of semantic cluster led by row 338 (Champion: 'inp')"
"Amber Coordinate/Restart File","inpcrd","Amber file format for atomic coordinates and restart information.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","148","Lower-priority member of semantic cluster led by row 342 (Champion: 'Coordinate File')"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","146","Lower-priority member of semantic cluster led by row 342 (Champion: 'Coordinate File')"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format","yes","16463,17776,22161,22172,22511,22536,23743,23792,23937,24063,27770,27771,55770,61536,61569,61574,61579,61584,83793,83880,83884,86000,87067,87124,87583,89569,89598,89768,89797,92047,92063,97957,98250,98251,98767,98798,106119,106185,106975,107159,107162,113199,113207,113215,113223,113231,113235,118515,122365,122381,122887,122899,123126,123136,123162,123172,123462,123472,123498,123508,123764,124195,124200,124363,124369,124397,124604,124610,124634,124868,125695,125764,125827,125966,126179,127950,128001,128543,128799,128896,134063,134861,134874,134897,134929,134933,138627,147886,147967,147979,147987,148014,150326,150363,150380,150384,150388,150392,150402,150855","146","Lower-priority member of semantic cluster led by row 342 (Champion: 'Coordinate File')"
"intdiel","intdiel","Input parameter for the solute's interior dielectric constant","identifier|measure","yes","19944,19949,119506,119511,119578,120015,125096,168227,172639,205209","10","Lower-priority member of semantic cluster led by row 345 (Champion: 'Internal Dielectric Constant')"
"intdiel_ion_1_p","intdiel_ion_1_p","GBION parameter for K_epsilon for solute-cation interactions","identifier|measure","yes","21085,21115,21230","3","Lower-priority member of semantic cluster led by row 347 (Champion: 'intdiel_ion_1_p')"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41","Lower-priority member of semantic cluster led by row 349 (Champion: 'Poisson-Boltzmann Solver')"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41","Lower-priority member of semantic cluster led by row 349 (Champion: 'Poisson-Boltzmann Solver')"
"ipb","ipb","sander flag to enable a Poisson-Boltzmann implicit solvent model.","identifier","yes","23971,24102,24107,24113,24114,24119,24206,24704,24718,25593,27145,27159,27309,27322,27461,27485,28093,29839,29906,29942,29995,30003,30219,30257,30265,30275,30277,30278,30280,30301,30387,31024,114199,114206,119719,119724,120334,192305","41","Lower-priority member of semantic cluster led by row 349 (Champion: 'Poisson-Boltzmann Solver')"
"IPolQ","IPolQ","Implicitly Polarized Charge model for deriving partial charges.","model|method","yes","5263,5269,5283,5365,5383,5432,95882,96074,96163,96164,96494,96502,96519,96542,96682,96683,96702","17","Lower-priority member of semantic cluster led by row 353 (Champion: 'IPolQ')"
"iprob","iprob","The radius of the mobile ion probe used to define the Stern layer","identifier|measure","yes","24628,24633,27473,27533","4","Lower-priority member of semantic cluster led by row 355 (Champion: 'iprob')"
"ips","ips","sander flag to enable the Isotropic Periodic Sum (IPS) method.","identifier","yes","115807,115811,115820,115826,115828,115829,115838,115859,115861,115873,115875,115887,115898,115903,115915,115918,115925,115929,115931,115949,115958,115967,115977,115985,115994,116003,116029,116031,116037,116039,116065,116068,116080,116111,116123,116145,116147,116166,116168,116175,116873,116877,116891,116998,183012","46","Lower-priority member of semantic cluster led by row 357 (Champion: 'Isotropic Periodic Sum')"
"irest","irest","sander flag to indicate a simulation restart.","identifier","yes","29902,106430,106485,107020,107200,107211,107220,107228,107271,108499,111919,112060,112200,112302,112514,112704,112909,113017,113120,118535,118619,130897,130962,131039,131103,131168,131233,131828,133396,135162,148148,149538,149884,150462,157364,157367,165819,215164","38","Lower-priority member of semantic cluster led by row 359 (Champion: 'irest')"
"irism","irism","Keyword in &cntrl to enable 3D-RISM calculations","identifier","yes","37411,37428,37435,40351,40420,40496,114230,114237","8","Lower-priority member of semantic cluster led by row 362 (Champion: 'irism')"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"istrng","istrng","The ionic strength in Molarity for PB calculations","measure|unit","yes","22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,119147,119223,191102,191107,192053,192301,205208,210786,210840","22","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"Maximum SCF Iterations","itrmax","Maximum number of SCF iterations before failure.","measure|algorithm","yes","46941,46946,46956,46957,46958,50672,50677,121385,121390","9","Lower-priority member of semantic cluster led by row 366 (Champion: 'Max SCF Iterations')"
"K_epsilon(a,b)","K_epsilon(a,b)","Coefficient scaling the electrostatic energy in the GBION model","identifier|measure","no","","0","Lower-priority member of semantic cluster led by row 368 (Champion: 'K_epsilon(a,b)')"
"K_GB(a,b)","K_GB(a,b)","Coefficient tuning interaction energy between different atom types in GBION","identifier|measure","no","","0","Lower-priority member of semantic cluster led by row 370 (Champion: 'K_GB(a,b)')"
"kcal/mol","kcal/mol","Unit of energy, kilocalories per mole","unit","yes","7882,20313,22680,22831,25730,25747,25767,25986,26003,33605,33617,35280,35330,35342,35356,35369,35381,43446,44096,44122,44129,44136,44169,44177,44185,46367,46454,46461,57731,59832,65919,74836,74909,82018,82043,82068,82149,82209,82340,82598,82605,82613,82667,82669,82777,82785,83242,83416,83686,96320,97282,97759,97760,97771,97772,98068,98080,98131,98132,99728,99734,99805,122825,124144,125528,129154,131516,131537,131545,131572,131580,131597,131599,131623,131731,131979,132546,132554,132562,136892,150737,151973,162115,162141,165352,165984,167115,167807,169537,169971,169980,170020,170119,170128,170193,176811,176824,187978,190924,191030","119","Lower-priority member of semantic cluster led by row 373 (Champion: 'kcal/mol')"
"KMMD","extprog='kmmd'","A machine learning molecular dynamics library bundled with Amber","software|model","yes","67414,67429,67469,67471,187567,187571,187587,187592,187613,187630,187724,187747,187777,187781,187802,187811,187821,187827,187838,187843,187892,187897,187954,187957,187960,187979,187989,187994,187995,187996,187999,188018,188025,188028,188029,188263,188267","40","Lower-priority member of semantic cluster led by row 375 (Champion: 'Kernel Modified Molecular Dynamics')"
"Kovalenko-Hirata (KH)","KH","A type of closure relation for the RISM equation","model|method","yes","31581,31586,31655,31677,31680,31685,31690,31699,31716,31721,31884,32084,32211,32327,32332,32340,32391,32464,32646,32660,34960,35001,35536,35545,36422,37492,37509,41506,191687,191722","33","Lower-priority member of semantic cluster led by row 376 (Champion: 'Kovalenko-Hirata (KH)')"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model","yes","20229","1","Lower-priority member of semantic cluster led by row 2079 (Champion: 'Linear Combination of Pairwise Overlaps')"
"LCPO model","LCPO model","A fast algorithm to compute an analytical approximation of SASA","algorithm|model","yes","20229","1","Lower-priority member of semantic cluster led by row 2079 (Champion: 'Linear Combination of Pairwise Overlaps')"
"LEaP","LEaP","Primary program to create and modify systems for Amber simulations","software","yes","1804,1822,1859,1974,1993,2001,2020,4454,4458,4460,4534,4948,5461,5518,6541,7465,7496,7544,7560,7580,7589,7609,7683,7726,7938,8009,14272,14286,14346,14358,14570,14592,14593,14806,15040,15056,15060,15065,15543,15586,15601,17746,17781,18099,18112,18234,18313,18449,19407,19497,19500,19624,19911,49068,67648,67731,67756,67761,67795,67829,67863,67906,68199,68213,68292,68337,68502,68686,68706,68709,70392,70412,71167,72358,72365,72373,72393,72395,72400,72546,72573,72574,72585,72588,72601,72603,72700,72761,72779,72946,72989,73073,73100,73236,73315,73344,73352,73355,73376,73378","265","Lower-priority member of semantic cluster led by row 382 (Champion: 'LEaP')"
