Filename,Residue_Code,File_Hash,Fragment_SMILES,Frag_Heavy_Atoms,Parent_Heavy_Atoms,Delta_atom_count,Parent_CID,Parent_ChEBI,Parent_Name,Match_Method
aminoct19ipq_0.9.lib_CTRP_sybyl.mol2,CTRP,40034eb3b538819a0169934321e53a7272b0437d6f4e4a26eb02fcad8436f80e,[NH][C@@H](CC1=CNc2ccccc12)[C]([O-])[O-],15,15,0,59533750,-,SCHEMBL9976690,Substructure
amberdyes.lib_T46_sybyl.mol2,T46,ed145b2777bb1b3156ab2851d10e39122f38c7e3510339e30d77e308da9fd7de,c1c2c(cc(N)c1)N(c1c([CH]2)ccc(c1)N)CCC[C][O],21,26,5,16212630,CHEBI:52793,ATTO 495-2(1+),Substructure
all_aminofb15.lib_TRP_sybyl.mol2,TRP,09de6b95f30525e70dcdde0af41743b045a439fdc1bb08aed4908756e98fa469,[NH][C@@H](C[C]1[CH]Nc2ccccc12)[C][O],14,15,1,6305,CHEBI:16828,L-tryptophan,Substructure
xFPchromophores.lib_IICE_sybyl.mol2,IICE,90067cc1cb4cb484264650f85b2198fb4a2ccbad3046ca48731ed43e90c1b849,[NH][C@H]([C]1[N][C]([C]([O])N1C[C][O])[CH][C]1[N][CH]N[CH]1)CO,19,21,2,49867874,-,CHROMOPHORE THR-HIS-GLY,Substructure
aminont15ipq_10.0.lib_NASH_sybyl.mol2,NASH,a6796faa98ee8f7494d19f95a062c8880302441bd6be81fb8f4dbc26deb9ae50,[NH3+][C@@H](C[C]([O])O)[C][O],8,33,25,25200943,CHEBI:58214,kanamycin A(4+),Substructure
RNA_Shaw.lib_C_sybyl.mol2,C,4aab088808261e306290fd739258414d2334e7e527437a9d74c8e99e0f8b1722,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O,20,21,1,6131,CHEBI:17361,5'-CYTIDYLIC ACID,Substructure
aminont19ipq_0.9_vac.lib_ACE_sybyl.mol2,ACE,8c3e1e2bddb43a9a0fdc3072e5f0b3d6d87234765781bf38e03633e027e88f7f,C[C][O],3,3,0,702,CHEBI:16236,ethanol,Similarity
uni_amino03.lib_HID_sybyl.mol2,HID,d0329d714a1082660ca8110d32eb9297cdce776edee62579db96b4db9763356b,[NH][C@@H]([C][C]1N[CH][N][CH]1)[C][O],10,10,0,165271,CHEBI:16255,L-histidinol,Substructure
ff15ipq-m.lib_B3I_sybyl.mol2,B3I,7558daf3e407e99dd1d3df58b2d9a5692f5afa876cbc0664f0167c48b18c1815,[NH][C@@H](C[C][O])[C@@H](CC)C,9,23,14,154234,CHEBI:85202,Peramivir,Substructure
all_prot_nucleic10.lib_A3E_sybyl.mol2,A3E,0938e8c0c191c8984a5ef61caa61446468b148325619199fc5de981164d0990d,[P](=O)([O])OC[C@H]1O[C@@H]([N]2=C3C(=C(N)NC=N3)N=C2)[C@@H]([C@@H]1O)O,0,22,22,6076,CHEBI:17489,Cyclic AMP,Substructure
amino10.lib_HYP_sybyl.mol2,HYP,d19d95dd584120ff254eb4039168b0bec31a334acee06b34508e8fe39a973c0a,[N]1C[C@H](O)C[C@H]1[C][O],8,16,8,177743970,-,"butyl 6-hydroxy-1,3,3a,5,6,6a-hexahydropyrrolo[3,2-c][1,2]oxazole-4-carboxylate",Substructure
all_modrna08.lib_MAC_sybyl.mol2,MAC,85c3c855b7506bc30b855d1007979ab822d3aa5f83f4b770b9ede620bb8f9d66,[P](=O)([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])N1C(=O)N=C(NC(=O)C)C=C1,24,30,6,125136,-,BRN 0731817,Substructure
phosaa19SB.lib_TPO_sybyl.mol2,TPO,51cbd64539498376fa7980e4b07ddc3dc7bc3c49fda580373ff4524f93f7946c,[NH][C@@H]([C@@H](C)O[P]([O])([O])[O])[C][O],11,22,11,59886226,-,,Substructure
all_amino94ildn.lib_ASH_sybyl.mol2,ASH,0900181ffe5eb5c8cb74266c56d8d693d373608d47d1d4471942628be1e95161,[NH][C@@H](C[C]([O])O)[C][O],8,32,24,36294,CHEBI:28864,tobramycin,Substructure
all_aminoPM3.lib_HIE_sybyl.mol2,HIE,8fac418e9202987a92e2c9704ce6811d1a3c22b4c536a64774800314f7632d7a,[NH][C@@H](C[C]1[N][CH]N[CH]1)[C][O],10,10,0,165271,CHEBI:16255,L-histidinol,Substructure
aminont19ipq_0.9_vac.lib_NTHR_sybyl.mol2,NTHR,7bc2c8189361010efc2f077ee7cdcbf6ab2507524e5ce98b32af6e7f01a75edb,[NH3+][C@@H]([C@@H](C)O)[C][O],7,8,1,6971019,CHEBI:57926,102783-05-1,Substructure
aminoct14ipq.lib_CTYR_sybyl.mol2,CTYR,150a7e27732ed78b201f82418faf55e0a20ca1e2e75a5cda6e201506effba9f8,[NH][C@@H](Cc1ccc(O)cc1)[C]([O-])[O-],13,13,0,18654770,-,"(S)-2-amino-3-(4-hydroxyphenyl)propane-1,1-diol",Substructure
all_modrna08.lib_DMU_sybyl.mol2,DMU,09fe29e9c49515290cc654952f99295f79e88943945d89f017ae9d5f50765be8,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@@]1[C]([O])N[C]([O])[C@@H](C1)C,21,20,-1,25023713,-,"[(2S,3S,5R)-5-[(2R,4R)-2,4-dihydroxy-1,3-diazinan-1-yl]-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate",Similarity
amino19.lib_ASP_sybyl.mol2,ASP,44114581945be53c261b0e6dfd0ec2a758fa570a409b5b7a7053c159843e9690,[NH][C@@H](C[C]([O-])[O-])[C][O],8,32,24,36294,CHEBI:28864,tobramycin,Substructure
amberdyes.lib_A56_sybyl.mol2,A56,00407b5116361df53354b709dee3ebbee0b0ebf74626d6140e31ea6b9dfa66db,N1c2c(C(=CC1(C)C)CS([O])([O])[O])cc1c(c2)Oc2c(C1=C1C=CC(=C=O)C=C1C(=O)O)cc1c(c2)NC(C=C1CS([O])([O])[O])(C)C,47,0,-47,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
terminalphos.LJbb-RNA.lib_CMP_sybyl.mol2,CMP,45e5cf4a82fa0a59428baa144a6a7abadfa4b3b9753cf2798e3710661d2bff3e,[P]([O])([O])(OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O)O,21,21,0,78224439,-,1rnm,Substructure
phosaa19SB.lib_T1P_sybyl.mol2,T1P,3031fc98d800b97f70db8678a52b179645bc0fd0c5f89f6b64099a851fd182bf,[NH][C@@H]([C@@H](C)O[P](O)([O])[O])[C][O],11,22,11,59886226,-,,Substructure
aminoct15ipq_10.0.lib_CPHE_sybyl.mol2,CPHE,eff952da2c8f6b988c9e231ac92cf93be313607d6a53df1834868e9dd8d82f26,[NH][C@@H](Cc1ccccc1)[C]([O-])[O-],12,32,20,166632525,-,CHEMBL5084365,Substructure
all_aminoct03.lib_CASP_sybyl.mol2,CASP,a3367b6fa559bbe7a1e93b34c8d67c96e714a1b5f130684bfe9e03d5d6083064,[NH][C@@H](C[C]([O-])[O-])[C]([O-])[O-],9,39,30,129635816,-,Chitosansulfat,Substructure
ff-nucleic-OL21.lib_DTN_sybyl.mol2,DTN,f2a147e35756ba55474a9c89ae3985e6338c99e96d5bb704955ba2d803c0cbc1,OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,17,17,0,5789,CHEBI:17748,thymidine,Substructure
uni_aminoct03.lib_CVAL_sybyl.mol2,CVAL,a6fd8c8aed1ae434928d2833515dd48e4164337e0abae94d4fa3440530e3de1d,[NH][C@@H]([C]([C])[C])[C]([O-])[O-],8,28,20,9887525,-,CHEMBL51648,Substructure
all_aminont94.lib_NLYS_sybyl.mol2,NLYS,fdabd7a19a37811e107338229bce509999010e902c9e18beb75739995563af98,[NH3+][C@@H](CCCC[NH3+])[C][O],9,10,1,5460926,-,"(2S)-2,6-diammoniohexanoate",Substructure
ff15ipq-m.lib_B3C_sybyl.mol2,B3C,68168c0fbc7f4751b317c5721ba01fd3afffcf4ebd8f5f1c1c3d12a1a1b799e4,[NH][C@H](C[C][O])CS,7,11,4,124189,CHEBI:191195,Mannostatin A,Substructure
terminal_monophosphate.lib_DT5_sybyl.mol2,DT5,aea78693dd0ed30706839ba3f16d2a7f72fdb654a230bebd30a934b66d41ac9c,[P]([O])([O])(O)OC[C@H]1O[C@H](C[C@@H]1[O])N1C(=O)NC(=O)C(=C1)C,21,32,11,78225913,-,3v0p,Substructure
all_prot_nucleic10.lib_G5E_sybyl.mol2,G5E,ea1784c6923ef3f402cf13aa71ee43e9e5f1d723d0deded1669b3b39e66fde69,OC[C@H]1O[C@@H]([N]2=C3C(=C(O)NC(=N3)N)N=C2)[C@@H]([C@@H]1[O])O,0,21,21,3011155,CHEBI:63612,Nelarabine,Substructure
all_nucleic94.lib_DC3_sybyl.mol2,DC3,dbbe338793c469d0579503247ddb161079d16e74140480b1724b27c180473506,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,19,20,1,13945,CHEBI:15918,1032-65-1,Substructure
aminoct15ipq-vac_10.0.lib_CCYS_sybyl.mol2,CCYS,190388cc7984671d924f40ec79a17631d997221e0ed2f246128889043520e0b6,[NH][C@@H](CS)[C]([O-])[O-],7,27,20,6436219,CHEBI:49703,latrunculin B,Substructure
all_aminont94.lib_NVAL_sybyl.mol2,NVAL,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,[NH3+][C@@H](C(C)C)[C][O],7,8,1,6971018,CHEBI:57762,2-aminoisovaleric acid,Substructure
aminoct10.lib_CVAL_sybyl.mol2,CVAL,3151da0ca9de731ca3283c75c9097939f69ccd21d2c2f66e0d588ca32813b4e3,[NH][C@@H](C(C)C)[C]([O-])[O-],8,28,20,9887525,-,CHEMBL51648,Substructure
all_aminoPM3.lib_ALA_sybyl.mol2,ALA,f58096c3351af72f22fdefac0c70bd8f2ae5b3dc590fbde80234e9ee9cf86c58,[NH][C@@H](C)[C][O],5,17,12,177746782,-,fluorosulfonyloxy-l-phenylalanine,Substructure
nucleic12.LJbb-RNA.lib_A_sybyl.mol2,A,df8683e0551b9d5cdff777d320c639c6d17139854ce390cd5093b21e7e9bf929,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1[O])O,22,22,0,6076,CHEBI:17489,Cyclic AMP,Substructure
amino19ipq_0.9.lib_TYR_sybyl.mol2,TYR,3a18bf3ea247fa34443df58c523cd698eef5449a756c4d814ba60956b50bdfca,[NH][C@@H](Cc1ccc(O)cc1)[C][O],12,18,6,177740089,-,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid;2-methylpropan-1-ol,Substructure
RNA_CI.lib_RA_sybyl.mol2,RA,23397a6372d8fa32a1202fe2b8e514de395084f5e110b2c24254791e0df80e11,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1[O])O,22,22,0,6076,CHEBI:17489,Cyclic AMP,Substructure
uni_aminont03.lib_NHIP_sybyl.mol2,NHIP,0ca83b64ac49fbcf4841d30e4068f1f01430d9680da3838a1a94743ebacaa804,[NH3+][C@@H]([C][C]1N[CH]N[CH]1)[C][O],10,11,1,6971009,CHEBI:57595,L-histidine zwitterion,Substructure
phosaa19SB.lib_Y1P_sybyl.mol2,Y1P,167e843147680cb923c84ba42e6fcba4cd9698e0b479f22548c18a07f7e71151,[NH][C@@H](Cc1ccc(cc1)O[P](O)([O])[O])[C][O],16,31,15,129218208,-,SCHEMBL18954443,Substructure
aminoct19ipq_0.9_vac.lib_CNLE_sybyl.mol2,CNLE,c40b84f9a2f527a9db2519f5e88211f263d243ef1a4bcabba12e410e4b048c29,[NH][C@@H](CCCC)[C]([O-])[O-],9,14,5,177744166,-,"(2S,3S,4R,5R)-5-amino-3,4-dihydroxy-6-methoxyoxane-2-carboxylic acid",Substructure
RNA.YIL.lib_RUN_sybyl.mol2,RUN,b8961c0353a2f261b0533ea4322cb3dfd26ba66f945b2cde2b3aae6ebaf9324b,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1O)O,17,17,0,6029,CHEBI:16704,uridine,Substructure
lipid21.lib_PS_sybyl.mol2,PS,46a3df0bff6ff7f7378e4f7af94111b603beb6087b963cf8f255243901033559,[C](=O)OC[C@H](CO[P](OC[C@H]([NH3+])[C]([O-])[O-])([O])[O])O[C]=O,20,0,-20,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
nucleic10.lib_DA_sybyl.mol2,DA,c2cd849459d058d702d9c798671dc9d8d834d883e63789dd82d02b0ca0077ef1,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1[O],21,22,1,6076,CHEBI:17489,Cyclic AMP,Substructure
nab.lib_DG5_sybyl.mol2,DG5,d19346732d86a6e8c026ab022f90a437e348584402562b99cd778c411f580370,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1[O],19,19,0,135398592,CHEBI:17172,2'-deoxyguanosine,Substructure
all_modrna08.lib_5DU_sybyl.mol2,5DU,389c8d4495c9d1e393a10fb368758f8b321b9e9768d544cc56da40ddf4e96672,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@@]1[C]([O])N[C]([O])[C]([CH]1)CNC[C]([O-])[O-],26,20,-6,68015317,-,SCHEMBL10041994,Similarity
DNA.OL15.lib_DCN_sybyl.mol2,DCN,6aec7b7823b19d309f3c91e715e9e57b11b43f43bd446fc18f0b97c6813b8ec1,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,16,16,0,13711,CHEBI:15698,2'-deoxycytidine,Substructure
all_aminont03.lib_NPHE_sybyl.mol2,NPHE,81adce681b1b8839ff19d7a4f62bd1d8ae3f24544e0971b3adf906b37a892d78,[NH3+][C@@H](Cc1ccccc1)[C][O],11,12,1,6925665,CHEBI:58095,136019-12-0,Substructure
nucleic12.LJbb-RNA.lib_G5_sybyl.mol2,G5,383c2c564da292a4f4ab00dbcd2ee1bf484c1cbd4b5c8fc1556c5967c131f15d,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O,20,20,0,135398635,CHEBI:16750,guanosine,Substructure
uni_aminoct03.lib_CGLU_sybyl.mol2,CGLU,a0ecfb322881f1772dc98fae0bc13a11b174cbf4f461c11972e3b54663e5a247,[NH][C@@H](C#C[C]([O-])[O-])[C]([O-])[O-],10,0,-10,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
phosaa19SB.lib_H1D_sybyl.mol2,H1D,49b0ca87694911b50d147e02f2b6e05e7bc8fe36306d5369942ec8efb1eb96c5,[NH][C@@H](C[C]1N([CH]N[CH]1)[P](O)([O])[O])[C][O],14,0,-14,-,-,"API Error: PubChem HTTP Error 500 PUGREST.ServerError: GetEntrezKey failed (GetEntrezKey fault: Server, message: NCBI C++ Exception:,     Error: SERIAL(CUnassignedMember::eGet) ""/panfs/pan1.be-md.ncbi.nlm.nih.gov/structure_build/build_2021-03-22/c++/src/serial/serialobject.cpp"", line 302: UNK_FUNC --- CPCT_Entrez::GetQuery_key(): Attempt to get unassigned member NCBI-PCTools::PCT-Entrez.query-key)",Failed
solvents.lib_SPCFWBOX_sybyl.mol2,SPCFWBOX,efb844ecd775fed607a2a2b007e7a9d8a3bd59cc89f4394b7ac8ec7bf98492f1,O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O,216,18,-198,53384664,-,hydrogen peroxide;hexadecahydrate,Similarity
all_prot_nucleic10.lib_D5T_sybyl.mol2,D5T,f43858bfa98d82f9d373e4c7561c7eb910901524af164ce6ab805af17bc99b5f,OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1[O],17,17,0,5789,CHEBI:17748,thymidine,Substructure
nab.lib_NGLN_sybyl.mol2,NGLN,50714bbcf1833f0af86443229afd61cf748d801920e7dc39c9a8fc86d8008e28,[NH3+][C@@H](CC[C]([O])N)[C][O],9,12,3,44629632,-,3bft,Substructure
RNA_CI.lib_RU3_sybyl.mol2,RU3,2de69f7f5dc282446ec6de5adeaeb261950134ee0f27a00314ac3cec5e074ab1,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1O)O,20,21,1,6030,CHEBI:16695,Uridine 5'-monophosphate,Substructure
mod_amino19.lib_MSE_sybyl.mol2,MSE,52bfae084d1edb3f63ce8410def2c2ef84073169243c274e8aa90ca9218bf635,[NH][C@@H](CCSC)[C][O],8,10,2,177745876,-,(2S)-2-amino-4-[methyl(sulfanyl)sulfonio]butanoate,Substructure
ff15ipq-m.lib_B3T_sybyl.mol2,B3T,c1ae2b3c054311cd76a420afa1c70741c266d01e5557d9f2a0e13f0a42cd11c1,[NH][C@@H](C[C][O])[C@@H](O)C,8,16,8,177743970,-,"butyl 6-hydroxy-1,3,3a,5,6,6a-hexahydropyrrolo[3,2-c][1,2]oxazole-4-carboxylate",Substructure
all_prot_nucleic10.lib_DTE_sybyl.mol2,DTE,3d1d8b4d700cc59e6b8de93352b034409544caf6266c0e853b30ed486a0cf7ef,P([O])([O])OC[C@H]1O[C@@H]([N@]2[CH][C](C)[C](O)N[C]2[O])C[C@@H]1[O],20,17,-3,91321333,-,"1-[5-(hydroxymethyl)-4-methyloxolan-2-yl]-5-methyl-1,3-diazinane-2,4-diol",Similarity
all_aminoPM3.lib_HIP_sybyl.mol2,HIP,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,[NH][C@@H](C[C]1N[CH]N[CH]1)[C][O],10,10,0,165271,CHEBI:16255,L-histidinol,Substructure
nucleic10.lib_G3_sybyl.mol2,G3,b2e052bf32697c9c6d6b114cdf890bda6f1fdf95457d2f8760aeb3d9c3dad66c,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,23,23,0,135398570,CHEBI:16356,7665-99-8,Substructure
terminalphos.LJbb-RNA.lib_GMP_sybyl.mol2,GMP,cc1b1607d7343530d348d7a5093d6d37e85bb09a391696eea6e0b87b349b07e7,[P]([O])([O])(OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1[O])O)O,24,28,4,137160077,-,4non,Substructure
all_modrna08.lib_DHU_sybyl.mol2,DHU,09df220d0720b01b1adaa3420ea7fd88c78e88d25b274ec0d893530dbf2e078c,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@@]1[C]([O])N[C]([O])CC1,20,42,22,5326480,-,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-[(3R)-7-hydroxy-1-oxa-4,8-diazaspiro[2.5]octan-4-yl]oxolan-2-yl]methyl [(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] hydrogen phosphate",Substructure
all_modrna08.lib_MRA_sybyl.mol2,MRA,4dde1010bdd53f5f52b409e4d7f9564cc0f2b9af7eb6f3e9fe20ac5d6cf5d7f9,[P](=O)([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])N1C=Nc2c(N)ncnc12,23,32,9,9687,CHEBI:50095,bucladesine,Substructure
ff-nucleic-OL21.lib_DT3_sybyl.mol2,DT3,2f39db5d799016c865f331f113e38f633bf90ba54d86c6f6fb502a1d5a44ae3c,[P](=O)([O])OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,20,21,1,9700,CHEBI:17013,dTMP,Substructure
all_nucleic94.nmr.lib_DTN_sybyl.mol2,DTN,454c8beac898ff93c74f2a50cd8d7b28c64d7cd4c004518da1ce5a8e80dd1f51,OC[C@H]1O[C@@H](N2C=C(C)C(=O)NC2=O)C[C@@H]1O,17,17,0,5789,CHEBI:17748,thymidine,Substructure
all_modrna08.lib_2RG_sybyl.mol2,2RG,e9a03b7c3032d053abff84a2dd8bad80121c2a75fa26c1fed9d9b5258ce4d798,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O[C@@H]2O[C@@H]([C@H]([C@H]2O)O)CO[P](O)([O])[O])[C@@H]1[O])N1C=NC2=C1N=C(NC2=O)N,36,24,-12,135398631,CHEBI:17345,5'-Guanylic acid,Similarity
aminoct14ipq.lib_CLYS_sybyl.mol2,CLYS,75901575c1c04127b2505bab62f96f22549f1d6b7c36232d57bd5838514ee61d,[NH][C@@H](CCCC[NH3+])[C]([O-])[O-],10,31,21,25200338,CHEBI:58530,gentamycin C1a(5+),Substructure
aminont12.lib_NPRO_sybyl.mol2,NPRO,3050a50ba3245e051ee0e8fb28cba89f9fe9b58c9ad27fe98eef608301e8de10,[NH2+]1CCC[C@H]1[C][O],7,8,1,6971047,CHEBI:60039,prol,Substructure
all_modrna08.lib_WMG_sybyl.mol2,WMG,c8ae427faa73a01b2522a05ab650cb797aba1fbe2f2e06ec424068262643b141,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N(C1=NC(=C(N1C2=O)C)C)C,28,35,7,71581128,CHEBI:73553,7-(3-amino-3-carboxypropyl)wyosine 5'-monophosphate,Substructure
all_prot_nucleic10.lib_A3P_sybyl.mol2,A3P,fc1b46a4d279c9249f0c21ccd0722d55116c118ef8591dc4ab7badd01837fdc5,[P](=O)([O])OC[C@H]1O[C@@H]([N]2=C3C(=C(N)NC=N3)N=C2)[C@@H]([C@@H]1O)O,0,22,22,6076,CHEBI:17489,Cyclic AMP,Substructure
all_modrna08.lib_OCU_sybyl.mol2,OCU,6e17d39134e76c34b92cca1752bbded56928bd8fb4886b4ec403358c7de80e2c,P([O])([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])[N@]1[C]([O])N[C]([O])[C]([CH]1)C[C](OC)[O],25,20,-5,68015317,-,SCHEMBL10041994,Similarity
ff15ipq-19F.lib_W7F_sybyl.mol2,W7F,2bf6d995849600fe1f80dabcb44c2f457e52fd1c73ad132c8733f4c5d2636c5d,[NH][C@@H](C[C]1[CH]Nc2c(F)cccc12)[C][O],15,16,1,15930148,-,7-fluorotryptophan,Substructure
amberdyes.lib_C75_sybyl.mol2,C75,9fa9cd16875a1edf7dec94a261edfe64f8b0c55a86e3c0194b1cc7af29157a5a,c12c(c3c(cc2)N([C](C3(C)C)[CH][CH][C]2[CH][C]([CH][CH][C]3N(c4ccc5c(c4C3(C)C)cccc5)CCCCC[C][O])CCC2)C)cccc1,48,23,-25,17899470,-,SCHEMBL7044297,Similarity
all_modrna08.lib_PBG_sybyl.mol2,PBG,64f95b1eb37e188f13ff7174f9d6abdfd384bab0b79bb24a6a38b745fc056643,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N(C1=NC(=C(N1C2=O)C[C@@H]([C@@H](C(=O)OC)NC(=O)OC)[C]([O-])[O-])C)C,42,36,-6,14135916,CHEBI:46574,WYBUTOSINE,Similarity
all_prot_nucleic10.lib_D3G_sybyl.mol2,D3G,40d01e65e87b98940fa30f21956e3cb8ccbb963d21ce14cee4b58d6a9cc3df94,[P](=O)([O])OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)C[C@@H]1O,22,23,1,135398570,CHEBI:16356,7665-99-8,Substructure
all_nucleic94.lib_RC3_sybyl.mol2,RC3,098c9305fadbd4df0ddbf45ee20f7dd7dcaa3561b9b683777f40916d2964e8fc,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1O)O,20,21,1,6131,CHEBI:17361,5'-CYTIDYLIC ACID,Substructure
mod_amino.lib_AZF_sybyl.mol2,AZF,76a3d27ea335d0bf8bf92879eaacc405aea2c4871232aa621d034114decdca35,[NH][C@@H](Cc1ccc(cc1)N=[N]=[N])[C]=O,0,45,45,24863323,-,CHEMBL2059878,Substructure
uni_amino03.lib_ASN_sybyl.mol2,ASN,cd802a05212e894776b7dc79346278f7f738f3253c55e9860f3ace2de273c3df,[NH][C@@H]([C][C]([O])N)[C][O],8,35,27,44259,CHEBI:15738,staurosporine,Substructure
aminont19ipq_0.9_pol.lib_NSER_sybyl.mol2,NSER,9989cc930c15b9e86db31ca8e89f3114ec2ecc0e93ebc98ee18ae1c1bfb8f65d,[NH3+][C@@H](CO)[C][O],6,7,1,6857549,CHEBI:35247,(2R)-2-ammonio-3-hydroxypropanoate,Substructure
all_modrna08.lib_4MC_sybyl.mol2,4MC,24a534e06952a206d8cce0ef5104031f10f2be6124e799ecd5a07cd018a7ad5b,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C(=O)N=C(NC)C=C1,21,24,3,49866507,CHEBI:75086,N(4)-acetylcytidine 5'-monophosphate,Substructure
ff15ipq-m.lib_B3Q_sybyl.mol2,B3Q,04a0b6dcc4ccd8fc4e27dab8b789eb53fa67c9b7c7f3f1e96b5763ec3d279962,[NH][C@H]([CH2]=[C][O-])CC[C]([O])N,0,0,0,-,-,"API Error: PubChem HTTP Error 400 PUGREST.BadRequest: The given listkey is invalid, or the operation represented by the listkey has failed",Failed
uni_aminont03.lib_NTYR_sybyl.mol2,NTYR,01524f411673085bf342211a0af53adc5daf84b6c64633bc6b1345f102a2191c,[NH3+][C@@H]([C]c1ccc(O)cc1)[C][O],12,13,1,4300518,-,"L-Tyrosine, 24",Substructure
