Residue_Code,Filename,MOL2_SHA256_Hash,Raw_SMILES,Raw_CID,Raw_ChEBI,Raw_Name,Canon_SMILES,Canon_CID,Canon_ChEBI,Canon_Name,Flat_SMILES,Flat_CID,Flat_ChEBI,Flat_Name
NHIE,all_aminont94ildn.lib_NHIE_sybyl.mol2,4350c6e2e1d47bea902f82012462849ab3c182915b5e945754567b958b0f8d15,[NH3+][C@@H](C[C]1[N][CH]N[CH]1)[C][O],,-,Compound_None,[NH3+][C@H]([C][O])C[C]1[CH]N[CH][N]1,,-,Compound_None,[NH3+]C([C][O])C[C]1[CH]N[CH][N]1,,-,Compound_None
CILE,aminoct12.lib_CILE_sybyl.mol2,64499cf7e5147c79cb909b2991140f2b683eb4efca56ddbfa1ba4ec23713b9cd,[NH][C@@H]([C@@H](C)CC)[C]([O-])[O-],,-,Compound_None,CC[C@H](C)[C@H]([NH])[C]([O-])[O-],,-,Compound_None,CCC(C)C([NH])[C]([O-])[O-],,-,Compound_None
D5TE,all_prot_nucleic10.lib_D5TE_sybyl.mol2,76942785e5d065f759b5a78fa5f43e2f130c34a2bdde6c77a3d69e0f2b8157ad,OC[C@H]1O[C@@H]([N]2=CC(=C(O)NC2=O)C)C[C@@H]1[O],,-,Compound_None,OC[C@H]1O[C@@H]([N]2=CC(=C(O)NC2=O)C)C[C@@H]1[O],,-,Compound_None,OC[C@H]1O[C@@H]([N]2=CC(=C(O)NC2=O)C)C[C@@H]1[O],,-,Compound_None
GLU,all_aminoPM3.lib_GLU_sybyl.mol2,563d081b08f04df3caa586c96a2c0d1b8be7c1341d5db30cabae8aef45e68b60,[NH][C@@H](CC[C]([O-])[O-])[C][O],,-,Compound_None,[NH][C@H]([C][O])CC[C]([O-])[O-],,-,Compound_None,[NH]C([C][O])CC[C]([O-])[O-],,-,Compound_None
CCYS,aminoct12.redq.lib_CCYS_sybyl.mol2,190388cc7984671d924f40ec79a17631d997221e0ed2f246128889043520e0b6,[NH][C@@H](CS)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CS)[C]([O-])[O-],,-,Compound_None,[NH]C(CS)[C]([O-])[O-],,-,Compound_None
CHIP,all_aminoctfb15.lib_CHIP_sybyl.mol2,d7b8baa1e249519c1929a4ead234f417b88e8bbba3ec36462ac2318b5127ca9c,[NH][C@@H](C[C]1N[CH]N[CH]1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](C[C]1[CH]N[CH]N1)[C]([O-])[O-],,-,Compound_None,[NH]C(C[C]1[CH]N[CH]N1)[C]([O-])[O-],,-,Compound_None
NCYS,aminont14ipq.lib_NCYS_sybyl.mol2,1fb3be0d5038a836da71c0940f2425521ac2894d5ce3fa7261c776240a3dc3d1,[NH3+][C@@H](CS)[C][O],,-,Compound_None,[NH3+][C@H]([C][O])CS,,-,Compound_None,[NH3+]C([C][O])CS,,-,Compound_None
CYM,amino15ipq_10.0.lib_CYM_sybyl.mol2,228c550c167df9c7645230d7370f75b8667241bf3444307e991b05610693ea0e,[NH][C@@H](C[S])[C][O],11018820,-,125509-78-6,[NH][C@H]([C][O])C[S],11018820,-,125509-78-6,[NH]C([C][O])C[S],10197647,-,"1-Propanol, 2-amino-3-mercapto-"
NHE,aminoct12.lib_NHE_sybyl.mol2,bed6e39abe1fa633520352aa25a178712639dcf1dab30575e338955e711ebaae,[NH2],222,CHEBI:16134,ammonia,[NH2],222,CHEBI:16134,ammonia,[NH2],222,CHEBI:16134,ammonia
B3W,ff15ipq-m.lib_B3W_sybyl.mol2,0a96fd938c31837bc82e2d5d2d6d0da1e103be2a813082ca9b63967ae299c798,[NH][C@H](C[C][O])C[C]1[CH]Nc2ccccc12,,-,Compound_None,[NH][C@H](C[C][O])C[C]1[CH]Nc2ccccc21,,-,Compound_None,[NH]C(C[C][O])C[C]1[CH]Nc2ccccc21,,-,Compound_None
UN,nab.lib_UN_sybyl.mol2,3d928dd34656eafada39fbb6f41aa4163becd6cc2a7ee6b6ad836cffb3566d3f,OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1O)O,6029,CHEBI:16704,uridine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6029,CHEBI:16704,uridine,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1177,CHEBI:143353,40436-51-9
DA3,all_nucleic94.lib_DA3_sybyl.mol2,811ad28841415bd7d42d38595c4c4ab39d58385ad174791abfed092ff3c4343f,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)C[C@@H]1O,14823978,-,DA DNA 5'OH 3'OH,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO[P]([O])=O)O1,14823978,-,DA DNA 5'OH 3'OH,Nc1ncnc2c1ncn2C1CC(O)C(CO[P]([O])=O)O1,6419581,-,[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium
1MG,all_modrna08.lib_1MG_sybyl.mol2,f6abfab194aee22efa4b1e3e778fc8f34d75d550eeb928193aec1032a67784a3,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N=C(N(C2=O)C)N,,-,Compound_None,Cn1c(N)nc2c(ncn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c1=O,,-,Compound_None,Cn1c(N)nc2c(ncn2C2OC(CO[P]([O])=O)C([O])C2O)c1=O,147961971,-,"[5-(2-amino-1-methyl-6-oxopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium"
CALA,uni_aminoct03.lib_CALA_sybyl.mol2,2b6bfa89c6bdc73ccb336c502a9aa26f45b483056d08329b188ca65c7d31fdc2,[NH][C@@H]([C])[C]([O-])[O-],,-,Compound_None,[C][C@H]([NH])[C]([O-])[O-],,-,Compound_None,[C]C([NH])[C]([O-])[O-],,-,Compound_None
C3N,amberdyes.lib_C3N_sybyl.mol2,d46c26b969a9a1306860ed173af9055e7e401bf3df430cffec1f3bd86da12dfa,c1cc2c(cc1)N(C)[C](C2(C)C)[CH][CH][CH][C]1N(c2ccccc2C1(C)C)CCCCC[C][O],,-,Compound_None,CN1[C]([CH][CH][CH][C]2N(CCCCC[C][O])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,,-,Compound_None,CN1[C]([CH][CH][CH][C]2N(CCCCC[C][O])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,,-,Compound_None
MTA,all_modrna08.lib_MTA_sybyl.mol2,915d303abd53aaddbba8097af02048a21c08756862d7ec439e6c38e5150d7d68,[P](=O)([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])N1C=Nc2c(N(C)C)ncnc12,,-,Compound_None,CO[C@@H]1[C@H]([O])[C@@H](CO[P]([O])=O)O[C@H]1n1cnc2c(N(C)C)ncnc21,,-,Compound_None,COC1C([O])C(CO[P]([O])=O)OC1n1cnc2c(N(C)C)ncnc21,,-,Compound_None
VAL,all_amino94.lib_VAL_sybyl.mol2,a5cb22a6747cfb3fd03a7788d1fd652c97e68dd36b1967e70ae081e556454289,[NH][C@@H](C(C)C)[C][O],640993,-,L-Valinol,CC(C)[C@H]([NH])[C][O],640993,-,L-Valinol,CC(C)C([NH])[C][O],79019,CHEBI:183239,Valinol
GN,RNA_Shaw.lib_GN_sybyl.mol2,8113083551e2d598910c25bd35e6c7a33cfe1b518bc08e42bbf5314c2f3679a6,OC[C@H]1O[C@@H](N2C=NC3=C2N=C(NC3=O)N)[C@@H]([C@@H]1O)O,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,135398635,CHEBI:16750,guanosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,135402034,CHEBI:181418,"2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
MCU,all_modrna08.lib_MCU_sybyl.mol2,9b8b821f212226799643905ef840232d620031a1615f3e63bbc3dc927b7f3f1c,P([O])([O])OC[C@H]1O[C@H]([C@H](OC)[C@@H]1[O])[N@@]1[C]([O])N[C]([O])[C]([CH]1)C[C](N)[O],,-,Compound_None,CO[C@@H]1[C@H]([O])[C@@H](COP([O])[O])O[C@H]1N1[CH][C](C[C](N)[O])[C]([O])N[C]1[O],,-,Compound_None,COC1C([O])C(COP([O])[O])OC1N1[CH][C](C[C](N)[O])[C]([O])N[C]1[O],,-,Compound_None
CTYR,aminoct10.lib_CTYR_sybyl.mol2,150a7e27732ed78b201f82418faf55e0a20ca1e2e75a5cda6e201506effba9f8,[NH][C@@H](Cc1ccc(O)cc1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](Cc1ccc(O)cc1)[C]([O-])[O-],,-,Compound_None,[NH]C(Cc1ccc(O)cc1)[C]([O-])[O-],,-,Compound_None
C3R,amberdyes.lib_C3R_sybyl.mol2,413c021e47f138c1e20756119674a20cb58ee1b9abe8ba01704cb30f88d14637,[NH][C@@H](CS[C@@H]1C[C]([O])N([C]1[O])CCN[C](CCC[N]C)[O])[C][O],,-,Compound_None,C[N]CCC[C]([O])NCCN1[C]([O])C[C@@H](SC[C@H]([NH])[C][O])[C]1[O],,-,Compound_None,C[N]CCC[C]([O])NCCN1[C]([O])CC(SCC([NH])[C][O])[C]1[O],,-,Compound_None
CGLY,all_aminoct94.lib_CGLY_sybyl.mol2,c2ce4f912d2a07105e307d158ecafbad94001252e45c732bc9ae1130d5ccdd2c,[NH]C[C]([O-])[O-],,-,Compound_None,[NH]C[C]([O-])[O-],,-,Compound_None,[NH]C[C]([O-])[O-],,-,Compound_None
C5,nucleic12.lib_C5_sybyl.mol2,1a35b2505ed0a43ebff7213939a8f9a4f45b36b3a6e23fb750f01d1b792b8a19,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1[O])O,6175,CHEBI:17562,cytidine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H]([O])[C@H]2O)c(=O)n1,6175,CHEBI:17562,cytidine,Nc1ccn(C2OC(CO)C([O])C2O)c(=O)n1,596,-,688007-26-3
CSER,aminoct12.redq.lib_CSER_sybyl.mol2,fea937daa861d971b6cf69ac9648433367cfc62adc074be3e78c0f3abc80e355,[NH][C@@H](CO)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CO)[C]([O-])[O-],,-,Compound_None,[NH]C(CO)[C]([O-])[O-],,-,Compound_None
INO,all_modrna08.lib_INO_sybyl.mol2,fa8607d03d34d66397471f8c6cd9618b054b3594db19b67477d73b6b9fab9a30,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N=CNC2=O,,-,Compound_None,[O][C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO[P]([O])=O,,-,Compound_None,[O]C1C(CO[P]([O])=O)OC(n2cnc3c(=O)[nH]cnc32)C1O,,-,Compound_None
LYN,all_amino94.nmr.lib_LYN_sybyl.mol2,d7ae9e19b23b799010cfc2be286c926942392faf1082fc49393a9dd2c2c958bd,[NH][C@@H](CCCCN)[C][O],11607920,CHEBI:189186,Lysol,[NH][C@H]([C][O])CCCCN,11607920,CHEBI:189186,Lysol,[NH]C([C][O])CCCCN,11194353,-,"1-Hexanol, 2,6-diamino-"
CPRO,aminoct10.lib_CPRO_sybyl.mol2,904443c6ffd71b619a031d45d2344c02adf0c3bf677457abf75282f13a611a06,[N]1CCC[C@H]1[C]([O-])[O-],,-,Compound_None,[O-][C]([O-])[C@@H]1CCC[N]1,,-,Compound_None,[O-][C]([O-])C1CCC[N]1,,-,Compound_None
GLY,amino14ipq.lib_GLY_sybyl.mol2,21a7fd80ae81ace3cdb7885117c8f0ca11047d3a77abc3f3c2be3707820794aa,[NH]C[C][O],700,CHEBI:16000,Ethanolamine,[NH]C[C][O],700,CHEBI:16000,Ethanolamine,[NH]C[C][O],700,CHEBI:16000,Ethanolamine
PRO,amino19ipq_0.9.lib_PRO_sybyl.mol2,7eb808d44180a66db4b58b01a9ff475a9534c6f327227a262d7f01971c9f3750,[N]1CCC[C@H]1[C][O],640091,-,L-Prolinol,[O][C][C@@H]1CCC[N]1,640091,-,L-Prolinol,[O][C]C1CCC[N]1,90908,CHEBI:59652,pyrrolidin-2-ylmethanol
NGLN,all_aminont03.lib_NGLN_sybyl.mol2,50714bbcf1833f0af86443229afd61cf748d801920e7dc39c9a8fc86d8008e28,[NH3+][C@@H](CC[C]([O])N)[C][O],,-,Compound_None,N[C]([O])CC[C@H]([NH3+])[C][O],,-,Compound_None,N[C]([O])CCC([NH3+])[C][O],,-,Compound_None
NGLY,all_aminont94.lib_NGLY_sybyl.mol2,d1aa0a09631e4972af67fc2ea7b1f6725577221194c94269587d61d24d40580e,[NH3+]C[C][O],444693,CHEBI:57603,ethanolaminium(1+),[NH3+]C[C][O],444693,CHEBI:57603,ethanolaminium(1+),[NH3+]C[C][O],444693,CHEBI:57603,ethanolaminium(1+)
GLH,amino12.lib_GLH_sybyl.mol2,bd07c63400b2727251e74eb3f4ae1b9707245c5baa90a4a148fe04aacb148134,[NH][C@@H](CC[C]([O])O)[C][O],,-,Compound_None,[NH][C@H]([C][O])CC[C]([O])O,,-,Compound_None,[NH]C([C][O])CC[C]([O])O,89060581,-,SCHEMBL13330727
UMP,terminalphos.LJbb-RNA.lib_UMP_sybyl.mol2,87d4857cc7d171e3b533de2cdaf17157b6cb10199121869b9b7573291058f4ec,[P]([O])([O])(OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@@H]([C@@H]1[O])O)O,78224843,-,2za3,[O][C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO[P]([O])([O])O,78224843,-,2za3,[O]C1C(CO[P]([O])([O])O)OC(n2ccc(=O)[nH]c2=O)C1O,,-,Compound_None
NGLH,aminont15ipq_10.0.lib_NGLH_sybyl.mol2,455482b98438fadb9869eefaa2d1effb760a00d430b4451901a1b77accad34a3,[NH3+][C@@H]([CH2]=[CH2][C]([O])O)[C][O],-,-,API Error,[NH3+][C@@H]([CH2]=[CH2][C]([O])O)[C][O],-,-,API Error,[NH3+][C@@H]([CH2]=[CH2][C]([O])O)[C][O],-,-,API Error
DC5,nucleic12.redq.lib_DC5_sybyl.mol2,fb6bf0311dc674a767f4c597c021c8a11e6197ef79ea1a56c9323c4000f2a15a,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1[O],13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn([C@H]2C[C@H]([O])[C@@H](CO)O2)c(=O)n1,13711,CHEBI:15698,2'-deoxycytidine,Nc1ccn(C2CC([O])C(CO)O2)c(=O)n1,637,-,Cytosine deoxyribonucleoside
RCN,all_nucleic94.nmr.lib_RCN_sybyl.mol2,8c9862599c5482cc16f04c98b13df70c54afd0d8cb2062b4dea50b2c500606a7,OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)[C@@H]([C@@H]1O)O,6175,CHEBI:17562,cytidine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,6175,CHEBI:17562,cytidine,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,596,-,688007-26-3
1MI,all_modrna08.lib_1MI_sybyl.mol2,9b6e09696d71dc82716c93e8b4c9d85a6c6326b64d1b76a94aaa7454f6d67948,[P](=O)([O])OC[C@H]1O[C@H]([C@H](O)[C@@H]1[O])N1C=NC2=C1N=CN(C2=O)C,,-,Compound_None,Cn1cnc2c(ncn2[C@@H]2O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]2O)c1=O,,-,Compound_None,Cn1cnc2c(ncn2C2OC(CO[P]([O])=O)C([O])C2O)c1=O,,-,Compound_None
T48,amberdyes.lib_T48_sybyl.mol2,1cf4295fcae350d65715cfa886d1ed9f25bb60c17ca138a17f2822807fefd014,c1(c2c(ccc1N)C(=C1C(=C=O)C=CC=C1)c1c(c(c(cc1)N)S([O])([O])[O])O2)S([O])([O])[O],,-,Compound_None,Nc1ccc2c(c1S([O])([O])[O])Oc1c(ccc(N)c1S([O])([O])[O])C2=c1ccccc1=C=O,,-,Compound_None,Nc1ccc2c(c1S([O])([O])[O])Oc1c(ccc(N)c1S([O])([O])[O])C2=c1ccccc1=C=O,,-,Compound_None
MET,all_amino94ildn.lib_MET_sybyl.mol2,be1477ec92f9e7c959aff2ab9cb9ac8e462aa39bb2f841e434023b27af2e892e,[NH][C@@H](CCSC)[C][O],2724404,-,L-Methioninol,CSCC[C@H]([NH])[C][O],2724404,-,L-Methioninol,CSCCC([NH])[C][O],102901,-,"Methioninol, (+-)-"
CHIE,aminoct15ipq-vac_10.0.lib_CHIE_sybyl.mol2,85d3572835ea590f37d8a4b416f2dff1e43721805534a8af136a1425568c8233,[NH][C@@H](CC1=CNC=N1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](Cc1c[nH]cn1)[C]([O-])[O-],,-,Compound_None,[NH]C(Cc1c[nH]cn1)[C]([O-])[O-],,-,Compound_None
ASN,all_amino03.lib_ASN_sybyl.mol2,c2998ba0c5a1425deef97897fa527e6622ece48e69c96d01afc01dc3cde8ba72,[NH][C@@H](C[C]([O])N)[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C](N)[O],,-,Compound_None,[NH]C([C][O])C[C](N)[O],160636797,-,"1,3-diaminobutane-1,4-diol"
LYS,amino10.lib_LYS_sybyl.mol2,57e7163979a1129a15ab2afa640aea859decd42915d76b81703634d1c0357fd6,[NH][C@@H](CCCC[NH3+])[C][O],,-,Compound_None,[NH][C@H]([C][O])CCCC[NH3+],,-,Compound_None,[NH]C([C][O])CCCC[NH3+],,-,Compound_None
B3L,ff15ipq-m.lib_B3L_sybyl.mol2,d5a349924d64978cc114d02809ba3861dce874ba4089ba83bc76f9105d054293,[NH][C@H](C[C][O])CC(C)C,57368607,-,(s)-3-amino-5-methylhexan-1-ol,CC(C)C[C@H]([NH])C[C][O],57368607,-,(s)-3-amino-5-methylhexan-1-ol,CC(C)CC([NH])C[C][O],53413882,-,3-amino-5-methylhexan-1-ol
DC3,ff-nucleic-OL21.lib_DC3_sybyl.mol2,83f1404603f446c618dc6c4b43441bb96f3ee318aca68f844a60569917f268cc,[P](=O)([O])OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C[C@@H]1O,42626896,-,DC DNA 5'OH 3'OH,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P]([O])=O)O2)c(=O)n1,42626896,-,DC DNA 5'OH 3'OH,Nc1ccn(C2CC(O)C(CO[P]([O])=O)O2)c(=O)n1,74828980,-,[5-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxy-oxophosphanium
SER,amino15ipq-vac_10.0.lib_SER_sybyl.mol2,33c44d09291c944de3e276ad4825d4955a67e6e0fb3c0f1f10b779efa9bb818b,[NH][C@@H](CO)[C][O],68294,-,"2-Amino-1,3-propanediol",[NH][C@H]([C][O])CO,68294,-,"2-Amino-1,3-propanediol",[NH]C([C][O])CO,68294,-,"2-Amino-1,3-propanediol"
NLEU,aminont19ipq_0.9.lib_NLEU_sybyl.mol2,e7fd1e85c942385c5a164a37b0d2babcd311623ea6e718b32ab2ca6dc9212ebe,[NH3+][C@@H](CC(C)C)[C][O],6950464,CHEBI:195498,(S)-leucinol(1+),CC(C)C[C@H]([NH3+])[C][O],6950464,CHEBI:195498,(S)-leucinol(1+),CC(C)CC([NH3+])[C][O],77906402,-,(1-hydroxy-4-methylpentan-2-yl)azanium
NLEU,uni_aminont03.lib_NLEU_sybyl.mol2,8d1fe93231c6e81858c100e0c66b296dcc2cf4c4e04828348f66c00511c73ab3,[NH3+][C@@H]([C][C]([C])[C])[C][O],6950464,CHEBI:195498,(S)-leucinol(1+),[C][C]([C])[C][C@H]([NH3+])[C][O],6950464,CHEBI:195498,(S)-leucinol(1+),[C][C]([C])[C]C([NH3+])[C][O],77906402,-,(1-hydroxy-4-methylpentan-2-yl)azanium
CNLN,GLYCAM_aminoct_06j_12SB.lib_CNLN_sybyl.mol2,d667687ef8f3d451a08920fe481d3c7ce45fe3583a42c719a1058007186e5ce4,[NH][C@@H](C[C]([O])[NH])[C]([O-])[O-],,-,Compound_None,[NH][C]([O])C[C@H]([NH])[C]([O-])[O-],,-,Compound_None,[NH][C]([O])CC([NH])[C]([O-])[O-],,-,Compound_None
CPHE,uni_aminoct03.lib_CPHE_sybyl.mol2,1259fa1a0e458d4b99b42a2e22d732aafdf5b13238cd02410098af414fea0a31,[NH][C@@H]([C]c1ccccc1)[C]([O-])[O-],,-,Compound_None,[NH][C@@H]([C]c1ccccc1)[C]([O-])[O-],,-,Compound_None,[NH]C([C]c1ccccc1)[C]([O-])[O-],,-,Compound_None
CARG,aminoct15ipq-vac_10.0.lib_CARG_sybyl.mol2,763c33004403789e8af13357ead8dd7c6a96d815ad095da020019d007b74d66f,[NH][C@@H](CCCN[C](N)N)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CCCN[C](N)N)[C]([O-])[O-],,-,Compound_None,[NH]C(CCCN[C](N)N)[C]([O-])[O-],,-,Compound_None
PGS,lipid21.lib_PGS_sybyl.mol2,a580e2b869b01d1b5696e3b648f7e13b3df52c66ccd5258a10022a856b62e8cf,[C](=O)OC[C@H](CO[P](OC[C@@H](O)CO)([O])[O])O[C]=O,,-,Compound_None,[O][P]([O])(OC[C@@H](O)CO)OC[C@@H](CO[C]=O)O[C]=O,,-,Compound_None,[O][P]([O])(OCC(O)CO)OCC(CO[C]=O)O[C]=O,,-,Compound_None
COLP,GLYCAM_aminoct_06j_12SB.lib_COLP_sybyl.mol2,8020c5701cb1e85bb17d2e8ed53e3f19afb43d9bd95f4a30d6594e882e243a1e,[N]1C[C@H]([O])C[C@H]1[C]([O-])[O-],,-,Compound_None,[O][C@H]1C[N][C@H]([C]([O-])[O-])C1,,-,Compound_None,[O]C1C[N]C([C]([O-])[O-])C1,,-,Compound_None
NSER,uni_aminont03.lib_NSER_sybyl.mol2,73e042a4a9cdc50ff586fc926f3f72542394de0b8ee13e3ca6489ee36e56fe5a,[NH3+][C@@H]([C]O)[C][O],6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium",[NH3+][C@H]([C][O])[C]O,6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium",[NH3+]C([C][O])[C]O,6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium"
QSPCFWBOX,solvents.lib_QSPCFWBOX_sybyl.mol2,efb844ecd775fed607a2a2b007e7a9d8a3bd59cc89f4394b7ac8ec7bf98492f1,,,-,Compound_None,,,-,Compound_None,,,-,Compound_None
CLYN,aminoct19ipq_0.9_vac.lib_CLYN_sybyl.mol2,42c10143dcbe2d627e8548e3df6c7fd3790ba300a514506de2eb0e042141ddd9,[NH][C@@H](CCCCN)[C]([O-])[O-],,-,Compound_None,[NH][C@@H](CCCCN)[C]([O-])[O-],,-,Compound_None,[NH]C(CCCCN)[C]([O-])[O-],,-,Compound_None
HIE,all_amino94.lib_HIE_sybyl.mol2,8fac418e9202987a92e2c9704ce6811d1a3c22b4c536a64774800314f7632d7a,[NH][C@@H](C[C]1[N][CH]N[CH]1)[C][O],,-,Compound_None,[NH][C@H]([C][O])C[C]1[CH]N[CH][N]1,,-,Compound_None,[NH]C([C][O])C[C]1[CH]N[CH][N]1,134243510,-,SCHEMBL19852909
CP,all_prot_nucleic10.lib_CP_sybyl.mol2,89e7175a5241f42b9fa7f1b59d91686b01d145ef2dcaa406f4d1ae66c8884789,P([O])([O])OC[C@H]1O[C@@H]([N@@]2[CH][CH][C](N)N[C]2[O])[C@@H]([C@@H]1[O])O,,-,Compound_None,N[C]1[CH][CH]N([C@@H]2O[C@H](COP([O])[O])[C@@H]([O])[C@H]2O)[C]([O])N1,,-,Compound_None,N[C]1[CH][CH]N(C2OC(COP([O])[O])C([O])C2O)[C]([O])N1,,-,Compound_None
A,nucleic12.redq.lib_A_sybyl.mol2,df8683e0551b9d5cdff777d320c639c6d17139854ce390cd5093b21e7e9bf929,[P](=O)([O])OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1[O])O,6338568,-,SCHEMBL1759116,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P]([O])=O)[C@@H]([O])[C@H]1O,6338568,-,SCHEMBL1759116,Nc1ncnc2c1ncn2C1OC(CO[P]([O])=O)C([O])C1O,14185387,-,SCHEMBL26757874
D5AE,all_prot_nucleic10.lib_D5AE_sybyl.mol2,599634117d2a4dae398d7e9fea0c658689039f4c6bfbb856ebe4f93a0b92913c,OC[C@H]1O[C@@H]([N]2=C3C(=C(N)NC=N3)N=C2)C[C@@H]1[O],7091846,-,"(2R,3S,5R)-5-(6-amino-7H-purin-9-ium-9-yl)-2-(hydroxymethyl)oxolan-3-ol",OC[C@H]1O[C@@H]([N]2=C3C(=C(N)NC=N3)N=C2)C[C@@H]1[O],7091846,-,"(2R,3S,5R)-5-(6-amino-7H-purin-9-ium-9-yl)-2-(hydroxymethyl)oxolan-3-ol",OC[C@H]1O[C@@H]([N]2=C3C(=C(N)NC=N3)N=C2)C[C@@H]1[O],7091846,-,"(2R,3S,5R)-5-(6-amino-7H-purin-9-ium-9-yl)-2-(hydroxymethyl)oxolan-3-ol"
RA5,all_nucleic94.lib_RA5_sybyl.mol2,925a83ccde5d304cd852f098323d6790bebb283456b1f82ba22f0efad0f0f434,OC[C@H]1O[C@@H](N2C=Nc3c(N)ncnc23)[C@@H]([C@@H]1[O])O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H]([O])[C@H]1O,60961,CHEBI:16335,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C([O])C1O,191,CHEBI:93913,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
D5CE,all_prot_nucleic10.lib_D5CE_sybyl.mol2,67e9a18daab317ba2e7d5612e90ce4682752e0472e9a55649463feae1782e019,OC[C@H]1O[C@@H]([N]2=CC=C(N)NC2=O)C[C@@H]1[O],52911283,-,"6-amino-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-pyrimidin-3-ium-2-one",OC[C@H]1O[C@@H]([N]2=CC=C(N)NC2=O)C[C@@H]1[O],52911283,-,"6-amino-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-pyrimidin-3-ium-2-one",OC[C@H]1O[C@@H]([N]2=CC=C(N)NC2=O)C[C@@H]1[O],52911283,-,"6-amino-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-pyrimidin-3-ium-2-one"
CMET,aminoct15ipq-vac_10.0.lib_CMET_sybyl.mol2,0293a9abdc8b34808ddbb0b8de3183c554d4991347c9c4b7e00b38553aadd1c9,[NH][C@@H](CCSC)[C]([O-])[O-],,-,Compound_None,CSCC[C@H]([NH])[C]([O-])[O-],,-,Compound_None,CSCCC([NH])[C]([O-])[O-],,-,Compound_None
NSER,aminont12.lib_NSER_sybyl.mol2,9989cc930c15b9e86db31ca8e89f3114ec2ecc0e93ebc98ee18ae1c1bfb8f65d,[NH3+][C@@H](CO)[C][O],6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium",[NH3+][C@H]([C][O])CO,6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium",[NH3+]C([C][O])CO,6993193,CHEBI:194490,"1,3-dihydroxypropan-2-ylammonium"
